          ROUTINE IMPLEM|    BUF SIZE|     MINIMUM ns|      MEDIAN ns|     MAXIMUM ns|     AVERAGE ns|   STD DEV %|    BW GiB/s|   SPEEDUP %
    Current `memcmp_sve`|    32.0 KiB|           2366|           2366|           2449|       2374.896|       0.857|      12.850|
        New `memcmp_sve`|    32.0 KiB|           1621|           1622|           1632|       1623.648|       0.228|      18.796|     +46.27%
    Current `memcmp_sve`|    64.0 KiB|           4616|           4650|           4897|       4648.622|       1.181|      13.130|
        New `memcmp_sve`|    64.0 KiB|           3226|           3236|           3282|       3237.464|       0.350|      18.853|     +43.59%
    Current `memcmp_sve`|   512.0 KiB|          35805|          36010|          36371|      36009.360|       0.420|      13.560|
        New `memcmp_sve`|   512.0 KiB|          25598|          25817|          26331|      25842.903|       0.695|      18.894|     +39.34%
    Current `memcmp_sve`|     1.0 MiB|          71803|          72311|          78616|      72772.990|       1.919|      13.419|
        New `memcmp_sve`|     1.0 MiB|          51149|          51506|          53467|      51679.726|       1.065|      18.896|     +40.82%
    Current `memcmp_sve`|    16.0 MiB|        1162166|        1172534|        1189297|    1172979.471|       0.574|      13.321|
        New `memcmp_sve`|    16.0 MiB|         925779|         949482|         976816|     946638.626|       1.384|      16.506|     +23.91%
    Current `memcmp_sve`|    32.0 MiB|        2311886|        2344502|        2397085|    2344752.226|       0.824|      13.328|
        New `memcmp_sve`|    32.0 MiB|        1967988|        2018583|        2073501|    2019308.968|       1.150|      15.476|     +16.12%
    Current `memcmp_sve`|   256.0 MiB|       18562861|       18677024|       18899504|   18688541.968|       0.421|      13.377|
        New `memcmp_sve`|   256.0 MiB|       16201754|       16610609|       17079325|   16564595.355|       1.127|      15.092|     +12.82%
