      ROUTINE IMPLEM|    BUF SIZE|     MINIMUM ns|      MEDIAN ns|     MAXIMUM ns|     AVERAGE ns|   STD DEV %|    BW GiB/s|   SPEEDUP %
Current `strcmp_sve`|    32.0 KiB|           4342|           4343|           4353|       4344.361|       0.062|       7.025|
    New `strcmp_sve`|    32.0 KiB|           3361|           3368|           3375|       3366.886|       0.120|       9.064|    +29.03%
Current `strcmp_sve`|    64.0 KiB|           8671|           8678|           8685|       8678.088|       0.035|       7.033|
    New `strcmp_sve`|    64.0 KiB|           6427|           6587|           6617|       6557.542|       0.859|       9.308|    +32.34%
Current `strcmp_sve`|   512.0 KiB|          68419|          69311|          69559|      69190.881|       0.430|       7.057|
    New `strcmp_sve`|   512.0 KiB|          52323|          52509|          53222|      52541.355|       0.368|       9.293|    +31.69%
Current `strcmp_sve`|     1.0 MiB|         131270|         133094|         137774|     133469.021|       1.284|       7.317|
    New `strcmp_sve`|     1.0 MiB|         103927|         107400|         126457|     107813.097|       3.421|       9.058|    +23.80%
Current `strcmp_sve`|    16.0 MiB|        2134570|        2174535|        2212705|    2176291.981|       1.017|       7.180|
    New `strcmp_sve`|    16.0 MiB|        1743685|        1784557|        1822453|    1783192.168|       1.078|       8.762|    +22.04%
Current `strcmp_sve`|    32.0 MiB|        4286086|        4378601|        4417345|    4366833.671|       0.868|       7.156|
    New `strcmp_sve`|    32.0 MiB|        3497739|        3772354|        4025611|    3759311.103|       3.598|       8.313|    +16.16%
Current `strcmp_sve`|   256.0 MiB|       34456287|       35017228|       35239022|   34982137.710|       0.531|       7.147|
    New `strcmp_sve`|   256.0 MiB|       30860585|       31555679|       32020288|   31534060.839|       1.026|       7.928|    +10.93%
