      ROUTINE IMPLEM|    BUF SIZE|     MINIMUM ns|      MEDIAN ns|     MAXIMUM ns|     AVERAGE ns|   STD DEV %|    BW GiB/s|   SPEEDUP %
Current `strcpy_sve`|    32.0 KiB|           2721|           2734|           2741|       2731.415|       0.217|      11.173|
    New `strcpy_sve`|    32.0 KiB|           2140|           2141|           2145|       2141.367|       0.053|      14.251|    +27.55%
Current `strcpy_sve`|    64.0 KiB|           5469|           5506|           5534|       5503.085|       0.237|      11.091|
    New `strcpy_sve`|    64.0 KiB|           4271|           4273|           4280|       4273.643|       0.056|      14.282|    +28.77%
Current `strcpy_sve`|   512.0 KiB|          41216|          41592|          42391|      41627.693|       0.656|      11.730|
    New `strcpy_sve`|   512.0 KiB|          33617|          33819|          35242|      33900.303|       1.000|      14.403|    +22.79%
Current `strcpy_sve`|     1.0 MiB|          83185|          85698|          87653|      85604.782|       1.083|      11.408|
    New `strcpy_sve`|     1.0 MiB|          69769|          71591|          73799|      71772.921|       1.447|      13.606|    +19.27%
Current `strcpy_sve`|    16.0 MiB|        1326971|        1353345|        1568080|    1356537.926|       2.969|      11.518|
    New `strcpy_sve`|    16.0 MiB|        1099110|        1141193|        1165957|    1138417.229|       1.217|      13.725|    +19.16%
Current `strcpy_sve`|    32.0 MiB|        2664317|        2709415|        4207792|    2759614.116|       9.778|      11.324|
    New `strcpy_sve`|    32.0 MiB|        2245466|        2321750|        2372626|    2318563.877|       1.466|      13.478|    +19.02%
Current `strcpy_sve`|   256.0 MiB|       21878516|       22283954|       78539024|   24056714.548|      42.039|      10.392|
    New `strcpy_sve`|   256.0 MiB|       20017984|       20320203|       20786768|   20341268.968|       1.038|      12.290|    +18.27%
