      ROUTINE IMPLEM|    BUF SIZE|     MINIMUM ns|      MEDIAN ns|     MAXIMUM ns|     AVERAGE ns|   STD DEV %|    BW GiB/s|   SPEEDUP %
Current `strlen_sve`|    32.0 KiB|           2508|           2509|           2517|       2509.541|       0.080|      12.161|
    New `strlen_sve`|    32.0 KiB|           2374|           2375|           2379|       2375.361|       0.055|      12.848|     +5.65%
Current `strlen_sve`|    64.0 KiB|           5281|           5473|           5493|       5461.094|       0.743|      11.176|
    New `strlen_sve`|    64.0 KiB|           4738|           4739|           4749|       4739.363|       0.046|      12.878|    +15.23%
Current `strlen_sve`|   512.0 KiB|          41637|          41658|          41897|      41663.963|       0.108|      11.720|
    New `strlen_sve`|   512.0 KiB|          35186|          35206|          36303|      35361.948|       1.052|      13.808|    +17.82%
Current `strlen_sve`|     1.0 MiB|          82658|          82898|          83414|      82914.482|       0.208|      11.778|
    New `strlen_sve`|     1.0 MiB|          70330|          70594|          83626|      71162.752|       3.309|      13.723|    +16.51%
Current `strlen_sve`|    16.0 MiB|        1326554|        1333138|        1345588|    1333650.600|       0.326|      11.716|
    New `strlen_sve`|    16.0 MiB|        1144136|        1155498|        1170904|    1155026.674|       0.624|      13.528|    +15.46%
Current `strlen_sve`|    32.0 MiB|        2652258|        2678667|        2716774|    2679339.226|       0.563|      11.663|
    New `strlen_sve`|    32.0 MiB|        2297628|        2331633|        2413470|    2334592.310|       1.168|      13.386|    +14.77%
Current `strlen_sve`|   256.0 MiB|       21452990|       21760664|       21961336|   21723484.419|       0.662|      11.508|
    New `strlen_sve`|   256.0 MiB|       18251216|       18920148|       19233870|   18859478.548|       1.330|      13.256|    +15.19%
