          ROUTINE IMPLEM|    BUF SIZE|     MINIMUM ns|      MEDIAN ns|     MAXIMUM ns|     AVERAGE ns|   STD DEV %|    BW GiB/s|   SPEEDUP %
   Current `strnlen_sve`|    32.0 KiB|           3288|           3289|           3362|       3295.475|       0.436|       9.260|
       New `strnlen_sve`|    32.0 KiB|           2764|           2765|           2829|       2769.593|       0.428|      11.019|     +18.99%
   Current `strnlen_sve`|    64.0 KiB|           6527|           6556|           6619|       6556.082|       0.365|       9.310|
       New `strnlen_sve`|    64.0 KiB|           5527|           5528|           5575|       5533.610|       0.271|      11.030|     +18.48%
   Current `strnlen_sve`|   512.0 KiB|          50426|          51796|          53673|      51895.177|       2.751|       9.409|
       New `strnlen_sve`|   512.0 KiB|          43331|          43414|          44643|      43512.068|       0.645|      11.222|     +19.27%
   Current `strnlen_sve`|     1.0 MiB|         101443|         102749|         104454|     102726.935|       0.801|       9.506|
       New `strnlen_sve`|     1.0 MiB|          89367|          90155|          93364|      90376.606|       1.062|      10.805|     +13.67%
   Current `strnlen_sve`|    16.0 MiB|        1645233|        1654581|        1664641|    1654528.987|       0.316|       9.444|
       New `strnlen_sve`|    16.0 MiB|        1465334|        1480413|        1496683|    1480955.877|       0.617|      10.551|     +11.72%
   Current `strnlen_sve`|    32.0 MiB|        3244249|        3297471|        3362977|    3299121.806|       1.219|       9.472|
       New `strnlen_sve`|    32.0 MiB|        2926414|        2987686|        3035347|    2981046.613|       0.866|      10.483|     +10.67%
   Current `strnlen_sve`|   256.0 MiB|       26153914|       26485198|       26709882|   26459624.774|       0.525|       9.448|
       New `strnlen_sve`|   256.0 MiB|       23704036|       23896842|       24026099|   23898621.065|       0.338|      10.461|     +10.72%
