      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp_sve |    32.0 KiB |       2367.741 |       2368.772 |       2373.389 |       2369.249 |       0.062 |      12.881 |            
      new_memcmp_sve |    32.0 KiB |       1622.861 |       1622.990 |       1626.316 |       1623.351 |       0.054 |      18.799 |      +45.9%
--------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp_sve |    64.0 KiB |       4620.259 |       4622.183 |       4629.083 |       4622.449 |       0.035 |      13.204 |            
      new_memcmp_sve |    64.0 KiB |       3232.255 |       3233.977 |       3242.362 |       3234.502 |       0.066 |      18.870 |      +42.9%
--------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp_sve |   512.0 KiB |      35980.724 |      36051.548 |      36184.560 |      36053.339 |       0.121 |      13.543 |            
      new_memcmp_sve |   512.0 KiB |      26013.140 |      26085.236 |      26169.044 |      26077.812 |       0.148 |      18.724 |      +38.3%
--------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp_sve |     1.0 MiB |      72252.140 |      72471.880 |      73176.280 |      72529.137 |       0.279 |      13.464 |            
      new_memcmp_sve |     1.0 MiB |      51497.440 |      51908.040 |      52971.580 |      51980.088 |       0.708 |      18.787 |      +39.5%
--------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp_sve |    16.0 MiB |    1168595.300 |    1178618.100 |    1195116.100 |    1178658.165 |       0.475 |      13.257 |            
      new_memcmp_sve |    16.0 MiB |     896803.500 |     913789.300 |     929308.900 |     914164.771 |       0.877 |      17.092 |      +28.9%
--------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp_sve |    32.0 MiB |    2329869.200 |    2350936.800 |    2373559.600 |    2348535.342 |       0.466 |      13.306 |            
      new_memcmp_sve |    32.0 MiB |    1967107.400 |    2040335.600 |    2088756.000 |    2036316.194 |       1.394 |      15.346 |      +15.3%
--------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp_sve |   256.0 MiB |   18775756.000 |   18936307.000 |   19388659.000 |   18952021.419 |       0.682 |      13.191 |            
      new_memcmp_sve |   256.0 MiB |   16848795.000 |   17137039.000 |   17469831.000 |   17117419.806 |       0.879 |      14.605 |      +10.7%
--------------------------------------------------------------------------------------------------------------------------------------------------
