        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcmp (Arm OR 23.01) |          64 |          4.773 |          4.777 |          4.809 |          4.777 |          0.087 |         12.477 |          0.011 |
             memcmp (LI-PaRAD) |          64 |          4.332 |          4.334 |          4.338 |          4.334 |          0.040 |         13.753 |          0.006 |     +10.23%
         memcmp (Arm OR 23.01) |         128 |          9.182 |          9.299 |          9.607 |          9.320 |          0.792 |         12.791 |          0.100 |
             memcmp (LI-PaRAD) |         128 |          7.702 |          7.976 |          8.493 |          7.966 |          2.634 |         14.975 |          0.390 |     +17.00%
         memcmp (Arm OR 23.01) |         256 |         17.716 |         17.799 |         17.986 |         17.788 |          0.393 |         13.403 |          0.053 |
             memcmp (LI-PaRAD) |         256 |         13.671 |         13.679 |         13.845 |         13.711 |          0.342 |         17.389 |          0.059 |     +29.74%
         memcmp (Arm OR 23.01) |         512 |         33.867 |         33.910 |         34.348 |         33.944 |          0.304 |         14.048 |          0.042 |
             memcmp (LI-PaRAD) |         512 |         26.752 |         26.763 |         26.819 |         26.775 |          0.090 |         17.809 |          0.016 |     +26.78%
         memcmp (Arm OR 23.01) |        1024 |         65.970 |         66.010 |         66.529 |         66.043 |          0.157 |         14.440 |          0.023 |
             memcmp (LI-PaRAD) |        1024 |         51.463 |         51.571 |         51.679 |         51.570 |          0.109 |         18.493 |          0.020 |     +28.06%
         memcmp (Arm OR 23.01) |        2048 |        129.399 |        129.535 |        129.796 |        129.528 |          0.073 |         14.725 |          0.011 |
             memcmp (LI-PaRAD) |        2048 |        102.072 |        102.163 |        102.294 |        102.164 |          0.051 |         18.669 |          0.010 |     +26.78%
         memcmp (Arm OR 23.01) |        4096 |        257.901 |        258.092 |        259.026 |        258.140 |          0.086 |         14.778 |          0.013 |
             memcmp (LI-PaRAD) |        4096 |        202.567 |        202.839 |        203.270 |        202.897 |          0.071 |         18.801 |          0.013 |     +27.23%
         memcmp (Arm OR 23.01) |        8192 |        514.671 |        515.066 |        515.509 |        515.064 |          0.043 |         14.813 |          0.006 |
             memcmp (LI-PaRAD) |        8192 |        401.863 |        403.903 |        405.923 |        403.843 |          0.283 |         18.892 |          0.053 |     +27.54%
         memcmp (Arm OR 23.01) |       16384 |       1043.029 |       1043.619 |       1049.603 |       1043.715 |          0.068 |         14.620 |          0.010 |
             memcmp (LI-PaRAD) |       16384 |        811.446 |        811.660 |        812.173 |        811.662 |          0.014 |         18.799 |          0.003 |     +28.59%
         memcmp (Arm OR 23.01) |       32768 |       2078.778 |       2079.747 |       2085.301 |       2080.396 |          0.070 |         14.669 |          0.010 |
