        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |          64 |          9.781 |         10.315 |         11.149 |         10.336 |          2.750 |          5.771 |          0.158 |
             strcpy (LI-PaRAD) |          64 |          3.585 |          3.635 |          3.683 |          3.636 |          0.508 |         16.395 |          0.083 |    +184.29%
         strcpy (Arm OR 23.01) |         128 |         15.211 |         15.217 |         15.224 |         15.216 |          0.014 |          7.834 |          0.001 |
             strcpy (LI-PaRAD) |         128 |          4.644 |          4.661 |          5.079 |          4.673 |          1.175 |         25.515 |          0.282 |    +225.65%
         strcpy (Arm OR 23.01) |         256 |         24.650 |         24.654 |         24.661 |         24.655 |          0.010 |          9.670 |          0.001 |
             strcpy (LI-PaRAD) |         256 |          7.796 |          8.106 |          8.311 |          8.054 |          1.793 |         29.612 |          0.536 |    +206.11%
         strcpy (Arm OR 23.01) |         512 |         43.897 |         43.919 |         43.962 |         43.919 |          0.040 |         10.857 |          0.004 |
             strcpy (LI-PaRAD) |         512 |         13.846 |         13.876 |         16.539 |         13.931 |          2.612 |         34.247 |          0.768 |    +215.25%
         strcpy (Arm OR 23.01) |        1024 |         83.444 |         83.555 |         83.615 |         83.560 |          0.025 |         11.413 |          0.003 |
             strcpy (LI-PaRAD) |        1024 |         27.439 |         29.227 |         33.800 |         29.198 |          2.422 |         32.680 |          0.758 |    +186.18%
         strcpy (Arm OR 23.01) |        2048 |        161.001 |        161.025 |        161.078 |        161.029 |          0.010 |         11.845 |          0.001 |
             strcpy (LI-PaRAD) |        2048 |         50.821 |         50.855 |         50.921 |         50.857 |          0.044 |         37.504 |          0.017 |    +216.63%
         strcpy (Arm OR 23.01) |        4096 |        317.345 |        317.723 |        318.145 |        317.684 |          0.062 |         12.008 |          0.007 |
             strcpy (LI-PaRAD) |        4096 |        100.005 |        101.559 |        103.020 |        101.399 |          1.038 |         37.625 |          0.391 |    +213.30%
         strcpy (Arm OR 23.01) |        8192 |        629.160 |        629.443 |        632.416 |        629.461 |          0.054 |         12.121 |          0.006 |
             strcpy (LI-PaRAD) |        8192 |        198.673 |        200.241 |        202.116 |        200.541 |          0.438 |         38.045 |          0.166 |    +213.88%
         strcpy (Arm OR 23.01) |       16384 |       1262.140 |       1262.428 |       1263.072 |       1262.481 |          0.017 |         12.086 |          0.002 |
             strcpy (LI-PaRAD) |       16384 |        405.766 |        406.040 |        407.206 |        406.059 |          0.052 |         37.578 |          0.020 |    +210.91%
         strcpy (Arm OR 23.01) |       32768 |       2509.429 |       2510.848 |       2517.141 |       2511.711 |          0.081 |         12.150 |          0.010 |
             strcpy (LI-PaRAD) |       32768 |        799.264 |        799.274 |        805.785 |        800.611 |          0.219 |         38.118 |          0.083 |    +213.72%
         strcpy (Arm OR 23.01) |       65536 |       5142.110 |       5294.514 |       5441.121 |       5301.524 |          1.219 |         11.514 |          0.140 |
             strcpy (LI-PaRAD) |       65536 |       1595.633 |       1598.609 |       1601.842 |       1598.585 |          0.106 |         38.181 |          0.040 |    +231.64%
         strcpy (Arm OR 23.01) |      131072 |      10057.358 |      10063.329 |      10071.922 |      10063.420 |          0.025 |         12.130 |          0.003 |
             strcpy (LI-PaRAD) |      131072 |       3172.677 |       3176.424 |       3182.614 |       3176.280 |          0.071 |         38.432 |          0.027 |    +216.83%
         strcpy (Arm OR 23.01) |      262144 |      19985.190 |      20011.080 |      20056.810 |      20012.766 |          0.070 |         12.199 |          0.009 |
             strcpy (LI-PaRAD) |      262144 |       6324.750 |       6325.270 |       6393.290 |       6338.962 |          0.337 |         38.515 |          0.129 |    +215.71%
         strcpy (Arm OR 23.01) |      524288 |      40663.550 |      40837.000 |      41091.030 |      40845.481 |          0.187 |         11.954 |          0.022 |
             strcpy (LI-PaRAD) |      524288 |      15101.550 |      15629.130 |      16211.380 |      15661.780 |          1.372 |         31.182 |          0.425 |    +160.80%
         strcpy (Arm OR 23.01) |     1048576 |      81134.600 |      82177.400 |      85747.960 |      82952.630 |          1.732 |         11.776 |          0.202 |
             strcpy (LI-PaRAD) |     1048576 |      26337.020 |      30740.990 |      33202.500 |      29909.071 |          5.689 |         32.760 |          1.939 |    +177.35%
