        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strlen (Arm OR 23.01) |          64 |         10.241 |         10.865 |         11.170 |         10.849 |          1.571 |          5.495 |          0.087 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.467 |          3.471 |          3.467 |          0.058 |         17.190 |          0.010 |    +212.90%
         strlen (Arm OR 23.01) |         128 |         15.438 |         15.501 |         15.579 |         15.502 |          0.213 |          7.690 |          0.016 |
             strlen (LI-PaRAD) |         128 |          5.117 |          5.383 |          5.712 |          5.395 |          2.838 |         22.113 |          0.624 |    +187.34%
         strlen (Arm OR 23.01) |         256 |         23.879 |         23.885 |         23.913 |         23.885 |          0.013 |          9.982 |          0.001 |
             strlen (LI-PaRAD) |         256 |          8.012 |          8.530 |          9.442 |          8.502 |          4.033 |         28.088 |          1.120 |    +180.95%
         strlen (Arm OR 23.01) |         512 |         43.511 |         43.531 |         43.574 |         43.532 |          0.039 |         10.954 |          0.004 |
             strlen (LI-PaRAD) |         512 |         13.847 |         15.950 |         18.516 |         15.869 |         11.472 |         30.439 |          3.453 |    +174.32%
         strlen (Arm OR 23.01) |        1024 |         82.426 |         82.441 |         88.470 |         82.503 |          0.727 |         11.560 |          0.078 |
             strlen (LI-PaRAD) |        1024 |         27.329 |         27.359 |         34.677 |         27.485 |          3.367 |         34.730 |          0.947 |    +200.18%
         strlen (Arm OR 23.01) |        2048 |        160.631 |        160.654 |        160.686 |        160.654 |          0.007 |         11.872 |          0.001 |
             strlen (LI-PaRAD) |        2048 |         51.977 |         52.015 |         52.074 |         52.013 |          0.043 |         36.671 |          0.016 |    +208.87%
         strlen (Arm OR 23.01) |        4096 |        316.390 |        316.705 |        317.103 |        316.685 |          0.062 |         12.046 |          0.007 |
             strlen (LI-PaRAD) |        4096 |        101.156 |        101.396 |        101.782 |        101.332 |          0.193 |         37.646 |          0.072 |    +212.52%
         strlen (Arm OR 23.01) |        8192 |        628.854 |        629.184 |        629.621 |        629.166 |          0.028 |         12.126 |          0.003 |
             strlen (LI-PaRAD) |        8192 |        199.853 |        199.921 |        200.276 |        199.969 |          0.068 |         38.153 |          0.026 |    +214.63%
         strlen (Arm OR 23.01) |       16384 |       1262.752 |       1263.200 |       1263.924 |       1263.245 |          0.020 |         12.079 |          0.002 |
             strlen (LI-PaRAD) |       16384 |        404.408 |        404.570 |        407.717 |        404.616 |          0.084 |         37.712 |          0.032 |    +212.21%
         strlen (Arm OR 23.01) |       32768 |       2509.863 |       2511.089 |       2515.986 |       2511.858 |          0.076 |         12.149 |          0.009 |
             strlen (LI-PaRAD) |       32768 |        797.814 |        797.840 |        803.706 |        799.159 |          0.224 |         38.187 |          0.085 |    +214.31%
         strlen (Arm OR 23.01) |       65536 |       5013.358 |       5018.573 |       5023.951 |       5018.211 |          0.052 |         12.163 |          0.006 |
             strlen (LI-PaRAD) |       65536 |       1594.627 |       1597.404 |       1601.335 |       1597.621 |          0.117 |         38.204 |          0.045 |    +214.11%
         strlen (Arm OR 23.01) |      131072 |      10032.616 |      10048.544 |      10062.273 |      10047.352 |          0.071 |         12.150 |          0.009 |
             strlen (LI-PaRAD) |      131072 |       3171.200 |       3174.631 |       3178.397 |       3174.430 |          0.071 |         38.454 |          0.027 |    +216.51%
         strlen (Arm OR 23.01) |      262144 |      19849.570 |      19969.120 |      20068.170 |      19964.319 |          0.293 |         12.229 |          0.036 |
             strlen (LI-PaRAD) |      262144 |       6323.140 |       6323.290 |       6389.570 |       6335.017 |          0.294 |         38.539 |          0.113 |    +215.14%
         strlen (Arm OR 23.01) |      524288 |      40353.150 |      40435.730 |      40529.270 |      40436.832 |          0.081 |         12.075 |          0.010 |
             strlen (LI-PaRAD) |      524288 |      12626.030 |      12656.390 |      12760.480 |      12652.372 |          0.187 |         38.592 |          0.072 |    +219.60%
         strlen (Arm OR 23.01) |     1048576 |      80045.550 |      80496.750 |      80983.250 |      80490.115 |          0.256 |         12.133 |          0.031 |
             strlen (LI-PaRAD) |     1048576 |      25340.800 |      25393.430 |      25482.180 |      25400.945 |          0.133 |         38.446 |          0.051 |    +216.88%
         strlen (Arm OR 23.01) |     2097152 |     158870.900 |     160060.800 |     162139.300 |     160177.199 |          0.446 |         12.194 |          0.054 |
             strlen (LI-PaRAD) |     2097152 |      50533.200 |      50613.400 |      51715.000 |      50779.885 |          0.636 |         38.464 |          0.243 |    +215.43%
         strlen (Arm OR 23.01) |     4194304 |     317249.600 |     320654.900 |     325466.100 |     320498.728 |          0.579 |         12.188 |          0.070 |
             strlen (LI-PaRAD) |     4194304 |     100868.300 |     101280.000 |     102437.300 |     101255.816 |          0.427 |         38.579 |          0.164 |    +216.52%
         strlen (Arm OR 23.01) |     8388608 |     639927.000 |     645177.500 |     664284.000 |     645714.687 |          0.637 |         12.099 |          0.076 |
             strlen (LI-PaRAD) |     8388608 |     201744.900 |     202970.900 |     204814.600 |     202955.810 |          0.288 |         38.494 |          0.111 |    +218.16%
         strlen (Arm OR 23.01) |    16777216 |    1276650.500 |    1323249.000 |    1387183.000 |    1327917.530 |          1.955 |         11.771 |          0.228 |
             strlen (LI-PaRAD) |    16777216 |     403412.000 |     403459.500 |     418050.500 |     407136.520 |          1.193 |         38.383 |          0.453 |    +226.16%
         strlen (Arm OR 23.01) |    33554432 |    2611581.000 |    2661009.000 |    2745196.000 |    2666970.267 |          1.353 |         11.720 |          0.158 |
             strlen (LI-PaRAD) |    33554432 |     892292.500 |     908994.500 |     926038.000 |     908553.896 |          1.020 |         34.399 |          0.351 |    +193.54%
         strlen (Arm OR 23.01) |    67108864 |    5379687.500 |    5477820.500 |    5659363.000 |    5482901.282 |          1.084 |         11.400 |          0.123 |
             strlen (LI-PaRAD) |    67108864 |    2133607.500 |    2152432.500 |    2181524.500 |    2153731.639 |          0.523 |         29.020 |          0.152 |    +154.58%
         strlen (Arm OR 23.01) |   134217728 |   10898877.000 |   10998918.500 |   11264907.000 |   11015317.767 |          0.775 |         11.349 |          0.087 |
             strlen (LI-PaRAD) |   134217728 |    4334327.000 |    4364755.500 |    4389001.000 |    4363321.094 |          0.281 |         28.648 |          0.081 |    +152.45%
         strlen (Arm OR 23.01) |   268435456 |   21958149.000 |   22501590.000 |   22596955.000 |   22463767.955 |          0.591 |         11.129 |          0.067 |
             strlen (LI-PaRAD) |   268435456 |    9018803.500 |    9055180.000 |    9127240.000 |    9057738.990 |          0.196 |         27.601 |          0.054 |    +148.01%
         strlen (Arm OR 23.01) |   536870912 |   43995156.500 |   44725922.000 |   45207742.500 |   44684736.599 |          0.856 |         11.190 |          0.096 |
             strlen (LI-PaRAD) |   536870912 |   17752754.500 |   17787916.000 |   17819076.500 |   17786815.292 |          0.077 |         28.111 |          0.022 |    +151.22%
