ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|64|7.212|7.32|7.326|7.312|0.257|8.152|0.021
strncmp (GNU libc 2.39)|64|10.565|10.585|10.606|10.586|0.037|5.631|0.002
strncmp (Arm OR 23.01)|64|10.524|10.725|10.907|10.723|0.838|5.559|0.047
strncmp (LI-PaRAD)|128|13.952|14.036|14.089|14.042|0.157|8.49|0.013
strncmp (GNU libc 2.39)|128|19.72|19.754|19.798|19.757|0.072|6.034|0.004
strncmp (Arm OR 23.01)|128|21.567|21.573|21.604|21.573|0.018|5.526|0.001
strncmp (LI-PaRAD)|256|25.901|25.908|25.939|25.908|0.016|9.203|0.001
strncmp (GNU libc 2.39)|256|37.738|37.79|39.282|37.803|0.394|6.307|0.024
strncmp (Arm OR 23.01)|256|40.438|40.448|40.455|40.448|0.007|5.894|0.0
strncmp (LI-PaRAD)|512|51.211|51.7|52.026|51.689|0.457|9.225|0.042
strncmp (GNU libc 2.39)|512|74.099|74.178|74.225|74.175|0.032|6.429|0.002
strncmp (Arm OR 23.01)|512|76.995|77.048|77.088|77.045|0.02|6.189|0.001
strncmp (LI-PaRAD)|1024|100.619|100.643|100.761|100.647|0.02|9.475|0.002
strncmp (GNU libc 2.39)|1024|146.778|146.949|147.343|146.96|0.043|6.489|0.003
strncmp (Arm OR 23.01)|1024|150.191|150.241|150.292|150.238|0.015|6.348|0.001
strncmp (LI-PaRAD)|2048|202.051|203.826|205.126|203.787|0.274|9.36|0.026
strncmp (GNU libc 2.39)|2048|292.379|292.46|292.724|292.464|0.017|6.522|0.001
strncmp (Arm OR 23.01)|2048|296.538|296.623|296.879|296.622|0.012|6.43|0.001
strncmp (LI-PaRAD)|4096|399.378|399.593|400.375|399.619|0.037|9.546|0.004
strncmp (GNU libc 2.39)|4096|588.374|591.874|603.184|591.927|0.297|6.445|0.019
strncmp (Arm OR 23.01)|4096|589.076|589.425|589.678|589.397|0.025|6.472|0.002
strncmp (LI-PaRAD)|8192|822.483|822.652|823.189|822.666|0.017|9.274|0.002
strncmp (GNU libc 2.39)|8192|1172.672|1175.843|1179.938|1175.769|0.133|6.489|0.009
strncmp (Arm OR 23.01)|8192|1174.595|1175.096|1175.591|1175.127|0.016|6.492|0.001
strncmp (LI-PaRAD)|16384|1596.726|1597.226|1600.248|1597.3|0.027|9.553|0.003
strncmp (GNU libc 2.39)|16384|2328.401|2335.484|2339.869|2335.106|0.108|6.535|0.007
strncmp (Arm OR 23.01)|16384|2346.412|2347.171|2350.08|2347.172|0.016|6.501|0.001
strncmp (LI-PaRAD)|32768|3186.151|3190.824|3195.205|3190.528|0.068|9.565|0.007
strncmp (GNU libc 2.39)|32768|4689.222|4692.811|4698.87|4693.011|0.047|6.503|0.003
