        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strnlen (GNU libc 2.39) |          64 |          4.067 |          4.128 |          4.238 |          4.127 |          1.152 |         14.444 |          0.165 |
            strnlen (LI-PaRAD) |          64 |          4.295 |          4.334 |          4.338 |          4.334 |          0.098 |         13.754 |          0.014 |      -4.77%
       strnlen (GNU libc 2.39) |         128 |          6.271 |          6.308 |          6.431 |          6.312 |          0.576 |         18.885 |          0.108 |
            strnlen (LI-PaRAD) |         128 |          7.508 |          7.513 |          7.519 |          7.512 |          0.023 |         15.868 |          0.004 |     -15.97%
       strnlen (GNU libc 2.39) |         256 |         11.306 |         11.380 |         11.509 |         11.379 |          0.377 |         20.952 |          0.079 |
            strnlen (LI-PaRAD) |         256 |         13.672 |         13.767 |         13.958 |         13.784 |          0.505 |         17.298 |          0.087 |     -17.44%
       strnlen (GNU libc 2.39) |         512 |         21.907 |         21.985 |         22.157 |         21.999 |          0.361 |         21.676 |          0.078 |
            strnlen (LI-PaRAD) |         512 |         25.969 |         26.761 |         26.816 |         26.709 |          0.698 |         17.854 |          0.127 |     -17.64%
       strnlen (GNU libc 2.39) |        1024 |         42.440 |         42.490 |         42.635 |         42.493 |          0.086 |         22.443 |          0.019 |
            strnlen (LI-PaRAD) |        1024 |         52.004 |         52.077 |         55.602 |         52.121 |          0.678 |         18.298 |          0.116 |     -18.47%
       strnlen (GNU libc 2.39) |        2048 |         83.734 |         83.845 |         84.020 |         83.859 |          0.068 |         22.745 |          0.015 |
            strnlen (LI-PaRAD) |        2048 |        100.696 |        100.736 |        100.879 |        100.740 |          0.023 |         18.933 |          0.004 |     -16.76%
       strnlen (GNU libc 2.39) |        4096 |        165.583 |        166.101 |        167.144 |        166.105 |          0.148 |         22.966 |          0.034 |
            strnlen (LI-PaRAD) |        4096 |        200.019 |        200.094 |        200.382 |        200.135 |          0.055 |         19.061 |          0.011 |     -17.00%
       strnlen (GNU libc 2.39) |        8192 |        324.348 |        330.603 |        333.556 |        329.614 |          0.601 |         23.147 |          0.139 |
            strnlen (LI-PaRAD) |        8192 |        402.087 |        406.689 |        407.119 |        406.416 |          0.242 |         18.772 |          0.046 |     -18.90%
       strnlen (GNU libc 2.39) |       16384 |        665.708 |        672.957 |        674.164 |        672.655 |          0.209 |         22.685 |          0.048 |
            strnlen (LI-PaRAD) |       16384 |        809.892 |        810.210 |        813.266 |        810.255 |          0.041 |         18.832 |          0.008 |     -16.98%
