        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strrchr (Arm OR 23.01) |          64 |         13.863 |         13.868 |         13.899 |         13.868 |          0.028 |          4.298 |          0.001 |
            strrchr (LI-PaRAD) |          64 |          7.871 |          8.090 |          8.096 |          8.079 |          0.570 |          7.378 |          0.043 |     +71.66%
        strrchr (Arm OR 23.01) |         128 |         20.607 |         20.670 |         20.858 |         20.681 |          0.283 |          5.764 |          0.016 |
            strrchr (LI-PaRAD) |         128 |         10.710 |         10.786 |         10.819 |         10.785 |          0.103 |         11.053 |          0.011 |     +91.75%
        strrchr (Arm OR 23.01) |         256 |         33.126 |         33.190 |         33.458 |         33.201 |          0.224 |          7.181 |          0.016 |
            strrchr (LI-PaRAD) |         256 |         19.641 |         19.646 |         19.681 |         19.647 |          0.020 |         12.135 |          0.002 |     +68.99%
        strrchr (Arm OR 23.01) |         512 |         60.840 |         60.881 |         62.101 |         61.070 |          0.509 |          7.808 |          0.039 |
            strrchr (LI-PaRAD) |         512 |         28.110 |         31.975 |         32.039 |         31.797 |          2.115 |         15.003 |          0.346 |     +92.06%
        strrchr (Arm OR 23.01) |        1024 |        116.289 |        116.662 |        119.158 |        116.697 |          0.338 |          8.172 |          0.027 |
            strrchr (LI-PaRAD) |        1024 |         54.149 |         56.613 |         56.659 |         56.267 |          1.046 |         16.951 |          0.180 |    +107.40%
        strrchr (Arm OR 23.01) |        2048 |        227.283 |        227.703 |        228.339 |        227.726 |          0.112 |          8.376 |          0.009 |
            strrchr (LI-PaRAD) |        2048 |        102.923 |        105.676 |        106.000 |        105.405 |          0.599 |         18.096 |          0.109 |    +116.05%
        strrchr (Arm OR 23.01) |        4096 |        448.967 |        449.675 |        451.560 |        449.754 |          0.108 |          8.482 |          0.009 |
            strrchr (LI-PaRAD) |        4096 |        200.388 |        204.544 |        205.156 |        204.476 |          0.258 |         18.656 |          0.049 |    +119.95%
        strrchr (Arm OR 23.01) |        8192 |        892.729 |        893.362 |        894.290 |        893.406 |          0.037 |          8.540 |          0.003 |
            strrchr (LI-PaRAD) |        8192 |        399.704 |        401.713 |        402.244 |        401.215 |          0.215 |         19.016 |          0.041 |    +122.68%
        strrchr (Arm OR 23.01) |       16384 |       1785.981 |       1786.594 |       1787.070 |       1786.567 |          0.012 |          8.541 |          0.001 |
            strrchr (LI-PaRAD) |       16384 |        801.152 |        801.362 |        804.736 |        801.420 |          0.045 |         19.040 |          0.009 |    +122.93%
        strrchr (Arm OR 23.01) |       32768 |       3558.426 |       3561.855 |       3564.858 |       3561.800 |          0.049 |          8.568 |          0.004 |
            strrchr (LI-PaRAD) |       32768 |       1587.725 |       1590.456 |       1594.295 |       1590.520 |          0.110 |         19.187 |          0.021 |    +123.94%
        strrchr (Arm OR 23.01) |       65536 |       7111.441 |       7117.042 |       7124.260 |       7116.774 |          0.031 |          8.576 |          0.003 |
            strrchr (LI-PaRAD) |       65536 |       3172.814 |       3176.218 |       3180.832 |       3176.177 |          0.061 |         19.217 |          0.012 |    +124.07%
        strrchr (Arm OR 23.01) |      131072 |      14206.265 |      14209.856 |      14218.982 |      14210.341 |          0.024 |          8.590 |          0.002 |
            strrchr (LI-PaRAD) |      131072 |       6326.910 |       6330.645 |       6335.871 |       6330.439 |          0.033 |         19.283 |          0.006 |    +124.48%
        strrchr (Arm OR 23.01) |      262144 |      28394.520 |      28424.560 |      28469.980 |      28419.853 |          0.076 |          8.591 |          0.007 |
            strrchr (LI-PaRAD) |      262144 |      12625.810 |      12652.060 |      12690.950 |      12649.523 |          0.162 |         19.300 |          0.031 |    +124.67%
        strrchr (Arm OR 23.01) |      524288 |      56781.140 |      56829.400 |      56858.700 |      56824.507 |          0.034 |          8.593 |          0.003 |
            strrchr (LI-PaRAD) |      524288 |      25249.510 |      25274.370 |      25390.910 |      25279.329 |          0.104 |         19.315 |          0.020 |    +124.79%
        strrchr (Arm OR 23.01) |     1048576 |     113725.140 |     113819.010 |     113880.870 |     113809.858 |          0.033 |          8.581 |          0.003 |
            strrchr (LI-PaRAD) |     1048576 |      50575.780 |      50665.180 |      50775.170 |      50657.852 |          0.087 |         19.278 |          0.017 |    +124.66%
        strrchr (Arm OR 23.01) |     2097152 |     227225.400 |     227354.900 |     228421.000 |     227473.728 |          0.117 |          8.586 |          0.010 |
            strrchr (LI-PaRAD) |     2097152 |     100904.000 |     101243.900 |     102250.500 |     101228.190 |          0.311 |         19.294 |          0.060 |    +124.71%
        strrchr (Arm OR 23.01) |     4194304 |     454348.300 |     455172.100 |     458529.200 |     455256.498 |          0.123 |          8.580 |          0.011 |
            strrchr (LI-PaRAD) |     4194304 |     201714.700 |     202106.100 |     204845.100 |     202445.682 |          0.350 |         19.296 |          0.067 |    +124.88%
        strrchr (Arm OR 23.01) |     8388608 |     909184.500 |     909638.400 |     913124.900 |     909800.335 |          0.084 |          8.587 |          0.007 |
            strrchr (LI-PaRAD) |     8388608 |     404146.400 |     406043.500 |     412720.000 |     406410.287 |          0.511 |         19.224 |          0.098 |    +123.86%
        strrchr (Arm OR 23.01) |    16777216 |    1817131.000 |    1820027.500 |    1827845.500 |    1820107.198 |          0.095 |          8.585 |          0.008 |
            strrchr (LI-PaRAD) |    16777216 |     808800.500 |     812713.000 |     827399.500 |     813265.485 |          0.393 |         19.213 |          0.075 |    +123.80%
        strrchr (Arm OR 23.01) |    33554432 |    3639437.500 |    3643520.500 |    3650428.000 |    3643147.297 |          0.054 |          8.578 |          0.005 |
            strrchr (LI-PaRAD) |    33554432 |    1626152.000 |    1645131.500 |    1695999.000 |    1648365.356 |          0.976 |         18.960 |          0.184 |    +121.02%
        strrchr (Arm OR 23.01) |    67108864 |    7278663.000 |    7282200.000 |    7291463.500 |    7282456.441 |          0.027 |          8.582 |          0.002 |
            strrchr (LI-PaRAD) |    67108864 |    3297412.000 |    3340541.500 |    3392499.500 |    3343716.064 |          0.614 |         18.692 |          0.115 |    +117.80%
        strrchr (Arm OR 23.01) |   134217728 |   14554304.500 |   14558196.500 |   14563240.000 |   14558259.193 |          0.014 |          8.586 |          0.001 |
            strrchr (LI-PaRAD) |   134217728 |    6703435.000 |    6777032.000 |    6870869.000 |    6777296.050 |          0.492 |         18.444 |          0.091 |    +114.81%
        strrchr (Arm OR 23.01) |   268435456 |   29112753.000 |   29116531.000 |   29133628.000 |   29116943.510 |          0.010 |          8.586 |          0.001 |
            strrchr (LI-PaRAD) |   268435456 |   13511843.000 |   13612163.500 |   13720365.500 |   13613569.649 |          0.288 |         18.364 |          0.053 |    +113.88%
        strrchr (Arm OR 23.01) |   536870912 |   58216160.500 |   58232691.000 |   58252832.500 |   58232946.337 |          0.011 |          8.586 |          0.001 |
            strrchr (LI-PaRAD) |   536870912 |   27276327.000 |   27393980.500 |   27525826.000 |   27392156.262 |          0.195 |         18.253 |          0.036 |    +112.59%
