        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        memcmp (GNU libc 2.39) |          64 |          4.504 |          4.560 |          4.589 |          4.557 |          0.491 |         13.080 |          0.064 |
             memcmp (LI-PaRAD) |          64 |          4.662 |          5.008 |          5.016 |          5.002 |          0.902 |         11.917 |          0.115 |      -8.89%
        memcmp (GNU libc 2.39) |         128 |          7.888 |          7.894 |          7.920 |          7.895 |          0.048 |         15.100 |          0.007 |
             memcmp (LI-PaRAD) |         128 |          7.566 |          7.705 |          7.714 |          7.688 |          0.357 |         15.506 |          0.056 |      +2.69%
        memcmp (GNU libc 2.39) |         256 |          8.645 |          8.675 |          8.688 |          8.675 |          0.090 |         27.485 |          0.025 |
             memcmp (LI-PaRAD) |         256 |         13.672 |         13.745 |         13.920 |         13.741 |          0.406 |         17.351 |          0.070 |     -36.87%
        memcmp (GNU libc 2.39) |         512 |         15.831 |         15.936 |         16.002 |         15.927 |          0.256 |         29.939 |          0.077 |
             memcmp (LI-PaRAD) |         512 |         26.817 |         26.826 |         26.911 |         26.840 |          0.084 |         17.766 |          0.015 |     -40.66%
        memcmp (GNU libc 2.39) |        1024 |         29.865 |         30.009 |         30.093 |         29.999 |          0.195 |         31.791 |          0.062 |
             memcmp (LI-PaRAD) |        1024 |         51.460 |         51.492 |         58.044 |         51.560 |          1.265 |         18.499 |          0.208 |     -41.82%
        memcmp (GNU libc 2.39) |        2048 |         56.222 |         56.509 |         56.640 |         56.456 |          0.232 |         33.785 |          0.078 |
             memcmp (LI-PaRAD) |        2048 |        101.890 |        102.371 |        102.663 |        102.371 |          0.169 |         18.632 |          0.032 |     -44.85%
        memcmp (GNU libc 2.39) |        4096 |        107.659 |        108.000 |        108.621 |        107.989 |          0.229 |         35.325 |          0.081 |
             memcmp (LI-PaRAD) |        4096 |        202.900 |        202.976 |        203.481 |        203.028 |          0.060 |         18.789 |          0.011 |     -46.81%
        memcmp (GNU libc 2.39) |        8192 |        211.416 |        211.677 |        212.459 |        211.752 |          0.123 |         36.030 |          0.044 |
             memcmp (LI-PaRAD) |        8192 |        401.937 |        403.190 |        406.160 |        403.276 |          0.291 |         18.919 |          0.055 |     -47.49%
        memcmp (GNU libc 2.39) |       16384 |        410.446 |        411.446 |        413.704 |        411.617 |          0.167 |         37.070 |          0.062 |
             memcmp (LI-PaRAD) |       16384 |        811.332 |        811.593 |        814.438 |        811.720 |          0.050 |         18.798 |          0.009 |     -49.29%
        memcmp (GNU libc 2.39) |       32768 |        859.529 |        860.345 |        866.522 |        861.635 |          0.228 |         35.418 |          0.081 |
             memcmp (LI-PaRAD) |       32768 |       1627.245 |       1629.912 |       1644.113 |       1630.190 |          0.136 |         18.720 |          0.025 |     -47.15%
        memcmp (GNU libc 2.39) |       65536 |       1839.390 |       1842.986 |       1849.330 |       1843.234 |          0.087 |         33.113 |          0.029 |
             memcmp (LI-PaRAD) |       65536 |       3231.788 |       3237.569 |       3253.619 |       3237.461 |          0.088 |         18.853 |          0.017 |     -43.07%
        memcmp (GNU libc 2.39) |      131072 |       3685.788 |       3690.324 |       3693.534 |       3690.351 |          0.053 |         33.078 |          0.018 |
             memcmp (LI-PaRAD) |      131072 |       6479.721 |       6484.668 |       6499.012 |       6485.058 |          0.048 |         18.823 |          0.009 |     -43.09%
        memcmp (GNU libc 2.39) |      262144 |       7556.120 |       7564.260 |       7634.920 |       7578.624 |          0.286 |         32.215 |          0.092 |
             memcmp (LI-PaRAD) |      262144 |      12783.370 |      12852.350 |      12927.180 |      12852.511 |          0.200 |         18.996 |          0.038 |     -41.03%
        memcmp (GNU libc 2.39) |      524288 |      16343.080 |      16490.160 |      16689.350 |      16501.418 |          0.430 |         29.591 |          0.127 |
             memcmp (LI-PaRAD) |      524288 |      25863.530 |      25967.080 |      26106.920 |      25969.682 |          0.163 |         18.802 |          0.031 |     -36.46%
        memcmp (GNU libc 2.39) |     1048576 |      30986.790 |      31194.010 |      31773.550 |      31233.565 |          0.576 |         31.267 |          0.179 |
             memcmp (LI-PaRAD) |     1048576 |      51025.720 |      51206.230 |      51331.020 |      51198.556 |          0.116 |         19.074 |          0.022 |     -39.00%
        memcmp (GNU libc 2.39) |     2097152 |      66903.700 |      71188.800 |      78870.700 |      71251.896 |          3.448 |         27.443 |          0.928 |
             memcmp (LI-PaRAD) |     2097152 |     101594.400 |     102668.800 |     105475.700 |     102632.680 |          0.554 |         19.031 |          0.105 |     -30.58%
        memcmp (GNU libc 2.39) |     4194304 |     154936.400 |     158654.100 |     168400.200 |     158842.611 |          1.333 |         24.596 |          0.323 |
             memcmp (LI-PaRAD) |     4194304 |     202865.600 |     204485.000 |     206036.700 |     204475.118 |          0.257 |         19.104 |          0.049 |     -22.32%
        memcmp (GNU libc 2.39) |     8388608 |     319412.400 |     324006.000 |     345507.200 |     324316.915 |          0.962 |         24.091 |          0.224 |
             memcmp (LI-PaRAD) |     8388608 |     408150.400 |     410306.700 |     411849.800 |     410213.059 |          0.208 |         19.045 |          0.040 |     -20.94%
        memcmp (GNU libc 2.39) |    16777216 |     694422.500 |     700531.000 |     748193.500 |     701831.480 |          1.119 |         22.266 |          0.241 |
             memcmp (LI-PaRAD) |    16777216 |     820679.500 |     828900.000 |     837683.500 |     829424.450 |          0.434 |         18.839 |          0.082 |     -15.38%
        memcmp (GNU libc 2.39) |    33554432 |    1586899.000 |    1592584.500 |    1635925.500 |    1593142.243 |          0.361 |         19.616 |          0.070 |
             memcmp (LI-PaRAD) |    33554432 |    1712187.000 |    1720231.000 |    1740614.500 |    1720003.470 |          0.231 |         18.169 |          0.042 |      -7.38%
        memcmp (GNU libc 2.39) |    67108864 |    3471149.500 |    3522715.000 |    3688587.500 |    3528120.708 |          1.203 |         17.717 |          0.209 |
             memcmp (LI-PaRAD) |    67108864 |    3568792.000 |    3644211.500 |    3771703.000 |    3637014.678 |          1.322 |         17.187 |          0.225 |      -2.99%
