ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (LI-PaRAD)|64|4.662|5.008|5.016|5.002|0.902|11.917|0.115
memcmp (GNU libc 2.39)|64|4.504|4.56|4.589|4.557|0.491|13.08|0.064
memcmp (Arm OR 23.01)|64|5.196|5.201|5.217|5.201|0.064|11.459|0.007
memcmp (LI-PaRAD)|128|7.566|7.705|7.714|7.688|0.357|15.506|0.056
memcmp (GNU libc 2.39)|128|7.888|7.894|7.92|7.895|0.048|15.1|0.007
memcmp (Arm OR 23.01)|128|9.82|9.823|9.857|9.824|0.04|12.134|0.005
memcmp (LI-PaRAD)|256|13.672|13.745|13.92|13.741|0.406|17.351|0.07
memcmp (GNU libc 2.39)|256|8.645|8.675|8.688|8.675|0.09|27.485|0.025
memcmp (Arm OR 23.01)|256|17.716|17.803|17.973|17.808|0.428|13.389|0.057
memcmp (LI-PaRAD)|512|26.817|26.826|26.911|26.84|0.084|17.766|0.015
memcmp (GNU libc 2.39)|512|15.831|15.936|16.002|15.927|0.256|29.939|0.077
memcmp (Arm OR 23.01)|512|36.368|36.404|36.484|36.407|0.053|13.097|0.007
memcmp (LI-PaRAD)|1024|51.46|51.492|58.044|51.56|1.265|18.499|0.208
memcmp (GNU libc 2.39)|1024|29.865|30.009|30.093|29.999|0.195|31.791|0.062
memcmp (Arm OR 23.01)|1024|70.834|70.902|71.965|71.046|0.371|13.424|0.05
memcmp (LI-PaRAD)|2048|101.89|102.371|102.663|102.371|0.169|18.632|0.032
memcmp (GNU libc 2.39)|2048|56.222|56.509|56.64|56.456|0.232|33.785|0.078
memcmp (Arm OR 23.01)|2048|142.694|142.733|142.806|142.733|0.014|13.363|0.002
memcmp (LI-PaRAD)|4096|202.9|202.976|203.481|203.028|0.06|18.789|0.011
memcmp (GNU libc 2.39)|4096|107.659|108.0|108.621|107.989|0.229|35.325|0.081
memcmp (Arm OR 23.01)|4096|284.256|284.559|284.916|284.51|0.071|13.408|0.009
memcmp (LI-PaRAD)|8192|401.937|403.19|406.16|403.276|0.291|18.919|0.055
memcmp (GNU libc 2.39)|8192|211.416|211.677|212.459|211.752|0.123|36.03|0.044
memcmp (Arm OR 23.01)|8192|566.234|566.755|567.457|566.7|0.037|13.463|0.005
memcmp (LI-PaRAD)|16384|811.332|811.593|814.438|811.72|0.05|18.798|0.009
memcmp (GNU libc 2.39)|16384|410.446|411.446|413.704|411.617|0.167|37.07|0.062
memcmp (Arm OR 23.01)|16384|1188.784|1189.302|1189.887|1189.3|0.015|12.83|0.002
memcmp (LI-PaRAD)|32768|1627.245|1629.912|1644.113|1630.19|0.136|18.72|0.025
memcmp (GNU libc 2.39)|32768|859.529|860.345|866.522|861.635|0.228|35.418|0.081
memcmp (Arm OR 23.01)|32768|2369.751|2371.055|2379.125|2371.917|0.086|12.866|0.011
memcmp (LI-PaRAD)|65536|3231.788|3237.569|3253.619|3237.461|0.088|18.853|0.017
memcmp (GNU libc 2.39)|65536|1839.39|1842.986|1849.33|1843.234|0.087|33.113|0.029
memcmp (Arm OR 23.01)|65536|4596.15|4598.971|4604.034|4598.98|0.044|13.271|0.006
memcmp (LI-PaRAD)|131072|6479.721|6484.668|6499.012|6485.058|0.048|18.823|0.009
memcmp (GNU libc 2.39)|131072|3685.788|3690.324|3693.534|3690.351|0.053|33.078|0.018
memcmp (Arm OR 23.01)|131072|9246.352|9275.236|9322.694|9275.978|0.134|13.16|0.018
memcmp (LI-PaRAD)|262144|12783.37|12852.35|12927.18|12852.511|0.2|18.996|0.038
memcmp (GNU libc 2.39)|262144|7556.12|7564.26|7634.92|7578.624|0.286|32.215|0.092
memcmp (Arm OR 23.01)|262144|17863.72|17925.0|17986.98|17925.562|0.13|13.62|0.018
memcmp (LI-PaRAD)|524288|25863.53|25967.08|26106.92|25969.682|0.163|18.802|0.031
memcmp (GNU libc 2.39)|524288|16343.08|16490.16|16689.35|16501.418|0.43|29.591|0.127
memcmp (Arm OR 23.01)|524288|35943.94|36001.76|36174.94|36002.228|0.093|13.563|0.013
memcmp (LI-PaRAD)|1048576|51025.72|51206.23|51331.02|51198.556|0.116|19.074|0.022
memcmp (GNU libc 2.39)|1048576|30986.79|31194.01|31773.55|31233.565|0.576|31.267|0.179
memcmp (Arm OR 23.01)|1048576|71951.57|72089.99|72664.91|72093.036|0.113|13.546|0.015
memcmp (LI-PaRAD)|2097152|101594.4|102668.8|105475.7|102632.68|0.554|19.031|0.105
memcmp (GNU libc 2.39)|2097152|66903.7|71188.8|78870.7|71251.896|3.448|27.443|0.928
memcmp (Arm OR 23.01)|2097152|144261.8|145270.1|148034.7|145428.675|0.526|13.43|0.07
memcmp (LI-PaRAD)|4194304|202865.6|204485.0|206036.7|204475.118|0.257|19.104|0.049
memcmp (GNU libc 2.39)|4194304|154936.4|158654.1|168400.2|158842.611|1.333|24.596|0.323
memcmp (Arm OR 23.01)|4194304|289916.6|293077.6|299590.0|293090.105|0.456|13.328|0.06
