        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcpy (Arm OR 23.01) |          64 |          2.560 |          2.567 |          2.596 |          2.567 |          0.167 |         23.216 |          0.039 |
             memcpy (LI-PaRAD) |          64 |          2.694 |          2.697 |          2.700 |          2.697 |          0.066 |         22.104 |          0.015 |      -4.79%
         memcpy (Arm OR 23.01) |         128 |          3.441 |          3.446 |          3.655 |          3.448 |          0.607 |         34.577 |          0.198 |
             memcpy (LI-PaRAD) |         128 |          3.848 |          3.856 |          3.863 |          3.856 |          0.071 |         30.919 |          0.022 |     -10.58%
         memcpy (Arm OR 23.01) |         256 |          5.548 |          5.554 |          5.756 |          5.556 |          0.365 |         42.915 |          0.151 |
             memcpy (LI-PaRAD) |         256 |          7.699 |          7.705 |          7.892 |          7.707 |          0.243 |         30.936 |          0.073 |     -27.91%
         memcpy (Arm OR 23.01) |         512 |          9.031 |          9.123 |          9.214 |          9.113 |          0.534 |         52.326 |          0.280 |
             memcpy (LI-PaRAD) |         512 |         13.846 |         13.868 |         13.907 |         13.869 |          0.127 |         34.382 |          0.044 |     -34.29%
         memcpy (Arm OR 23.01) |        1024 |         15.713 |         15.911 |         16.061 |         15.909 |          0.395 |         59.946 |          0.237 |
             memcpy (LI-PaRAD) |        1024 |         26.175 |         26.187 |         26.243 |         26.199 |          0.086 |         36.402 |          0.031 |     -39.28%
         memcpy (Arm OR 23.01) |        2048 |         28.806 |         28.936 |         30.252 |         29.018 |          0.971 |         65.735 |          0.619 |
             memcpy (LI-PaRAD) |        2048 |         50.820 |         50.854 |         52.830 |         50.872 |          0.389 |         37.494 |          0.141 |     -42.96%
         memcpy (Arm OR 23.01) |        4096 |         53.650 |         56.272 |         56.980 |         56.109 |          1.116 |         67.996 |          0.775 |
             memcpy (LI-PaRAD) |        4096 |        100.004 |        100.213 |        100.647 |        100.168 |          0.187 |         38.083 |          0.071 |     -43.99%
