ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|64|7.957|7.962|7.972|7.962|0.021|7.486|0.002
strcmp (GNU libc 2.39)|64|8.077|8.08|8.109|8.08|0.045|7.376|0.003
strcmp (Arm OR 23.01)|64|13.867|14.09|14.315|14.093|0.76|4.23|0.032
strcmp (LI-PaRAD)|128|13.095|13.099|13.117|13.099|0.025|9.101|0.002
strcmp (GNU libc 2.39)|128|14.405|14.416|14.491|14.422|0.133|8.266|0.011
strcmp (Arm OR 23.01)|128|22.561|22.618|22.726|22.62|0.13|5.27|0.007
strcmp (LI-PaRAD)|256|21.826|21.831|21.876|21.832|0.027|10.921|0.003
strcmp (GNU libc 2.39)|256|26.87|26.911|27.019|26.9|0.097|8.863|0.009
strcmp (Arm OR 23.01)|256|39.215|39.296|39.408|39.295|0.108|6.067|0.007
strcmp (LI-PaRAD)|512|40.309|40.324|41.102|40.332|0.198|11.823|0.023
strcmp (GNU libc 2.39)|512|51.782|51.914|56.271|51.985|0.874|9.173|0.075
strcmp (Arm OR 23.01)|512|72.621|72.678|72.863|72.692|0.069|6.56|0.005
strcmp (LI-PaRAD)|1024|77.256|77.31|80.34|77.337|0.391|12.332|0.046
strcmp (GNU libc 2.39)|1024|101.872|102.194|102.564|102.201|0.129|9.331|0.012
strcmp (Arm OR 23.01)|1024|140.968|141.021|142.567|141.033|0.11|6.762|0.007
strcmp (LI-PaRAD)|2048|151.224|151.288|174.167|151.525|1.504|12.59|0.165
strcmp (GNU libc 2.39)|2048|203.188|203.756|204.209|203.766|0.096|9.361|0.009
strcmp (Arm OR 23.01)|2048|276.023|276.075|276.334|276.083|0.014|6.909|0.001
strcmp (LI-PaRAD)|4096|298.956|299.264|300.85|299.236|0.089|12.748|0.011
strcmp (GNU libc 2.39)|4096|384.163|390.311|409.639|392.059|1.12|9.731|0.108
strcmp (Arm OR 23.01)|4096|546.905|547.332|547.843|547.293|0.037|6.97|0.003
strcmp (LI-PaRAD)|8192|594.67|595.12|595.842|595.112|0.032|12.82|0.004
strcmp (GNU libc 2.39)|8192|767.446|776.392|791.509|776.324|0.523|9.828|0.051
strcmp (Arm OR 23.01)|8192|1089.308|1089.758|1090.699|1089.72|0.023|7.001|0.002
strcmp (LI-PaRAD)|16384|1196.406|1196.843|1197.47|1196.858|0.018|12.749|0.002
strcmp (GNU libc 2.39)|16384|1530.451|1535.96|1547.121|1536.762|0.226|9.929|0.022
strcmp (Arm OR 23.01)|16384|2183.565|2184.476|2185.134|2184.437|0.012|6.985|0.001
strcmp (LI-PaRAD)|32768|2388.156|2388.944|2394.977|2389.892|0.076|12.769|0.01
strcmp (GNU libc 2.39)|32768|3063.444|3104.978|3161.949|3099.917|0.563|9.845|0.055
strcmp (Arm OR 23.01)|32768|4349.216|4351.821|4369.296|4352.448|0.062|7.012|0.004
strcmp (LI-PaRAD)|65536|4749.67|4753.442|4757.687|4753.247|0.041|12.841|0.005
strcmp (GNU libc 2.39)|65536|6095.641|6156.54|6226.112|6164.755|0.547|9.901|0.054
strcmp (Arm OR 23.01)|65536|8630.326|8635.642|8647.21|8635.705|0.035|7.068|0.002
strcmp (LI-PaRAD)|131072|9489.77|9494.737|9504.485|9494.791|0.027|12.857|0.003
strcmp (GNU libc 2.39)|131072|12256.172|12300.752|12359.315|12298.753|0.183|9.925|0.018
strcmp (Arm OR 23.01)|131072|17069.157|17078.63|17092.978|17078.55|0.024|7.148|0.002
strcmp (LI-PaRAD)|262144|18928.96|18962.61|19010.3|18965.84|0.082|12.873|0.01
strcmp (GNU libc 2.39)|262144|26563.97|26795.2|27213.22|26799.754|0.533|9.11|0.048
strcmp (Arm OR 23.01)|262144|34339.85|34382.94|34464.58|34385.123|0.059|7.1|0.004
strcmp (LI-PaRAD)|524288|38069.02|38156.21|38341.06|38155.331|0.098|12.797|0.013
strcmp (GNU libc 2.39)|524288|53544.74|54117.35|54385.39|54084.806|0.31|9.028|0.028
strcmp (Arm OR 23.01)|524288|68710.69|68772.74|68849.66|68773.613|0.042|7.1|0.003
strcmp (LI-PaRAD)|1048576|75796.95|75914.56|76029.42|75909.462|0.076|12.865|0.01
strcmp (GNU libc 2.39)|1048576|106574.57|107469.43|108862.67|107538.085|0.417|9.081|0.038
strcmp (Arm OR 23.01)|1048576|136335.34|136467.02|136788.27|136467.911|0.039|7.156|0.003
strcmp (LI-PaRAD)|2097152|151354.8|151984.4|153393.3|152049.869|0.373|12.845|0.048
strcmp (GNU libc 2.39)|2097152|211282.5|213898.9|222558.1|214475.56|1.042|9.107|0.094
strcmp (Arm OR 23.01)|2097152|271857.2|272613.0|273477.9|272612.972|0.124|7.164|0.009
strcmp (LI-PaRAD)|4194304|303043.5|304328.5|308613.5|304565.928|0.42|12.826|0.054
strcmp (GNU libc 2.39)|4194304|423914.9|429988.9|463556.5|430755.23|1.468|9.07|0.128
strcmp (Arm OR 23.01)|4194304|539656.1|544924.6|547197.6|544834.815|0.167|7.17|0.012
strcmp (LI-PaRAD)|8388608|606857.3|610549.6|619164.4|610612.97|0.449|12.795|0.057
