        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcpy (GNU libc 2.39) |          64 |          4.591 |          4.593 |          4.641 |          4.596 |          0.206 |         12.968 |          0.026 |
             strcpy (LI-PaRAD) |          64 |          3.508 |          3.719 |          3.813 |          3.713 |          1.449 |         16.055 |          0.236 |     +23.78%
        strcpy (GNU libc 2.39) |         128 |          7.206 |          7.213 |          7.270 |          7.221 |          0.254 |         16.509 |          0.042 |
             strcpy (LI-PaRAD) |         128 |          5.312 |          5.382 |          5.634 |          5.386 |          0.839 |         22.133 |          0.183 |     +34.05%
        strcpy (GNU libc 2.39) |         256 |         12.474 |         12.478 |         12.504 |         12.479 |          0.034 |         19.106 |          0.006 |
             strcpy (LI-PaRAD) |         256 |          8.236 |          8.572 |          8.890 |          8.568 |          1.628 |         27.835 |          0.454 |     +45.65%
        strcpy (GNU libc 2.39) |         512 |         23.025 |         23.047 |         23.224 |         23.054 |          0.125 |         20.684 |          0.026 |
             strcpy (LI-PaRAD) |         512 |         13.847 |         13.947 |         17.736 |         14.113 |          5.216 |         33.860 |          1.438 |     +63.35%
        strcpy (GNU libc 2.39) |        1024 |         44.012 |         44.168 |         44.317 |         44.162 |          0.123 |         21.595 |          0.026 |
             strcpy (LI-PaRAD) |        1024 |         26.192 |         28.094 |         33.399 |         28.551 |          5.569 |         33.497 |          1.719 |     +54.68%
        strcpy (GNU libc 2.39) |        2048 |         86.712 |         87.152 |         87.650 |         87.171 |          0.219 |         21.881 |          0.048 |
             strcpy (LI-PaRAD) |        2048 |         50.823 |         50.948 |         52.338 |         51.046 |          0.592 |         37.367 |          0.218 |     +70.77%
        strcpy (GNU libc 2.39) |        4096 |        172.681 |        175.716 |        179.543 |        175.987 |          0.698 |         21.677 |          0.150 |
             strcpy (LI-PaRAD) |        4096 |        100.004 |        110.505 |        112.954 |        109.010 |          3.384 |         35.036 |          1.256 |     +61.44%
        strcpy (GNU libc 2.39) |        8192 |        342.930 |        375.249 |        394.910 |        374.021 |          2.912 |         20.416 |          0.608 |
             strcpy (LI-PaRAD) |        8192 |        198.711 |        203.409 |        204.137 |        202.993 |          0.583 |         37.586 |          0.222 |     +84.25%
        strcpy (GNU libc 2.39) |       16384 |        737.237 |        769.539 |        787.324 |        767.134 |          1.505 |         19.895 |          0.302 |
             strcpy (LI-PaRAD) |       16384 |        408.878 |        421.575 |        433.090 |        421.636 |          1.468 |         36.197 |          0.535 |     +81.94%
        strcpy (GNU libc 2.39) |       32768 |       1532.466 |       1552.396 |       1568.611 |       1551.957 |          0.380 |         19.664 |          0.075 |
             strcpy (LI-PaRAD) |       32768 |        819.968 |        826.667 |        831.761 |        826.579 |          0.357 |         36.921 |          0.132 |     +87.76%
        strcpy (GNU libc 2.39) |       65536 |       3129.895 |       3136.853 |       3159.579 |       3137.398 |          0.139 |         19.454 |          0.027 |
             strcpy (LI-PaRAD) |       65536 |       1616.065 |       1622.323 |       1629.112 |       1622.460 |          0.132 |         37.619 |          0.050 |     +93.37%
        strcpy (GNU libc 2.39) |      131072 |       6294.054 |       6298.838 |       6303.506 |       6298.675 |          0.033 |         19.380 |          0.006 |
             strcpy (LI-PaRAD) |      131072 |       3201.428 |       3207.622 |       3235.324 |       3208.446 |          0.132 |         38.047 |          0.050 |     +96.32%
        strcpy (GNU libc 2.39) |      262144 |      12586.690 |      12616.760 |      12659.560 |      12614.645 |          0.159 |         19.354 |          0.031 |
             strcpy (LI-PaRAD) |      262144 |       6343.360 |       6354.140 |       6423.140 |       6364.503 |          0.328 |         38.360 |          0.125 |     +98.20%
        strcpy (GNU libc 2.39) |      524288 |      25331.280 |      25470.740 |      25718.890 |      25464.830 |          0.284 |         19.175 |          0.054 |
             strcpy (LI-PaRAD) |      524288 |      15035.580 |      15549.230 |      16466.710 |      15603.521 |          1.787 |         31.303 |          0.550 |     +63.20%
        strcpy (GNU libc 2.39) |     1048576 |      50514.430 |      50616.060 |      51008.750 |      50616.562 |          0.129 |         19.293 |          0.025 |
             strcpy (LI-PaRAD) |     1048576 |      26082.900 |      26446.380 |      26700.940 |      26428.534 |          0.534 |         36.952 |          0.197 |     +91.52%
        strcpy (GNU libc 2.39) |     2097152 |     101005.100 |     102058.000 |     104016.900 |     102155.453 |          0.694 |         19.120 |          0.132 |
             strcpy (LI-PaRAD) |     2097152 |      56488.600 |      58498.000 |      60049.500 |      58553.767 |          1.028 |         33.360 |          0.343 |     +74.46%
        strcpy (GNU libc 2.39) |     4194304 |     203736.800 |     204971.200 |     208447.200 |     204984.010 |          0.304 |         19.057 |          0.058 |
             strcpy (LI-PaRAD) |     4194304 |     120446.700 |     122743.100 |     124756.700 |     122810.004 |          0.728 |         31.809 |          0.232 |     +66.91%
        strcpy (GNU libc 2.39) |     8388608 |     406161.800 |     406767.600 |     408351.100 |     406853.999 |          0.096 |         19.202 |          0.018 |
             strcpy (LI-PaRAD) |     8388608 |     247514.200 |     249518.300 |     254372.800 |     249836.360 |          0.505 |         31.271 |          0.157 |     +62.85%
        strcpy (GNU libc 2.39) |    16777216 |     808210.500 |     813823.000 |     817060.000 |     813127.772 |          0.273 |         19.216 |          0.053 |
             strcpy (LI-PaRAD) |    16777216 |     500691.500 |     506566.500 |     515862.500 |     506980.312 |          0.850 |         30.822 |          0.261 |     +60.39%
        strcpy (GNU libc 2.39) |    33554432 |    1625295.500 |    1635161.500 |    1656528.500 |    1636082.728 |          0.333 |         19.101 |          0.063 |
             strcpy (LI-PaRAD) |    33554432 |    1055292.000 |    1072199.000 |    1096212.000 |    1072324.886 |          0.853 |         29.144 |          0.248 |     +52.57%
        strcpy (GNU libc 2.39) |    67108864 |    3290773.000 |    3299952.500 |    3333066.000 |    3302488.302 |          0.250 |         18.925 |          0.047 |
             strcpy (LI-PaRAD) |    67108864 |    2470580.000 |    2487941.000 |    2523385.000 |    2490204.936 |          0.445 |         25.099 |          0.111 |     +32.62%
        strcpy (GNU libc 2.39) |   134217728 |    6629082.000 |    6673022.000 |    6794788.000 |    6692490.351 |          0.659 |         18.678 |          0.123 |
