        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strlen (GNU libc 2.39) |          64 |          3.978 |          3.985 |          4.007 |          3.985 |          0.120 |         14.957 |          0.018 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.546 |          3.732 |          3.548 |          2.202 |         16.809 |          0.365 |     +12.33%
        strlen (GNU libc 2.39) |         128 |          5.075 |          5.081 |          5.094 |          5.080 |          0.067 |         23.465 |          0.016 |
             strlen (LI-PaRAD) |         128 |          5.101 |          5.519 |          5.779 |          5.541 |          3.386 |         21.538 |          0.740 |      -8.32%
        strlen (GNU libc 2.39) |         256 |          8.063 |          8.066 |          8.091 |          8.067 |          0.040 |         29.556 |          0.012 |
             strlen (LI-PaRAD) |         256 |          8.088 |          8.371 |          9.098 |          8.329 |          2.642 |         28.644 |          0.738 |      -3.15%
        strlen (GNU libc 2.39) |         512 |         13.793 |         13.825 |         13.864 |         13.823 |          0.131 |         34.496 |          0.045 |
             strlen (LI-PaRAD) |         512 |         13.847 |         15.677 |         18.508 |         15.621 |          9.952 |         30.821 |          3.013 |     -11.51%
        strlen (GNU libc 2.39) |        1024 |         23.838 |         23.886 |         24.085 |         23.919 |          0.296 |         39.872 |          0.118 |
             strlen (LI-PaRAD) |        1024 |         30.019 |         30.052 |         36.621 |         30.276 |          3.831 |         31.538 |          1.014 |     -21.00%
        strlen (GNU libc 2.39) |        2048 |         45.745 |         46.649 |         47.246 |         46.600 |          0.688 |         40.932 |          0.282 |
             strlen (LI-PaRAD) |        2048 |         51.974 |         52.009 |         52.436 |         52.011 |          0.092 |         36.672 |          0.033 |     -10.40%
        strlen (GNU libc 2.39) |        4096 |         88.468 |         92.212 |         93.244 |         92.194 |          0.751 |         41.379 |          0.315 |
             strlen (LI-PaRAD) |        4096 |        101.157 |        101.375 |        101.731 |        101.321 |          0.180 |         37.650 |          0.068 |      -9.01%
        strlen (GNU libc 2.39) |        8192 |        177.331 |        183.262 |        185.674 |        183.080 |          0.949 |         41.676 |          0.398 |
             strlen (LI-PaRAD) |        8192 |        199.827 |        199.940 |        200.439 |        199.947 |          0.063 |         38.157 |          0.024 |      -8.44%
        strlen (GNU libc 2.39) |       16384 |        331.810 |        351.243 |        389.153 |        353.977 |          3.984 |         43.174 |          1.698 |
             strlen (LI-PaRAD) |       16384 |        404.402 |        404.536 |        405.038 |        404.556 |          0.034 |         37.717 |          0.013 |     -12.50%
        strlen (GNU libc 2.39) |       32768 |        649.790 |        667.149 |        803.223 |        683.852 |          5.591 |         44.752 |          2.284 |
             strlen (LI-PaRAD) |       32768 |        797.807 |        797.816 |        804.004 |        799.164 |          0.228 |         38.187 |          0.087 |     -14.43%
        strlen (GNU libc 2.39) |       65536 |       1342.074 |       1421.398 |       1580.095 |       1440.362 |          4.932 |         42.475 |          2.059 |
             strlen (LI-PaRAD) |       65536 |       1595.298 |       1597.842 |       1601.780 |       1598.140 |          0.112 |         38.191 |          0.043 |      -9.87%
        strlen (GNU libc 2.39) |      131072 |       2771.948 |       2866.531 |       3170.017 |       2905.364 |          3.867 |         42.076 |          1.578 |
             strlen (LI-PaRAD) |      131072 |       3173.843 |       3177.680 |       3188.670 |       3177.499 |          0.078 |         38.417 |          0.030 |      -8.56%
        strlen (GNU libc 2.39) |      262144 |       5469.390 |       5637.720 |       6322.720 |       5719.862 |          4.051 |         42.748 |          1.615 |
             strlen (LI-PaRAD) |      262144 |       6323.450 |       6324.460 |       6391.480 |       6336.299 |          0.308 |         38.531 |          0.118 |      -9.73%
        strlen (GNU libc 2.39) |      524288 |      11133.090 |      11381.330 |      12956.470 |      11676.007 |          5.143 |         41.923 |          2.038 |
             strlen (LI-PaRAD) |      524288 |      12781.840 |      12825.030 |      12880.220 |      12821.445 |          0.193 |         38.083 |          0.074 |      -8.93%
        strlen (GNU libc 2.39) |     1048576 |      23178.530 |      24951.660 |      25656.100 |      24846.088 |          2.301 |         39.325 |          0.919 |
             strlen (LI-PaRAD) |     1048576 |      25655.750 |      25748.730 |      25859.320 |      25753.136 |          0.168 |         37.920 |          0.064 |      -3.52%
        strlen (GNU libc 2.39) |     2097152 |      47412.200 |      49849.800 |      51856.700 |      49910.588 |          1.236 |         39.138 |          0.486 |
             strlen (LI-PaRAD) |     2097152 |      50494.900 |      50501.600 |      51808.600 |      50684.165 |          0.678 |         38.537 |          0.258 |      -1.53%
        strlen (GNU libc 2.39) |     4194304 |      96201.700 |     100813.200 |     103401.500 |     100754.802 |          0.748 |         38.772 |          0.296 |
             strlen (LI-PaRAD) |     4194304 |     100924.500 |     101389.700 |     103804.500 |     101428.326 |          0.621 |         38.514 |          0.237 |      -0.66%
        strlen (GNU libc 2.39) |     8388608 |     193749.300 |     202009.400 |     213750.400 |     201758.503 |          1.203 |         38.728 |          0.465 |
             strlen (LI-PaRAD) |     8388608 |     201800.200 |     203152.800 |     207142.400 |     203428.444 |          0.533 |         38.405 |          0.203 |      -0.82%
        strlen (GNU libc 2.39) |    16777216 |     357653.000 |     406337.500 |     483492.500 |     407814.248 |          4.792 |         38.399 |          1.793 |
             strlen (LI-PaRAD) |    16777216 |     404469.500 |     404919.500 |     446321.500 |     410638.916 |          2.165 |         38.068 |          0.796 |      -0.69%
