        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncmp (Arm OR 23.01) |          64 |         10.546 |         10.772 |         10.891 |         10.758 |          0.663 |          5.541 |          0.037 |
            strncmp (LI-PaRAD) |          64 |          7.255 |          7.320 |          7.322 |          7.319 |          0.091 |          8.144 |          0.007 |     +46.99%
        strncmp (Arm OR 23.01) |         128 |         21.568 |         21.573 |         21.580 |         21.573 |          0.009 |          5.526 |          0.001 |
            strncmp (LI-PaRAD) |         128 |         13.981 |         14.036 |         14.065 |         14.036 |          0.153 |          8.493 |          0.013 |     +53.70%
        strncmp (Arm OR 23.01) |         256 |         40.443 |         40.448 |         40.473 |         40.448 |          0.009 |          5.894 |          0.001 |
            strncmp (LI-PaRAD) |         256 |         26.190 |         26.195 |         26.201 |         26.195 |          0.008 |          9.102 |          0.001 |     +54.41%
        strncmp (Arm OR 23.01) |         512 |         74.302 |         74.353 |         74.379 |         74.348 |          0.022 |          6.414 |          0.001 |
            strncmp (LI-PaRAD) |         512 |         51.048 |         51.928 |         52.223 |         51.865 |          0.406 |          9.194 |          0.038 |     +43.35%
        strncmp (Arm OR 23.01) |        1024 |        146.721 |        146.769 |        147.065 |        146.770 |          0.026 |          6.498 |          0.002 |
            strncmp (LI-PaRAD) |        1024 |        103.212 |        103.235 |        103.279 |        103.239 |          0.017 |          9.238 |          0.002 |     +42.17%
        strncmp (Arm OR 23.01) |        2048 |        286.938 |        286.988 |        287.055 |        286.992 |          0.009 |          6.646 |          0.001 |
            strncmp (LI-PaRAD) |        2048 |        201.906 |        203.917 |        205.652 |        203.918 |          0.416 |          9.354 |          0.039 |     +40.74%
        strncmp (Arm OR 23.01) |        4096 |        570.121 |        570.562 |        570.804 |        570.511 |          0.029 |          6.686 |          0.002 |
            strncmp (LI-PaRAD) |        4096 |        411.540 |        411.776 |        414.962 |        411.811 |          0.084 |          9.263 |          0.008 |     +38.54%
        strncmp (Arm OR 23.01) |        8192 |       1137.105 |       1137.586 |       1138.214 |       1137.593 |          0.018 |          6.707 |          0.001 |
            strncmp (LI-PaRAD) |        8192 |        802.716 |        814.605 |        822.700 |        814.248 |          0.612 |          9.370 |          0.057 |     +39.71%
        strncmp (Arm OR 23.01) |       16384 |       2240.059 |       2246.388 |       2246.914 |       2245.385 |          0.101 |          6.796 |          0.007 |
            strncmp (LI-PaRAD) |       16384 |       1581.157 |       1581.894 |       1582.165 |       1581.860 |          0.011 |          9.646 |          0.001 |     +41.95%
        strncmp (Arm OR 23.01) |       32768 |       4483.864 |       4501.752 |       4510.802 |       4500.563 |          0.113 |          6.781 |          0.008 |
            strncmp (LI-PaRAD) |       32768 |       3167.809 |       3171.021 |       3174.497 |       3170.814 |          0.064 |          9.625 |          0.006 |     +41.94%
        strncmp (Arm OR 23.01) |       65536 |       9104.292 |       9109.900 |       9115.089 |       9110.027 |          0.027 |          6.700 |          0.002 |
            strncmp (LI-PaRAD) |       65536 |       6326.585 |       6379.718 |       6414.393 |       6371.284 |          0.317 |          9.580 |          0.030 |     +42.99%
        strncmp (Arm OR 23.01) |      131072 |      18285.250 |      18290.076 |      18296.146 |      18290.382 |          0.015 |          6.674 |          0.001 |
            strncmp (LI-PaRAD) |      131072 |      12667.543 |      12673.173 |      12678.794 |      12673.401 |          0.020 |          9.632 |          0.002 |     +44.32%
        strncmp (Arm OR 23.01) |      262144 |      37859.660 |      37923.760 |      38031.150 |      37926.200 |          0.066 |          6.437 |          0.004 |
            strncmp (LI-PaRAD) |      262144 |      25968.490 |      26013.330 |      26057.570 |      26012.472 |          0.079 |          9.386 |          0.007 |     +45.80%
        strncmp (Arm OR 23.01) |      524288 |      76278.620 |      76356.480 |      76745.630 |      76377.696 |          0.094 |          6.393 |          0.006 |
            strncmp (LI-PaRAD) |      524288 |      51809.440 |      52046.320 |      52174.990 |      52005.900 |          0.196 |          9.389 |          0.018 |     +46.86%
        strncmp (Arm OR 23.01) |     1048576 |     151652.790 |     151788.240 |     152802.270 |     151802.130 |          0.075 |          6.433 |          0.005 |
            strncmp (LI-PaRAD) |     1048576 |     104163.500 |     104195.750 |     104787.240 |     104202.282 |          0.059 |          9.372 |          0.006 |     +45.68%
        strncmp (Arm OR 23.01) |     2097152 |     302389.100 |     303629.000 |     307114.300 |     303709.281 |          0.215 |          6.431 |          0.014 |
            strncmp (LI-PaRAD) |     2097152 |     208285.300 |     208346.300 |     209034.300 |     208425.793 |          0.076 |          9.371 |          0.007 |     +45.72%
        strncmp (Arm OR 23.01) |     4194304 |     604743.500 |     607360.800 |     612196.000 |     607494.619 |          0.223 |          6.430 |          0.014 |
            strncmp (LI-PaRAD) |     4194304 |     416672.500 |     416998.900 |     419110.600 |     417057.275 |          0.072 |          9.366 |          0.007 |     +45.66%
        strncmp (Arm OR 23.01) |     8388608 |    1198723.000 |    1218201.900 |    1232999.900 |    1217695.073 |          0.379 |          6.416 |          0.024 |
            strncmp (LI-PaRAD) |     8388608 |     835242.500 |     836826.300 |     853971.800 |     838127.517 |          0.414 |          9.322 |          0.038 |     +45.29%
        strncmp (Arm OR 23.01) |    16777216 |    2402269.000 |    2445588.500 |    2484571.500 |    2445512.302 |          0.798 |          6.390 |          0.051 |
            strncmp (LI-PaRAD) |    16777216 |    1668251.000 |    1674006.000 |    1680578.500 |    1673760.376 |          0.153 |          9.335 |          0.014 |     +46.11%
        strncmp (Arm OR 23.01) |    33554432 |    4789077.500 |    4883386.500 |    4977099.500 |    4882154.411 |          0.856 |          6.401 |          0.055 |
            strncmp (LI-PaRAD) |    33554432 |    3339426.000 |    3344258.500 |    3349767.000 |    3344033.832 |          0.072 |          9.345 |          0.007 |     +46.00%
        strncmp (Arm OR 23.01) |    67108864 |    9628775.000 |    9765656.000 |    9887511.500 |    9763376.926 |          0.546 |          6.402 |          0.035 |
            strncmp (LI-PaRAD) |    67108864 |    6677992.000 |    6681919.500 |    6688288.000 |    6681854.817 |          0.034 |          9.354 |          0.003 |     +46.12%
        strncmp (Arm OR 23.01) |   134217728 |   19291454.000 |   19474487.000 |   19703918.000 |   19470924.574 |          0.412 |          6.420 |          0.026 |
            strncmp (LI-PaRAD) |   134217728 |   13351632.500 |   13356977.500 |   13367326.500 |   13357149.832 |          0.022 |          9.358 |          0.002 |     +45.77%
        strncmp (Arm OR 23.01) |   268435456 |   38702340.500 |   39022672.500 |   39361640.000 |   39036968.297 |          0.314 |          6.404 |          0.020 |
            strncmp (LI-PaRAD) |   268435456 |   26703496.000 |   26712219.500 |   26729234.500 |   26712000.248 |          0.014 |          9.359 |          0.001 |     +46.14%
