        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strnlen (GNU libc 2.39) |          64 |          4.065 |          4.114 |          4.240 |          4.117 |          1.146 |         14.480 |          0.165 |
            strnlen (LI-PaRAD) |          64 |          4.332 |          4.334 |          4.338 |          4.334 |          0.037 |         13.753 |          0.005 |      -5.01%
       strnlen (GNU libc 2.39) |         128 |          6.271 |          6.317 |          6.428 |          6.315 |          0.575 |         18.878 |          0.108 |
            strnlen (LI-PaRAD) |         128 |          7.508 |          7.513 |          7.516 |          7.513 |          0.023 |         15.868 |          0.004 |     -15.94%
       strnlen (GNU libc 2.39) |         256 |         11.305 |         11.385 |         11.495 |         11.382 |          0.396 |         20.947 |          0.083 |
            strnlen (LI-PaRAD) |         256 |         13.672 |         13.827 |         14.051 |         13.811 |          0.655 |         17.264 |          0.113 |     -17.58%
       strnlen (GNU libc 2.39) |         512 |         21.902 |         21.960 |         22.135 |         21.983 |          0.290 |         21.692 |          0.063 |
            strnlen (LI-PaRAD) |         512 |         26.750 |         26.762 |         26.815 |         26.774 |          0.082 |         17.809 |          0.015 |     -17.90%
       strnlen (GNU libc 2.39) |        1024 |         42.303 |         42.418 |         48.231 |         42.539 |          1.754 |         22.425 |          0.351 |
            strnlen (LI-PaRAD) |        1024 |         51.976 |         52.048 |         58.276 |         52.136 |          1.229 |         18.295 |          0.203 |     -18.41%
       strnlen (GNU libc 2.39) |        2048 |         82.572 |         82.680 |         83.487 |         82.713 |          0.178 |         23.060 |          0.041 |
            strnlen (LI-PaRAD) |        2048 |        100.715 |        100.735 |        100.798 |        100.740 |          0.018 |         18.933 |          0.003 |     -17.90%
       strnlen (GNU libc 2.39) |        4096 |        162.713 |        163.907 |        164.575 |        163.852 |          0.196 |         23.282 |          0.046 |
            strnlen (LI-PaRAD) |        4096 |        200.050 |        200.105 |        200.443 |        200.156 |          0.067 |         19.059 |          0.013 |     -18.14%
       strnlen (GNU libc 2.39) |        8192 |        326.534 |        329.148 |        330.705 |        328.664 |          0.374 |         23.214 |          0.087 |
            strnlen (LI-PaRAD) |        8192 |        402.480 |        406.674 |        407.260 |        406.199 |          0.316 |         18.783 |          0.060 |     -19.09%
       strnlen (GNU libc 2.39) |       16384 |        659.385 |        671.149 |        675.431 |        670.656 |          0.514 |         22.753 |          0.118 |
            strnlen (LI-PaRAD) |       16384 |        809.971 |        810.211 |        811.412 |        810.238 |          0.023 |         18.832 |          0.004 |     -17.23%
       strnlen (GNU libc 2.39) |       32768 |       1320.800 |       1333.181 |       1338.971 |       1333.468 |          0.295 |         22.886 |          0.068 |
            strnlen (LI-PaRAD) |       32768 |       1607.341 |       1610.639 |       1617.429 |       1610.704 |          0.112 |         18.947 |          0.021 |     -17.21%
       strnlen (GNU libc 2.39) |       65536 |       2668.757 |       2672.215 |       2674.549 |       2671.810 |          0.057 |         22.844 |          0.013 |
            strnlen (LI-PaRAD) |       65536 |       3211.104 |       3214.602 |       3218.139 |       3214.396 |          0.062 |         18.988 |          0.012 |     -16.88%
       strnlen (GNU libc 2.39) |      131072 |       5270.647 |       5361.841 |       5370.245 |       5332.109 |          0.779 |         22.895 |          0.179 |
            strnlen (LI-PaRAD) |      131072 |       6424.188 |       6426.226 |       6445.296 |       6426.810 |          0.039 |         18.994 |          0.007 |     -17.03%
       strnlen (GNU libc 2.39) |      262144 |      10521.300 |      10555.860 |      10749.210 |      10586.485 |          0.648 |         23.062 |          0.149 |
            strnlen (LI-PaRAD) |      262144 |      12820.450 |      12850.230 |      12884.720 |      12845.746 |          0.140 |         19.006 |          0.027 |     -17.59%
       strnlen (GNU libc 2.39) |      524288 |      21059.480 |      21147.710 |      21458.120 |      21182.809 |          0.557 |         23.052 |          0.128 |
            strnlen (LI-PaRAD) |      524288 |      25664.810 |      25679.160 |      25724.240 |      25683.488 |          0.073 |         19.011 |          0.014 |     -17.52%
       strnlen (GNU libc 2.39) |     1048576 |      42246.160 |      42642.220 |      42938.010 |      42604.261 |          0.502 |         22.922 |          0.115 |
            strnlen (LI-PaRAD) |     1048576 |      51283.200 |      51383.130 |      51510.980 |      51381.907 |          0.089 |         19.006 |          0.017 |     -17.08%
       strnlen (GNU libc 2.39) |     2097152 |      84180.300 |      84735.900 |      88330.100 |      84818.518 |          0.703 |         23.028 |          0.159 |
            strnlen (LI-PaRAD) |     2097152 |     102521.500 |     102833.200 |     103256.400 |     102730.973 |          0.210 |         19.012 |          0.040 |     -17.44%
       strnlen (GNU libc 2.39) |     4194304 |     168405.200 |     169067.800 |     179230.000 |     169363.568 |          0.877 |         23.066 |          0.194 |
            strnlen (LI-PaRAD) |     4194304 |     205358.300 |     205410.900 |     206072.900 |     205486.170 |          0.072 |         19.010 |          0.014 |     -17.58%
       strnlen (GNU libc 2.39) |     8388608 |     337357.800 |     338415.200 |     367268.100 |     339702.459 |          1.465 |         23.003 |          0.318 |
            strnlen (LI-PaRAD) |     8388608 |     410842.100 |     411070.600 |     412012.800 |     411094.823 |          0.059 |         19.004 |          0.011 |     -17.37%
       strnlen (GNU libc 2.39) |    16777216 |     676300.500 |     685208.500 |     730432.000 |     690975.495 |          1.880 |         22.621 |          0.417 |
            strnlen (LI-PaRAD) |    16777216 |     821293.000 |     823859.000 |     825056.500 |     823457.604 |          0.129 |         18.975 |          0.024 |     -16.09%
       strnlen (GNU libc 2.39) |    33554432 |    1382855.500 |    1392463.500 |    1432952.500 |    1393770.302 |          0.508 |         22.422 |          0.112 |
            strnlen (LI-PaRAD) |    33554432 |    1653294.500 |    1658454.500 |    1662316.000 |    1658040.114 |          0.147 |         18.848 |          0.028 |     -15.94%
       strnlen (GNU libc 2.39) |    67108864 |    2916809.000 |    2929381.500 |    2959164.500 |    2929223.911 |          0.195 |         21.337 |          0.042 |
            strnlen (LI-PaRAD) |    67108864 |    3330660.500 |    3335161.500 |    3345398.000 |    3335707.520 |          0.072 |         18.737 |          0.014 |     -12.19%
       strnlen (GNU libc 2.39) |   134217728 |    5929846.000 |    5948126.000 |    5994311.000 |    5947360.421 |          0.139 |         21.018 |          0.029 |
            strnlen (LI-PaRAD) |   134217728 |    6698554.000 |    6709884.000 |    6716166.000 |    6709391.683 |          0.044 |         18.631 |          0.008 |     -11.36%
       strnlen (GNU libc 2.39) |   268435456 |   11931152.500 |   11949646.500 |   12093175.500 |   11955027.114 |          0.235 |         20.912 |          0.049 |
            strnlen (LI-PaRAD) |   268435456 |   13417778.000 |   13453562.500 |   13467570.000 |   13448497.342 |          0.094 |         18.589 |          0.018 |     -11.11%
       strnlen (GNU libc 2.39) |   536870912 |   23929216.000 |   24174161.500 |   24288305.000 |   24121505.426 |          0.373 |         20.729 |          0.078 |
