        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcmp (Arm OR 23.01) |           1 |          2.887 |          2.938 |          3.001 |          2.939 |          1.127 |          0.317 |          0.004 |
             memcmp (LI-PaRAD) |           1 |          2.805 |          2.835 |          2.909 |          2.841 |          1.188 |          0.328 |          0.004 |      +3.47%
         memcmp (Arm OR 23.01) |           2 |          2.754 |          2.986 |          2.989 |          2.976 |          1.147 |          0.626 |          0.008 |
             memcmp (LI-PaRAD) |           2 |          2.927 |          3.080 |          3.086 |          3.062 |          1.190 |          0.608 |          0.007 |      -2.81%
         memcmp (Arm OR 23.01) |           3 |          2.694 |          2.698 |          2.875 |          2.718 |          1.754 |          1.028 |          0.017 |
             memcmp (LI-PaRAD) |           3 |          3.079 |          3.082 |          3.086 |          3.082 |          0.065 |          0.907 |          0.001 |     -11.81%
         memcmp (Arm OR 23.01) |           4 |          2.819 |          2.949 |          2.989 |          2.946 |          1.301 |          1.265 |          0.017 |
             memcmp (LI-PaRAD) |           4 |          2.805 |          2.828 |          2.903 |          2.836 |          1.051 |          1.314 |          0.014 |      +3.87%
         memcmp (Arm OR 23.01) |           5 |          2.694 |          2.700 |          2.986 |          2.748 |          2.624 |          1.696 |          0.043 |
             memcmp (LI-PaRAD) |           5 |          3.079 |          3.082 |          3.086 |          3.082 |          0.067 |          1.511 |          0.001 |     -10.84%
         memcmp (Arm OR 23.01) |           6 |          2.798 |          2.986 |          2.990 |          2.976 |          1.182 |          1.878 |          0.023 |
             memcmp (LI-PaRAD) |           6 |          2.912 |          3.046 |          3.085 |          3.030 |          1.774 |          1.845 |          0.033 |      -1.78%
         memcmp (Arm OR 23.01) |           7 |          2.694 |          2.698 |          2.963 |          2.734 |          2.411 |          2.386 |          0.055 |
             memcmp (LI-PaRAD) |           7 |          3.079 |          3.082 |          3.086 |          3.082 |          0.068 |          2.115 |          0.001 |     -11.30%
         memcmp (Arm OR 23.01) |           8 |          2.858 |          2.979 |          2.989 |          2.956 |          1.248 |          2.521 |          0.032 |
             memcmp (LI-PaRAD) |           8 |          2.805 |          2.830 |          2.909 |          2.837 |          1.132 |          2.626 |          0.030 |      +4.19%
         memcmp (Arm OR 23.01) |           9 |          2.694 |          2.700 |          2.984 |          2.757 |          2.781 |          3.043 |          0.083 |
             memcmp (LI-PaRAD) |           9 |          3.079 |          3.082 |          3.089 |          3.082 |          0.068 |          2.720 |          0.002 |     -10.55%
         memcmp (Arm OR 23.01) |          10 |          2.754 |          2.986 |          2.995 |          2.975 |          1.301 |          3.131 |          0.043 |
             memcmp (LI-PaRAD) |          10 |          2.933 |          3.080 |          3.086 |          3.053 |          1.341 |          3.051 |          0.041 |      -2.54%
         memcmp (Arm OR 23.01) |          11 |          2.694 |          2.697 |          2.915 |          2.716 |          1.949 |          3.773 |          0.070 |
             memcmp (LI-PaRAD) |          11 |          3.079 |          3.082 |          3.087 |          3.082 |          0.069 |          3.324 |          0.002 |     -11.88%
         memcmp (Arm OR 23.01) |          12 |          2.809 |          2.962 |          2.989 |          2.950 |          1.272 |          3.789 |          0.049 |
             memcmp (LI-PaRAD) |          12 |          2.805 |          2.837 |          2.908 |          2.845 |          1.255 |          3.929 |          0.049 |      +3.71%
         memcmp (Arm OR 23.01) |          13 |          2.694 |          2.700 |          2.986 |          2.754 |          3.068 |          4.400 |          0.130 |
             memcmp (LI-PaRAD) |          13 |          3.079 |          3.082 |          3.086 |          3.082 |          0.064 |          3.928 |          0.003 |     -10.63%
         memcmp (Arm OR 23.01) |          14 |          2.754 |          2.986 |          2.992 |          2.981 |          0.857 |          4.374 |          0.040 |
             memcmp (LI-PaRAD) |          14 |          2.911 |          3.080 |          3.086 |          3.046 |          1.808 |          4.282 |          0.079 |      -2.14%
         memcmp (Arm OR 23.01) |          15 |          2.694 |          2.698 |          2.983 |          2.721 |          2.189 |          5.136 |          0.107 |
             memcmp (LI-PaRAD) |          15 |          3.079 |          3.082 |          3.085 |          3.082 |          0.063 |          4.533 |          0.003 |     -11.71%
         memcmp (Arm OR 23.01) |          16 |          2.887 |          2.944 |          2.989 |          2.943 |          1.186 |          5.064 |          0.060 |
             memcmp (LI-PaRAD) |          16 |          2.805 |          2.829 |          2.911 |          2.840 |          1.272 |          5.248 |          0.066 |      +3.63%
         memcmp (Arm OR 23.01) |          17 |          2.694 |          2.698 |          2.983 |          2.738 |          2.489 |          5.786 |          0.138 |
             memcmp (LI-PaRAD) |          17 |          3.079 |          3.082 |          3.086 |          3.082 |          0.065 |          5.137 |          0.003 |     -11.16%
         memcmp (Arm OR 23.01) |          18 |          2.926 |          2.986 |          2.991 |          2.984 |          0.349 |          5.619 |          0.020 |
