        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcpy (Arm OR 23.01) |           1 |          2.505 |          2.508 |          2.528 |          2.509 |          0.120 |          0.371 |          0.000 |
             memcpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.503 |          2.313 |          0.829 |          0.403 |          0.003 |      +8.45%
         memcpy (Arm OR 23.01) |           2 |          2.408 |          2.506 |          2.512 |          2.506 |          0.452 |          0.743 |          0.003 |
             memcpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.318 |          2.312 |          0.103 |          0.806 |          0.001 |      +8.39%
         memcpy (Arm OR 23.01) |           3 |          2.504 |          2.508 |          2.512 |          2.508 |          0.079 |          1.114 |          0.001 |
             memcpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.501 |          2.313 |          0.821 |          1.208 |          0.009 |      +8.41%
         memcpy (Arm OR 23.01) |           4 |          2.505 |          2.510 |          2.520 |          2.510 |          0.105 |          1.484 |          0.002 |
             memcpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.317 |          2.312 |          0.092 |          1.612 |          0.001 |      +8.60%
         memcpy (Arm OR 23.01) |           5 |          2.326 |          2.507 |          2.512 |          2.505 |          0.724 |          1.859 |          0.014 |
             memcpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.496 |          2.313 |          0.798 |          2.013 |          0.015 |      +8.30%
         memcpy (Arm OR 23.01) |           6 |          2.478 |          2.506 |          2.512 |          2.507 |          0.143 |          2.229 |          0.003 |
             memcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.317 |          2.312 |          0.095 |          2.417 |          0.002 |      +8.45%
         memcpy (Arm OR 23.01) |           7 |          2.503 |          2.508 |          2.515 |          2.508 |          0.090 |          2.599 |          0.002 |
             memcpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.500 |          2.313 |          0.817 |          2.818 |          0.021 |      +8.42%
         memcpy (Arm OR 23.01) |           8 |          2.504 |          2.509 |          2.516 |          2.510 |          0.109 |          2.969 |          0.003 |
             memcpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.317 |          2.312 |          0.102 |          3.223 |          0.003 |      +8.56%
         memcpy (Arm OR 23.01) |           9 |          2.503 |          2.507 |          2.512 |          2.507 |          0.078 |          3.343 |          0.003 |
             memcpy (LI-PaRAD) |           9 |          2.308 |          2.311 |          2.499 |          2.313 |          0.812 |          3.624 |          0.027 |      +8.38%
