ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|1|4.572|4.623|4.727|4.635|0.735|0.201|0.001
strchr (GNU libc 2.39)|1|2.102|2.106|2.138|2.109|0.339|0.442|0.001
strchr (Arm OR 23.01)|1|7.206|7.638|7.704|7.602|1.381|0.123|0.002
strchr (LI-PaRAD)|2|4.576|4.623|4.743|4.634|0.648|0.402|0.003
strchr (GNU libc 2.39)|2|2.694|2.697|2.704|2.697|0.075|0.691|0.001
strchr (Arm OR 23.01)|2|7.217|7.619|7.705|7.582|1.373|0.246|0.003
strchr (LI-PaRAD)|3|4.573|4.627|4.743|4.64|0.84|0.602|0.005
strchr (GNU libc 2.39)|3|2.694|2.697|2.701|2.697|0.074|1.036|0.001
strchr (Arm OR 23.01)|3|7.325|7.61|7.707|7.598|1.091|0.368|0.004
strchr (LI-PaRAD)|4|4.573|4.623|4.741|4.629|0.768|0.805|0.006
strchr (GNU libc 2.39)|4|2.694|2.697|2.711|2.697|0.101|1.381|0.001
strchr (Arm OR 23.01)|4|7.377|7.645|7.707|7.624|1.004|0.489|0.005
strchr (LI-PaRAD)|5|4.574|4.623|4.733|4.632|0.703|1.005|0.007
strchr (GNU libc 2.39)|5|2.694|2.697|2.702|2.697|0.082|1.727|0.001
strchr (Arm OR 23.01)|5|7.038|7.632|7.706|7.593|1.553|0.613|0.01
strchr (LI-PaRAD)|6|4.578|4.625|4.742|4.634|0.73|1.206|0.009
strchr (GNU libc 2.39)|6|2.694|2.697|2.701|2.697|0.074|2.072|0.002
strchr (Arm OR 23.01)|6|7.331|7.611|7.706|7.603|1.046|0.735|0.008
strchr (LI-PaRAD)|7|4.573|4.624|4.732|4.633|0.712|1.407|0.01
strchr (GNU libc 2.39)|7|2.694|2.696|2.726|2.697|0.131|2.417|0.003
strchr (Arm OR 23.01)|7|7.33|7.619|7.706|7.595|1.08|0.858|0.009
strchr (LI-PaRAD)|8|4.573|4.623|4.745|4.634|0.857|1.608|0.014
strchr (GNU libc 2.39)|8|2.694|2.697|2.709|2.697|0.09|2.763|0.002
strchr (Arm OR 23.01)|8|7.07|7.626|7.707|7.588|1.503|0.982|0.015
strchr (LI-PaRAD)|9|4.573|4.623|4.746|4.63|0.695|1.81|0.012
strchr (GNU libc 2.39)|9|2.694|2.697|2.706|2.697|0.081|3.108|0.003
strchr (Arm OR 23.01)|9|7.358|7.62|7.706|7.602|1.095|1.103|0.012
strchr (LI-PaRAD)|10|4.572|4.623|4.748|4.639|0.81|2.008|0.016
strchr (GNU libc 2.39)|10|2.694|2.697|2.701|2.697|0.074|3.454|0.003
strchr (Arm OR 23.01)|10|7.184|7.616|7.706|7.577|1.479|1.229|0.018
strchr (LI-PaRAD)|11|4.572|4.623|4.732|4.633|0.735|2.212|0.016
strchr (GNU libc 2.39)|11|2.694|2.696|2.701|2.697|0.073|3.799|0.003
strchr (Arm OR 23.01)|11|7.416|7.614|7.738|7.609|0.938|1.346|0.013
strchr (LI-PaRAD)|12|4.572|4.626|4.755|4.639|0.736|2.409|0.018
strchr (GNU libc 2.39)|12|2.694|2.697|2.708|2.697|0.094|4.144|0.004
strchr (Arm OR 23.01)|12|7.089|7.635|7.707|7.613|1.215|1.468|0.018
strchr (LI-PaRAD)|13|4.573|4.624|4.752|4.635|0.755|2.613|0.02
strchr (GNU libc 2.39)|13|2.694|2.697|2.708|2.697|0.087|4.489|0.004
strchr (Arm OR 23.01)|13|7.127|7.631|7.707|7.611|1.169|1.591|0.019
strchr (LI-PaRAD)|14|4.572|4.627|4.753|4.64|0.886|2.81|0.025
strchr (GNU libc 2.39)|14|2.694|2.697|2.715|2.697|0.098|4.834|0.005
strchr (Arm OR 23.01)|14|7.318|7.64|7.709|7.623|0.981|1.711|0.017
strchr (LI-PaRAD)|15|4.574|4.623|4.714|4.634|0.645|3.015|0.019
strchr (GNU libc 2.39)|15|2.694|2.697|2.707|2.697|0.084|5.18|0.004
strchr (Arm OR 23.01)|15|7.294|7.616|7.706|7.585|1.342|1.842|0.025
strchr (LI-PaRAD)|16|4.573|4.624|4.749|4.639|0.884|3.213|0.028
strchr (GNU libc 2.39)|16|2.699|2.702|2.714|2.702|0.102|5.514|0.006
strchr (Arm OR 23.01)|16|7.144|7.615|7.706|7.565|1.673|1.97|0.034
