        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcmp (Arm OR 23.01) |           1 |          6.455 |          6.741 |          6.976 |          6.736 |          1.620 |          0.138 |          0.002 |
             strcmp (LI-PaRAD) |           1 |          4.236 |          4.237 |          4.406 |          4.241 |          0.506 |          0.220 |          0.001 |     +58.83%
         strcmp (Arm OR 23.01) |           2 |          6.500 |          6.733 |          6.980 |          6.706 |          1.452 |          0.278 |          0.004 |
             strcmp (LI-PaRAD) |           2 |          4.236 |          4.237 |          4.243 |          4.238 |          0.042 |          0.440 |          0.000 |     +58.23%
         strcmp (Arm OR 23.01) |           3 |          6.310 |          6.821 |          7.019 |          6.804 |          1.918 |          0.411 |          0.008 |
             strcmp (LI-PaRAD) |           3 |          3.592 |          3.596 |          3.857 |          3.604 |          1.203 |          0.775 |          0.009 |     +88.77%
         strcmp (Arm OR 23.01) |           4 |          6.367 |          6.721 |          6.896 |          6.682 |          1.516 |          0.558 |          0.009 |
             strcmp (LI-PaRAD) |           4 |          4.236 |          4.238 |          4.242 |          4.238 |          0.038 |          0.879 |          0.000 |     +57.68%
         strcmp (Arm OR 23.01) |           5 |          6.261 |          6.456 |          6.689 |          6.499 |          1.307 |          0.717 |          0.009 |
             strcmp (LI-PaRAD) |           5 |          3.592 |          3.595 |          3.913 |          3.613 |          1.848 |          1.289 |          0.022 |     +79.89%
         strcmp (Arm OR 23.01) |           6 |          6.329 |          6.739 |          7.032 |          6.683 |          1.984 |          0.836 |          0.017 |
             strcmp (LI-PaRAD) |           6 |          4.236 |          4.238 |          4.242 |          4.238 |          0.038 |          1.319 |          0.001 |     +57.70%
         strcmp (Arm OR 23.01) |           7 |          6.436 |          6.832 |          7.020 |          6.804 |          1.949 |          0.959 |          0.019 |
             strcmp (LI-PaRAD) |           7 |          3.592 |          3.595 |          3.897 |          3.604 |          1.090 |          1.809 |          0.019 |     +88.80%
