        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |           1 |          5.903 |          5.931 |          6.104 |          5.950 |          0.838 |          0.157 |          0.001 |
             strcpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.311 |          0.068 |          0.403 |          0.000 |    +157.41%
         strcpy (Arm OR 23.01) |           2 |          5.908 |          6.149 |          6.262 |          6.139 |          1.381 |          0.303 |          0.004 |
             strcpy (LI-PaRAD) |           2 |          2.309 |          2.311 |          2.329 |          2.312 |          0.111 |          0.806 |          0.001 |    +165.54%
         strcpy (Arm OR 23.01) |           3 |          5.926 |          6.148 |          6.334 |          6.154 |          1.273 |          0.454 |          0.006 |
             strcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.316 |          2.312 |          0.076 |          1.209 |          0.001 |    +166.23%
         strcpy (Arm OR 23.01) |           4 |          5.922 |          6.132 |          6.330 |          6.127 |          1.379 |          0.608 |          0.008 |
             strcpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.316 |          2.312 |          0.070 |          1.612 |          0.001 |    +165.05%
         strcpy (Arm OR 23.01) |           5 |          5.973 |          6.148 |          6.272 |          6.146 |          1.237 |          0.758 |          0.009 |
             strcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.316 |          2.312 |          0.072 |          2.015 |          0.001 |    +165.89%
         strcpy (Arm OR 23.01) |           6 |          5.918 |          6.136 |          6.279 |          6.141 |          1.158 |          0.910 |          0.011 |
             strcpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.344 |          2.312 |          0.154 |          2.417 |          0.004 |    +165.66%
         strcpy (Arm OR 23.01) |           7 |          5.906 |          6.141 |          6.340 |          6.137 |          1.354 |          1.063 |          0.014 |
             strcpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.316 |          2.312 |          0.070 |          2.820 |          0.002 |    +165.48%
         strcpy (Arm OR 23.01) |           8 |          5.915 |          6.145 |          6.261 |          6.144 |          1.245 |          1.213 |          0.015 |
             strcpy (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.316 |          2.312 |          0.073 |          3.223 |          0.002 |    +165.81%
         strcpy (Arm OR 23.01) |           9 |          5.965 |          6.171 |          6.272 |          6.158 |          1.096 |          1.361 |          0.015 |
             strcpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.316 |          2.312 |          0.064 |          3.626 |          0.002 |    +166.40%
         strcpy (Arm OR 23.01) |          10 |          5.932 |          6.134 |          6.262 |          6.134 |          1.205 |          1.518 |          0.018 |
             strcpy (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.316 |          2.312 |          0.070 |          4.029 |          0.003 |    +165.37%
         strcpy (Arm OR 23.01) |          11 |          5.903 |          6.130 |          6.312 |          6.127 |          1.322 |          1.672 |          0.022 |
             strcpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.316 |          2.311 |          0.068 |          4.432 |          0.003 |    +165.09%
         strcpy (Arm OR 23.01) |          12 |          5.906 |          6.181 |          6.262 |          6.150 |          1.438 |          1.818 |          0.026 |
             strcpy (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.330 |          2.312 |          0.106 |          4.834 |          0.005 |    +166.03%
         strcpy (Arm OR 23.01) |          13 |          5.903 |          5.928 |          6.072 |          5.940 |          0.701 |          2.038 |          0.014 |
             strcpy (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |          5.238 |          0.004 |    +157.00%
         strcpy (Arm OR 23.01) |          14 |          5.922 |          6.143 |          6.285 |          6.135 |          1.286 |          2.126 |          0.028 |
             strcpy (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |          5.641 |          0.004 |    +165.43%
         strcpy (Arm OR 23.01) |          15 |          5.935 |          6.158 |          6.279 |          6.141 |          1.246 |          2.275 |          0.029 |
             strcpy (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.315 |          2.311 |          0.062 |          6.044 |          0.004 |    +165.67%
         strcpy (Arm OR 23.01) |          16 |          5.937 |          6.147 |          6.317 |          6.144 |          1.188 |          2.426 |          0.029 |
             strcpy (LI-PaRAD) |          16 |          2.310 |          2.311 |          2.316 |          2.312 |          0.073 |          6.446 |          0.005 |    +165.78%
         strcpy (Arm OR 23.01) |          17 |          5.944 |          6.141 |          6.263 |          6.135 |          1.219 |          2.581 |          0.032 |
             strcpy (LI-PaRAD) |          17 |          2.310 |          2.311 |          2.319 |          2.312 |          0.079 |          6.849 |          0.005 |    +165.42%
         strcpy (Arm OR 23.01) |          18 |          5.907 |          6.133 |          6.323 |          6.133 |          1.484 |          2.734 |          0.041 |
             strcpy (LI-PaRAD) |          18 |          2.310 |          2.311 |          2.316 |          2.311 |          0.067 |          7.252 |          0.005 |    +165.31%
         strcpy (Arm OR 23.01) |          19 |          5.991 |          6.168 |          6.331 |          6.158 |          1.287 |          2.874 |          0.037 |
             strcpy (LI-PaRAD) |          19 |          2.310 |          2.311 |          2.315 |          2.311 |          0.060 |          7.656 |          0.005 |    +166.44%
         strcpy (Arm OR 23.01) |          20 |          5.908 |          6.143 |          6.334 |          6.137 |          1.404 |          3.035 |          0.043 |
             strcpy (LI-PaRAD) |          20 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          8.058 |          0.006 |    +165.52%
         strcpy (Arm OR 23.01) |          21 |          5.936 |          6.141 |          6.315 |          6.142 |          1.239 |          3.185 |          0.040 |
             strcpy (LI-PaRAD) |          21 |          2.310 |          2.311 |          2.316 |          2.312 |          0.068 |          8.461 |          0.006 |    +165.71%
         strcpy (Arm OR 23.01) |          22 |          5.906 |          6.134 |          6.259 |          6.130 |          1.289 |          3.343 |          0.043 |
             strcpy (LI-PaRAD) |          22 |          2.310 |          2.311 |          2.316 |          2.312 |          0.073 |          8.864 |          0.006 |    +165.18%
         strcpy (Arm OR 23.01) |          23 |          5.915 |          6.133 |          6.260 |          6.119 |          1.428 |          3.501 |          0.050 |
             strcpy (LI-PaRAD) |          23 |          2.310 |          2.311 |          2.316 |          2.312 |          0.070 |          9.267 |          0.006 |    +164.71%
         strcpy (Arm OR 23.01) |          24 |          5.937 |          6.142 |          6.263 |          6.145 |          1.232 |          3.638 |          0.045 |
             strcpy (LI-PaRAD) |          24 |          2.310 |          2.311 |          2.317 |          2.312 |          0.075 |          9.669 |          0.007 |    +165.82%
         strcpy (Arm OR 23.01) |          25 |          5.907 |          6.142 |          6.304 |          6.135 |          1.440 |          3.796 |          0.055 |
             strcpy (LI-PaRAD) |          25 |          2.310 |          2.311 |          2.316 |          2.311 |          0.069 |         10.073 |          0.007 |    +165.43%
         strcpy (Arm OR 23.01) |          26 |          5.909 |          6.186 |          6.309 |          6.162 |          1.389 |          3.931 |          0.055 |
             strcpy (LI-PaRAD) |          26 |          2.310 |          2.311 |          2.315 |          2.312 |          0.069 |         10.476 |          0.007 |    +166.56%
         strcpy (Arm OR 23.01) |          27 |          5.934 |          6.148 |          6.304 |          6.142 |          1.252 |          4.095 |          0.052 |
             strcpy (LI-PaRAD) |          27 |          2.310 |          2.311 |          2.316 |          2.312 |          0.071 |         10.878 |          0.008 |    +165.70%
         strcpy (Arm OR 23.01) |          28 |          5.962 |          6.127 |          6.318 |          6.131 |          1.293 |          4.254 |          0.055 |
             strcpy (LI-PaRAD) |          28 |          2.310 |          2.311 |          2.316 |          2.312 |          0.072 |         11.281 |          0.008 |    +165.22%
         strcpy (Arm OR 23.01) |          29 |          5.920 |          6.133 |          6.342 |          6.134 |          1.254 |          4.404 |          0.055 |
             strcpy (LI-PaRAD) |          29 |          2.310 |          2.311 |          2.316 |          2.312 |          0.070 |         11.684 |          0.008 |    +165.37%
         strcpy (Arm OR 23.01) |          30 |          5.908 |          6.138 |          6.281 |          6.137 |          1.320 |          4.554 |          0.061 |
             strcpy (LI-PaRAD) |          30 |          2.310 |          2.311 |          2.316 |          2.311 |          0.067 |         12.087 |          0.008 |    +165.49%
         strcpy (Arm OR 23.01) |          31 |          5.908 |          6.147 |          6.325 |          6.145 |          1.301 |          4.699 |          0.062 |
             strcpy (LI-PaRAD) |          31 |          2.310 |          2.311 |          2.318 |          2.312 |          0.082 |         12.489 |          0.010 |    +165.82%
         strcpy (Arm OR 23.01) |          32 |          7.700 |          7.706 |          7.709 |          7.705 |          0.020 |          3.868 |          0.001 |
             strcpy (LI-PaRAD) |          32 |          2.872 |          2.876 |          2.881 |          2.876 |          0.073 |         10.364 |          0.008 |    +167.95%
         strcpy (Arm OR 23.01) |          33 |          7.700 |          7.705 |          7.706 |          7.705 |          0.016 |          3.989 |          0.001 |
             strcpy (LI-PaRAD) |          33 |          2.918 |          2.936 |          3.336 |          2.940 |          1.381 |         10.455 |          0.128 |    +162.07%
         strcpy (Arm OR 23.01) |          34 |          7.700 |          7.705 |          7.736 |          7.705 |          0.043 |          4.110 |          0.002 |
             strcpy (LI-PaRAD) |          34 |          2.872 |          2.876 |          2.882 |          2.875 |          0.068 |         11.012 |          0.008 |    +167.96%
         strcpy (Arm OR 23.01) |          35 |          7.700 |          7.705 |          7.713 |          7.705 |          0.022 |          4.230 |          0.001 |
             strcpy (LI-PaRAD) |          35 |          2.901 |          2.909 |          2.954 |          2.910 |          0.270 |         11.200 |          0.030 |    +164.74%
         strcpy (Arm OR 23.01) |          36 |          7.700 |          7.705 |          7.708 |          7.705 |          0.018 |          4.351 |          0.001 |
             strcpy (LI-PaRAD) |          36 |          2.871 |          2.876 |          2.881 |          2.875 |          0.075 |         11.660 |          0.009 |    +167.95%
         strcpy (Arm OR 23.01) |          37 |          7.700 |          7.705 |          7.711 |          7.705 |          0.020 |          4.472 |          0.001 |
             strcpy (LI-PaRAD) |          37 |          2.915 |          2.937 |          2.976 |          2.937 |          0.384 |         11.733 |          0.045 |    +162.34%
         strcpy (Arm OR 23.01) |          38 |          7.700 |          7.705 |          7.707 |          7.705 |          0.018 |          4.593 |          0.001 |
             strcpy (LI-PaRAD) |          38 |          2.871 |          2.876 |          2.883 |          2.876 |          0.083 |         12.307 |          0.010 |    +167.95%
         strcpy (Arm OR 23.01) |          39 |          7.700 |          7.705 |          7.712 |          7.705 |          0.022 |          4.714 |          0.001 |
             strcpy (LI-PaRAD) |          39 |          2.892 |          2.910 |          2.973 |          2.911 |          0.350 |         12.476 |          0.043 |    +164.65%
         strcpy (Arm OR 23.01) |          40 |          7.700 |          7.705 |          7.706 |          7.705 |          0.017 |          4.835 |          0.001 |
             strcpy (LI-PaRAD) |          40 |          2.949 |          2.975 |          3.010 |          2.974 |          0.496 |         12.525 |          0.062 |    +159.04%
         strcpy (Arm OR 23.01) |          41 |          7.700 |          7.705 |          7.714 |          7.705 |          0.022 |          4.956 |          0.001 |
             strcpy (LI-PaRAD) |          41 |          2.946 |          2.975 |          3.005 |          2.971 |          0.521 |         12.853 |          0.067 |    +159.35%
         strcpy (Arm OR 23.01) |          42 |          7.700 |          7.705 |          7.708 |          7.705 |          0.018 |          5.077 |          0.001 |
             strcpy (LI-PaRAD) |          42 |          2.873 |          2.877 |          2.882 |          2.877 |          0.078 |         13.595 |          0.011 |    +167.80%
         strcpy (Arm OR 23.01) |          43 |          7.700 |          7.706 |          7.712 |          7.705 |          0.020 |          5.197 |          0.001 |
             strcpy (LI-PaRAD) |          43 |          2.873 |          2.876 |          2.883 |          2.876 |          0.078 |         13.924 |          0.011 |    +167.91%
         strcpy (Arm OR 23.01) |          44 |          7.700 |          7.705 |          7.720 |          7.705 |          0.039 |          5.318 |          0.002 |
             strcpy (LI-PaRAD) |          44 |          2.935 |          2.967 |          3.003 |          2.964 |          0.549 |         13.823 |          0.076 |    +159.92%
         strcpy (Arm OR 23.01) |          45 |          7.700 |          7.705 |          7.712 |          7.705 |          0.019 |          5.439 |          0.001 |
             strcpy (LI-PaRAD) |          45 |          2.935 |          2.972 |          2.996 |          2.968 |          0.486 |         14.119 |          0.069 |    +159.57%
