        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strlen (GNU libc 2.39) |           1 |          2.087 |          2.099 |          2.118 |          2.099 |          0.183 |          0.444 |          0.001 |
             strlen (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.352 |          2.312 |          0.245 |          0.403 |          0.001 |      -9.22%
        strlen (GNU libc 2.39) |           2 |          2.694 |          2.696 |          2.702 |          2.697 |          0.085 |          0.691 |          0.001 |
             strlen (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.415 |          2.317 |          0.756 |          0.804 |          0.006 |     +16.42%
        strlen (GNU libc 2.39) |           3 |          2.694 |          2.697 |          2.701 |          2.697 |          0.072 |          1.036 |          0.001 |
             strlen (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.323 |          2.312 |          0.104 |          1.209 |          0.001 |     +16.65%
        strlen (GNU libc 2.39) |           4 |          2.695 |          2.698 |          2.701 |          2.697 |          0.077 |          1.381 |          0.001 |
             strlen (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.317 |          2.312 |          0.082 |          1.612 |          0.001 |     +16.67%
        strlen (GNU libc 2.39) |           5 |          2.695 |          2.698 |          2.701 |          2.697 |          0.080 |          1.727 |          0.001 |
             strlen (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.317 |          2.312 |          0.079 |          2.014 |          0.002 |     +16.67%
        strlen (GNU libc 2.39) |           6 |          2.694 |          2.696 |          2.707 |          2.697 |          0.087 |          2.072 |          0.002 |
             strlen (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.320 |          2.312 |          0.093 |          2.417 |          0.002 |     +16.66%
        strlen (GNU libc 2.39) |           7 |          2.694 |          2.696 |          2.703 |          2.697 |          0.085 |          2.417 |          0.002 |
             strlen (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.422 |          2.317 |          0.889 |          2.814 |          0.024 |     +16.40%
        strlen (GNU libc 2.39) |           8 |          2.695 |          2.697 |          2.705 |          2.697 |          0.076 |          2.763 |          0.002 |
             strlen (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          3.223 |          0.002 |     +16.67%
        strlen (GNU libc 2.39) |           9 |          2.695 |          2.697 |          2.701 |          2.697 |          0.070 |          3.108 |          0.002 |
             strlen (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.316 |          2.312 |          0.074 |          3.626 |          0.003 |     +16.66%
        strlen (GNU libc 2.39) |          10 |          2.695 |          2.697 |          2.700 |          2.697 |          0.068 |          3.454 |          0.002 |
             strlen (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.316 |          2.312 |          0.073 |          4.029 |          0.003 |     +16.66%
        strlen (GNU libc 2.39) |          11 |          2.694 |          2.697 |          2.701 |          2.697 |          0.069 |          3.799 |          0.003 |
             strlen (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.322 |          2.312 |          0.089 |          4.432 |          0.004 |     +16.65%
        strlen (GNU libc 2.39) |          12 |          2.694 |          2.696 |          2.704 |          2.697 |          0.084 |          4.144 |          0.003 |
             strlen (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.316 |          2.312 |          0.071 |          4.835 |          0.003 |     +16.67%
        strlen (GNU libc 2.39) |          13 |          2.694 |          2.696 |          2.701 |          2.697 |          0.077 |          4.489 |          0.003 |
             strlen (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.421 |          2.314 |          0.588 |          5.232 |          0.030 |     +16.55%
        strlen (GNU libc 2.39) |          14 |          2.695 |          2.697 |          2.702 |          2.697 |          0.072 |          4.835 |          0.003 |
             strlen (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.316 |          2.312 |          0.074 |          5.641 |          0.004 |     +16.66%
        strlen (GNU libc 2.39) |          15 |          2.694 |          2.697 |          2.701 |          2.697 |          0.072 |          5.180 |          0.004 |
             strlen (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.451 |          2.315 |          0.665 |          6.036 |          0.038 |     +16.51%
        strlen (GNU libc 2.39) |          16 |          3.079 |          3.083 |          3.086 |          3.082 |          0.072 |          4.835 |          0.003 |
             strlen (LI-PaRAD) |          16 |          2.310 |          2.311 |          2.317 |          2.312 |          0.087 |          6.446 |          0.006 |     +33.33%
        strlen (GNU libc 2.39) |          17 |          3.079 |          3.082 |          3.092 |          3.082 |          0.073 |          5.137 |          0.004 |
             strlen (LI-PaRAD) |          17 |          2.310 |          2.311 |          2.317 |          2.311 |          0.073 |          6.849 |          0.005 |     +33.34%
        strlen (GNU libc 2.39) |          18 |          3.079 |          3.082 |          3.086 |          3.082 |          0.064 |          5.439 |          0.003 |
             strlen (LI-PaRAD) |          18 |          2.310 |          2.311 |          2.317 |          2.312 |          0.075 |          7.252 |          0.005 |     +33.33%
        strlen (GNU libc 2.39) |          19 |          3.079 |          3.083 |          3.094 |          3.082 |          0.085 |          5.741 |          0.005 |
             strlen (LI-PaRAD) |          19 |          2.310 |          2.311 |          2.320 |          2.312 |          0.083 |          7.654 |          0.006 |     +33.33%
        strlen (GNU libc 2.39) |          20 |          3.079 |          3.082 |          3.088 |          3.082 |          0.065 |          6.044 |          0.004 |
             strlen (LI-PaRAD) |          20 |          2.310 |          2.311 |          2.316 |          2.312 |          0.070 |          8.058 |          0.006 |     +33.33%
        strlen (GNU libc 2.39) |          21 |          3.079 |          3.082 |          3.085 |          3.082 |          0.065 |          6.346 |          0.004 |
             strlen (LI-PaRAD) |          21 |          2.310 |          2.311 |          2.433 |          2.314 |          0.681 |          8.453 |          0.055 |     +33.20%
        strlen (GNU libc 2.39) |          22 |          3.079 |          3.082 |          3.086 |          3.082 |          0.066 |          6.648 |          0.004 |
             strlen (LI-PaRAD) |          22 |          2.310 |          2.311 |          2.321 |          2.312 |          0.079 |          8.864 |          0.007 |     +33.32%
        strlen (GNU libc 2.39) |          23 |          3.079 |          3.083 |          3.086 |          3.082 |          0.070 |          6.949 |          0.005 |
             strlen (LI-PaRAD) |          23 |          2.310 |          2.311 |          2.316 |          2.312 |          0.082 |          9.266 |          0.008 |     +33.33%
        strlen (GNU libc 2.39) |          24 |          3.079 |          3.082 |          3.086 |          3.082 |          0.073 |          7.252 |          0.005 |
             strlen (LI-PaRAD) |          24 |          2.310 |          2.311 |          2.317 |          2.312 |          0.087 |          9.669 |          0.008 |     +33.33%
