        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncmp (GNU libc 2.39) |           1 |          2.952 |          2.956 |          2.966 |          2.956 |          0.097 |          0.315 |          0.000 |
            strncmp (LI-PaRAD) |           1 |          4.236 |          4.238 |          4.243 |          4.238 |          0.041 |          0.220 |          0.000 |     -30.26%
       strncmp (GNU libc 2.39) |           2 |          2.952 |          2.957 |          2.962 |          2.956 |          0.074 |          0.630 |          0.000 |
            strncmp (LI-PaRAD) |           2 |          4.235 |          4.237 |          4.245 |          4.238 |          0.042 |          0.440 |          0.000 |     -30.24%
       strncmp (GNU libc 2.39) |           3 |          2.917 |          2.951 |          2.957 |          2.950 |          0.135 |          0.947 |          0.001 |
            strncmp (LI-PaRAD) |           3 |          4.235 |          4.238 |          4.274 |          4.238 |          0.094 |          0.659 |          0.001 |     -30.39%
       strncmp (GNU libc 2.39) |           4 |          2.952 |          2.955 |          2.959 |          2.955 |          0.071 |          1.261 |          0.001 |
            strncmp (LI-PaRAD) |           4 |          4.236 |          4.238 |          4.242 |          4.238 |          0.035 |          0.879 |          0.000 |     -30.28%
       strncmp (GNU libc 2.39) |           5 |          2.949 |          2.953 |          2.957 |          2.952 |          0.072 |          1.577 |          0.001 |
            strncmp (LI-PaRAD) |           5 |          4.236 |          4.238 |          4.407 |          4.243 |          0.666 |          1.098 |          0.007 |     -30.41%
       strncmp (GNU libc 2.39) |           6 |          2.953 |          2.956 |          2.961 |          2.956 |          0.077 |          1.890 |          0.001 |
            strncmp (LI-PaRAD) |           6 |          4.236 |          4.238 |          4.242 |          4.238 |          0.035 |          1.319 |          0.000 |     -30.24%
       strncmp (GNU libc 2.39) |           7 |          2.948 |          2.951 |          2.956 |          2.951 |          0.070 |          2.209 |          0.002 |
            strncmp (LI-PaRAD) |           7 |          4.236 |          4.237 |          4.243 |          4.238 |          0.042 |          1.538 |          0.001 |     -30.37%
       strncmp (GNU libc 2.39) |           8 |          2.952 |          2.955 |          2.959 |          2.955 |          0.074 |          2.522 |          0.002 |
