        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strrchr (Arm OR 23.01) |           1 |          7.195 |          7.540 |          7.897 |          7.542 |          2.026 |          0.124 |          0.003 |
            strrchr (LI-PaRAD) |           1 |          5.390 |          5.394 |          5.401 |          5.394 |          0.038 |          0.173 |          0.000 |     +39.83%
        strrchr (Arm OR 23.01) |           2 |          7.277 |          7.599 |          7.900 |          7.593 |          1.822 |          0.245 |          0.004 |
            strrchr (LI-PaRAD) |           2 |          5.389 |          5.393 |          5.396 |          5.393 |          0.032 |          0.345 |          0.000 |     +40.79%
        strrchr (Arm OR 23.01) |           3 |          7.271 |          7.587 |          7.896 |          7.592 |          1.596 |          0.368 |          0.006 |
            strrchr (LI-PaRAD) |           3 |          5.207 |          5.390 |          5.397 |          5.359 |          0.797 |          0.521 |          0.004 |     +41.66%
        strrchr (Arm OR 23.01) |           4 |          7.219 |          7.610 |          7.899 |          7.610 |          1.853 |          0.490 |          0.009 |
            strrchr (LI-PaRAD) |           4 |          5.203 |          5.321 |          5.396 |          5.325 |          1.037 |          0.700 |          0.007 |     +42.92%
        strrchr (Arm OR 23.01) |           5 |          7.252 |          7.580 |          7.898 |          7.566 |          1.953 |          0.616 |          0.012 |
            strrchr (LI-PaRAD) |           5 |          5.389 |          5.394 |          5.396 |          5.394 |          0.037 |          0.863 |          0.000 |     +40.28%
        strrchr (Arm OR 23.01) |           6 |          7.229 |          7.614 |          7.898 |          7.620 |          1.973 |          0.734 |          0.015 |
            strrchr (LI-PaRAD) |           6 |          5.216 |          5.380 |          5.408 |          5.358 |          0.769 |          1.043 |          0.008 |     +42.21%
        strrchr (Arm OR 23.01) |           7 |          7.210 |          7.584 |          7.898 |          7.581 |          2.041 |          0.860 |          0.018 |
            strrchr (LI-PaRAD) |           7 |          5.390 |          5.394 |          5.396 |          5.393 |          0.037 |          1.209 |          0.000 |     +40.56%
