        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strrchr (GNU libc 2.39) |           1 |          2.471 |          2.482 |          2.502 |          2.483 |          0.322 |          0.375 |          0.001 |
            strrchr (LI-PaRAD) |           1 |          5.390 |          5.393 |          5.400 |          5.393 |          0.041 |          0.173 |          0.000 |     -53.96%
       strrchr (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.086 |          3.082 |          0.061 |          0.604 |          0.000 |
            strrchr (LI-PaRAD) |           2 |          5.390 |          5.394 |          5.402 |          5.394 |          0.045 |          0.345 |          0.000 |     -42.86%
       strrchr (GNU libc 2.39) |           3 |          3.079 |          3.082 |          3.087 |          3.082 |          0.066 |          0.907 |          0.001 |
            strrchr (LI-PaRAD) |           3 |          5.389 |          5.393 |          5.397 |          5.393 |          0.035 |          0.518 |          0.000 |     -42.85%
       strrchr (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.089 |          3.082 |          0.070 |          1.209 |          0.001 |
            strrchr (LI-PaRAD) |           4 |          5.390 |          5.394 |          5.398 |          5.393 |          0.037 |          0.691 |          0.000 |     -42.86%
       strrchr (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.089 |          3.082 |          0.066 |          1.511 |          0.001 |
            strrchr (LI-PaRAD) |           5 |          5.390 |          5.394 |          5.397 |          5.393 |          0.036 |          0.863 |          0.000 |     -42.85%
       strrchr (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.092 |          3.082 |          0.069 |          1.813 |          0.001 |
            strrchr (LI-PaRAD) |           6 |          5.390 |          5.394 |          5.397 |          5.393 |          0.041 |          1.036 |          0.000 |     -42.86%
       strrchr (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.085 |          3.082 |          0.063 |          2.115 |          0.001 |
            strrchr (LI-PaRAD) |           7 |          5.390 |          5.393 |          5.425 |          5.394 |          0.070 |          1.209 |          0.001 |     -42.86%
       strrchr (GNU libc 2.39) |           8 |          3.079 |          3.082 |          3.086 |          3.082 |          0.064 |          2.418 |          0.002 |
            strrchr (LI-PaRAD) |           8 |          5.390 |          5.394 |          5.399 |          5.393 |          0.036 |          1.381 |          0.000 |     -42.86%
       strrchr (GNU libc 2.39) |           9 |          3.079 |          3.082 |          3.085 |          3.082 |          0.062 |          2.720 |          0.002 |
            strrchr (LI-PaRAD) |           9 |          5.390 |          5.393 |          5.397 |          5.393 |          0.035 |          1.554 |          0.001 |     -42.86%
       strrchr (GNU libc 2.39) |          10 |          3.079 |          3.082 |          3.122 |          3.082 |          0.144 |          3.022 |          0.004 |
            strrchr (LI-PaRAD) |          10 |          5.390 |          5.394 |          5.397 |          5.393 |          0.039 |          1.727 |          0.001 |     -42.85%
       strrchr (GNU libc 2.39) |          11 |          3.079 |          3.082 |          3.087 |          3.082 |          0.066 |          3.324 |          0.002 |
