        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcmp (GNU libc 2.39) |           1 |          2.391 |          2.395 |          2.412 |          2.396 |          0.144 |          0.389 |          0.001 |
             strcmp (LI-PaRAD) |           1 |          3.592 |          3.596 |          3.903 |          3.600 |          0.877 |          0.259 |          0.002 |     -33.45%
        strcmp (GNU libc 2.39) |           2 |          2.695 |          2.696 |          2.708 |          2.697 |          0.094 |          0.691 |          0.001 |
             strcmp (LI-PaRAD) |           2 |          3.592 |          3.596 |          3.599 |          3.596 |          0.052 |          0.518 |          0.000 |     -24.99%
        strcmp (GNU libc 2.39) |           3 |          2.695 |          2.697 |          2.701 |          2.697 |          0.076 |          1.036 |          0.001 |
             strcmp (LI-PaRAD) |           3 |          3.592 |          3.595 |          3.828 |          3.601 |          0.818 |          0.776 |          0.006 |     -25.11%
        strcmp (GNU libc 2.39) |           4 |          2.694 |          2.697 |          2.705 |          2.697 |          0.075 |          1.381 |          0.001 |
             strcmp (LI-PaRAD) |           4 |          3.592 |          3.596 |          3.673 |          3.597 |          0.221 |          1.036 |          0.002 |     -25.02%
        strcmp (GNU libc 2.39) |           5 |          2.695 |          2.697 |          2.702 |          2.697 |          0.074 |          1.727 |          0.001 |
             strcmp (LI-PaRAD) |           5 |          3.592 |          3.595 |          3.893 |          3.599 |          0.824 |          1.294 |          0.010 |     -25.06%
        strcmp (GNU libc 2.39) |           6 |          2.695 |          2.697 |          2.701 |          2.697 |          0.073 |          2.072 |          0.002 |
             strcmp (LI-PaRAD) |           6 |          3.592 |          3.595 |          3.599 |          3.596 |          0.048 |          1.554 |          0.001 |     -25.00%
        strcmp (GNU libc 2.39) |           7 |          2.695 |          2.697 |          2.728 |          2.697 |          0.134 |          2.417 |          0.003 |
             strcmp (LI-PaRAD) |           7 |          3.592 |          3.595 |          3.598 |          3.596 |          0.048 |          1.813 |          0.001 |     -24.99%
        strcmp (GNU libc 2.39) |           8 |          3.079 |          3.083 |          3.086 |          3.082 |          0.064 |          2.417 |          0.002 |
             strcmp (LI-PaRAD) |           8 |          3.592 |          3.596 |          3.602 |          3.596 |          0.050 |          2.072 |          0.001 |     -14.29%
        strcmp (GNU libc 2.39) |           9 |          3.079 |          3.083 |          3.086 |          3.082 |          0.065 |          2.720 |          0.002 |
             strcmp (LI-PaRAD) |           9 |          3.592 |          3.595 |          3.900 |          3.600 |          0.865 |          2.329 |          0.019 |     -14.38%
        strcmp (GNU libc 2.39) |          10 |          3.079 |          3.082 |          3.086 |          3.082 |          0.075 |          3.022 |          0.002 |
             strcmp (LI-PaRAD) |          10 |          3.592 |          3.596 |          3.770 |          3.598 |          0.484 |          2.589 |          0.012 |     -14.33%
        strcmp (GNU libc 2.39) |          11 |          3.079 |          3.082 |          3.086 |          3.082 |          0.066 |          3.324 |          0.002 |
             strcmp (LI-PaRAD) |          11 |          3.592 |          3.595 |          3.621 |          3.596 |          0.088 |          2.849 |          0.002 |     -14.29%
        strcmp (GNU libc 2.39) |          12 |          3.079 |          3.082 |          3.086 |          3.082 |          0.066 |          3.626 |          0.002 |
             strcmp (LI-PaRAD) |          12 |          3.592 |          3.595 |          3.854 |          3.601 |          0.966 |          3.104 |          0.028 |     -14.41%
        strcmp (GNU libc 2.39) |          13 |          3.079 |          3.083 |          3.105 |          3.082 |          0.097 |          3.928 |          0.004 |
             strcmp (LI-PaRAD) |          13 |          3.592 |          3.595 |          3.603 |          3.596 |          0.053 |          3.367 |          0.002 |     -14.28%
        strcmp (GNU libc 2.39) |          14 |          3.079 |          3.083 |          3.091 |          3.082 |          0.072 |          4.230 |          0.003 |
             strcmp (LI-PaRAD) |          14 |          3.592 |          3.596 |          3.605 |          3.596 |          0.061 |          3.626 |          0.002 |     -14.29%
        strcmp (GNU libc 2.39) |          15 |          3.079 |          3.083 |          3.086 |          3.082 |          0.070 |          4.532 |          0.003 |
             strcmp (LI-PaRAD) |          15 |          3.592 |          3.596 |          3.862 |          3.602 |          0.916 |          3.879 |          0.034 |     -14.43%
        strcmp (GNU libc 2.39) |          16 |          3.849 |          3.852 |          3.855 |          3.852 |          0.033 |          3.868 |          0.001 |
             strcmp (LI-PaRAD) |          16 |          3.592 |          3.596 |          3.600 |          3.596 |          0.052 |          4.144 |          0.002 |      +7.13%
        strcmp (GNU libc 2.39) |          17 |          3.849 |          3.852 |          3.860 |          3.853 |          0.042 |          4.109 |          0.002 |
             strcmp (LI-PaRAD) |          17 |          3.592 |          3.596 |          3.905 |          3.599 |          0.857 |          4.399 |          0.035 |      +7.05%
        strcmp (GNU libc 2.39) |          18 |          3.849 |          3.852 |          3.855 |          3.853 |          0.038 |          4.351 |          0.002 |
             strcmp (LI-PaRAD) |          18 |          3.592 |          3.595 |          3.623 |          3.596 |          0.095 |          4.662 |          0.004 |      +7.13%
        strcmp (GNU libc 2.39) |          19 |          3.849 |          3.852 |          3.861 |          3.853 |          0.046 |          4.593 |          0.002 |
             strcmp (LI-PaRAD) |          19 |          3.592 |          3.595 |          3.891 |          3.599 |          0.817 |          4.917 |          0.037 |      +7.06%
        strcmp (GNU libc 2.39) |          20 |          3.849 |          3.853 |          3.859 |          3.853 |          0.044 |          4.835 |          0.002 |
             strcmp (LI-PaRAD) |          20 |          3.592 |          3.595 |          3.599 |          3.596 |          0.046 |          5.180 |          0.002 |      +7.15%
        strcmp (GNU libc 2.39) |          21 |          3.849 |          3.852 |          3.855 |          3.853 |          0.039 |          5.076 |          0.002 |
             strcmp (LI-PaRAD) |          21 |          3.592 |          3.595 |          3.599 |          3.596 |          0.051 |          5.439 |          0.003 |      +7.15%
        strcmp (GNU libc 2.39) |          22 |          3.849 |          3.852 |          3.857 |          3.853 |          0.037 |          5.318 |          0.002 |
             strcmp (LI-PaRAD) |          22 |          3.592 |          3.595 |          3.599 |          3.596 |          0.049 |          5.698 |          0.003 |      +7.14%
        strcmp (GNU libc 2.39) |          23 |          3.848 |          3.852 |          3.855 |          3.852 |          0.036 |          5.560 |          0.002 |
             strcmp (LI-PaRAD) |          23 |          3.592 |          3.596 |          3.598 |          3.596 |          0.047 |          5.957 |          0.003 |      +7.14%
        strcmp (GNU libc 2.39) |          24 |          4.340 |          4.345 |          4.362 |          4.345 |          0.071 |          5.144 |          0.004 |
             strcmp (LI-PaRAD) |          24 |          3.640 |          3.973 |          4.244 |          3.937 |          7.458 |          5.709 |          0.425 |     +10.37%
        strcmp (GNU libc 2.39) |          25 |          4.328 |          4.341 |          4.347 |          4.341 |          0.064 |          5.364 |          0.003 |
             strcmp (LI-PaRAD) |          25 |          3.595 |          3.692 |          3.957 |          3.692 |          1.278 |          6.308 |          0.077 |     +17.58%
        strcmp (GNU libc 2.39) |          26 |          4.341 |          4.346 |          4.382 |          4.347 |          0.110 |          5.571 |          0.006 |
             strcmp (LI-PaRAD) |          26 |          4.236 |          4.238 |          4.242 |          4.238 |          0.037 |          5.714 |          0.002 |      +2.57%
        strcmp (GNU libc 2.39) |          27 |          4.336 |          4.341 |          4.348 |          4.341 |          0.064 |          5.793 |          0.004 |
             strcmp (LI-PaRAD) |          27 |          3.592 |          3.648 |          3.695 |          3.649 |          1.024 |          6.892 |          0.071 |     +18.96%
        strcmp (GNU libc 2.39) |          28 |          4.340 |          4.345 |          4.351 |          4.345 |          0.059 |          6.002 |          0.004 |
             strcmp (LI-PaRAD) |          28 |          3.640 |          3.644 |          3.939 |          3.655 |          1.300 |          7.136 |          0.087 |     +18.89%
        strcmp (GNU libc 2.39) |          29 |          4.335 |          4.340 |          4.349 |          4.340 |          0.065 |          6.223 |          0.004 |
             strcmp (LI-PaRAD) |          29 |          3.592 |          3.608 |          3.673 |          3.618 |          0.662 |          7.464 |          0.049 |     +19.94%
        strcmp (GNU libc 2.39) |          30 |          4.340 |          4.345 |          4.352 |          4.345 |          0.063 |          6.430 |          0.004 |
             strcmp (LI-PaRAD) |          30 |          3.640 |          3.645 |          4.242 |          3.812 |          6.786 |          7.361 |          0.469 |     +13.99%
        strcmp (GNU libc 2.39) |          31 |          4.335 |          4.340 |          4.347 |          4.340 |          0.056 |          6.652 |          0.004 |
             strcmp (LI-PaRAD) |          31 |          3.638 |          3.692 |          3.946 |          3.695 |          0.862 |          7.813 |          0.064 |     +17.45%
        strcmp (GNU libc 2.39) |          32 |          5.074 |          5.078 |          5.082 |          5.078 |          0.046 |          5.869 |          0.003 |
             strcmp (LI-PaRAD) |          32 |          5.390 |          5.394 |          5.487 |          5.395 |          0.177 |          5.525 |          0.010 |      -5.87%
        strcmp (GNU libc 2.39) |          33 |          5.073 |          5.080 |          5.088 |          5.080 |          0.079 |          6.050 |          0.005 |
             strcmp (LI-PaRAD) |          33 |          5.390 |          5.395 |          5.669 |          5.413 |          1.121 |          5.679 |          0.062 |      -6.14%
        strcmp (GNU libc 2.39) |          34 |          5.069 |          5.078 |          5.089 |          5.078 |          0.063 |          6.236 |          0.004 |
             strcmp (LI-PaRAD) |          34 |          5.390 |          5.394 |          5.398 |          5.394 |          0.035 |          5.871 |          0.002 |      -5.86%
        strcmp (GNU libc 2.39) |          35 |          5.079 |          5.083 |          5.087 |          5.083 |          0.046 |          6.413 |          0.003 |
             strcmp (LI-PaRAD) |          35 |          5.390 |          5.395 |          5.624 |          5.402 |          0.692 |          6.034 |          0.040 |      -5.90%
        strcmp (GNU libc 2.39) |          36 |          5.074 |          5.078 |          5.083 |          5.078 |          0.047 |          6.602 |          0.003 |
             strcmp (LI-PaRAD) |          36 |          5.390 |          5.394 |          5.398 |          5.394 |          0.040 |          6.216 |          0.002 |      -5.85%
        strcmp (GNU libc 2.39) |          37 |          5.078 |          5.082 |          5.115 |          5.083 |          0.077 |          6.779 |          0.005 |
             strcmp (LI-PaRAD) |          37 |          5.390 |          5.395 |          6.693 |          5.422 |          2.710 |          6.360 |          0.145 |      -6.25%
        strcmp (GNU libc 2.39) |          38 |          5.074 |          5.078 |          5.091 |          5.078 |          0.053 |          6.969 |          0.004 |
             strcmp (LI-PaRAD) |          38 |          5.390 |          5.394 |          5.403 |          5.394 |          0.039 |          6.562 |          0.003 |      -5.85%
        strcmp (GNU libc 2.39) |          39 |          5.079 |          5.083 |          5.087 |          5.083 |          0.047 |          7.146 |          0.003 |
             strcmp (LI-PaRAD) |          39 |          5.389 |          5.394 |          5.635 |          5.401 |          0.692 |          6.725 |          0.045 |      -5.90%
        strcmp (GNU libc 2.39) |          40 |          5.789 |          5.803 |          5.828 |          5.803 |          0.075 |          6.419 |          0.005 |
             strcmp (LI-PaRAD) |          40 |          5.390 |          5.394 |          5.551 |          5.397 |          0.397 |          6.903 |          0.027 |      +7.53%
        strcmp (GNU libc 2.39) |          41 |          5.800 |          5.806 |          5.812 |          5.806 |          0.033 |          6.577 |          0.002 |
             strcmp (LI-PaRAD) |          41 |          5.390 |          5.394 |          5.551 |          5.397 |          0.408 |          7.076 |          0.028 |      +7.58%
        strcmp (GNU libc 2.39) |          42 |          5.786 |          5.803 |          5.828 |          5.804 |          0.101 |          6.740 |          0.007 |
             strcmp (LI-PaRAD) |          42 |          5.390 |          5.394 |          5.516 |          5.395 |          0.229 |          7.250 |          0.016 |      +7.58%
        strcmp (GNU libc 2.39) |          43 |          5.805 |          5.810 |          5.872 |          5.811 |          0.135 |          6.892 |          0.009 |
             strcmp (LI-PaRAD) |          43 |          5.390 |          5.394 |          5.566 |          5.400 |          0.585 |          7.416 |          0.042 |      +7.61%
