        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncpy (Arm OR 23.01) |           1 |          4.661 |          4.681 |          4.747 |          4.683 |          0.245 |          0.199 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.333 |          2.312 |          0.123 |          0.403 |          0.000 |    +102.55%
        strncpy (Arm OR 23.01) |           2 |          4.683 |          4.721 |          4.733 |          4.721 |          0.141 |          0.395 |          0.001 |
            strncpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.319 |          2.312 |          0.101 |          0.806 |          0.001 |    +104.17%
        strncpy (Arm OR 23.01) |           3 |          4.695 |          4.705 |          4.725 |          4.706 |          0.099 |          0.594 |          0.001 |
            strncpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.317 |          2.312 |          0.082 |          1.209 |          0.001 |    +103.55%
        strncpy (Arm OR 23.01) |           4 |          4.621 |          4.623 |          4.627 |          4.623 |          0.041 |          0.806 |          0.000 |
            strncpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.325 |          2.312 |          0.115 |          1.611 |          0.002 |     +99.96%
        strncpy (Arm OR 23.01) |           5 |          4.621 |          4.623 |          4.627 |          4.623 |          0.040 |          1.007 |          0.000 |
            strncpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.317 |          2.312 |          0.089 |          2.014 |          0.002 |     +99.98%
        strncpy (Arm OR 23.01) |           6 |          4.621 |          4.624 |          4.629 |          4.624 |          0.051 |          1.209 |          0.001 |
            strncpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.320 |          2.312 |          0.097 |          2.417 |          0.002 |     +99.99%
        strncpy (Arm OR 23.01) |           7 |          4.620 |          4.624 |          4.632 |          4.624 |          0.049 |          1.410 |          0.001 |
            strncpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.318 |          2.312 |          0.091 |          2.820 |          0.003 |    +100.01%
        strncpy (Arm OR 23.01) |           8 |          4.336 |          4.380 |          4.471 |          4.381 |          0.586 |          1.701 |          0.010 |
            strncpy (LI-PaRAD) |           8 |          2.308 |          2.312 |          2.320 |          2.313 |          0.113 |          3.222 |          0.004 |     +89.46%
        strncpy (Arm OR 23.01) |           9 |          4.335 |          4.363 |          4.401 |          4.363 |          0.373 |          1.921 |          0.007 |
            strncpy (LI-PaRAD) |           9 |          2.308 |          2.311 |          2.317 |          2.312 |          0.080 |          3.626 |          0.003 |     +88.76%
        strncpy (Arm OR 23.01) |          10 |          4.336 |          4.374 |          4.412 |          4.375 |          0.368 |          2.129 |          0.008 |
            strncpy (LI-PaRAD) |          10 |          2.308 |          2.312 |          2.331 |          2.313 |          0.140 |          4.027 |          0.006 |     +89.18%
        strncpy (Arm OR 23.01) |          11 |          4.328 |          4.363 |          4.400 |          4.363 |          0.350 |          2.348 |          0.008 |
            strncpy (LI-PaRAD) |          11 |          2.308 |          2.311 |          2.316 |          2.312 |          0.080 |          4.432 |          0.004 |     +88.75%
        strncpy (Arm OR 23.01) |          12 |          4.333 |          4.378 |          4.446 |          4.381 |          0.505 |          2.551 |          0.013 |
            strncpy (LI-PaRAD) |          12 |          2.308 |          2.312 |          2.321 |          2.313 |          0.117 |          4.833 |          0.006 |     +89.44%
        strncpy (Arm OR 23.01) |          13 |          4.324 |          4.366 |          4.398 |          4.363 |          0.400 |          2.775 |          0.011 |
            strncpy (LI-PaRAD) |          13 |          2.308 |          2.311 |          2.316 |          2.312 |          0.087 |          5.237 |          0.005 |     +88.73%
        strncpy (Arm OR 23.01) |          14 |          4.339 |          4.379 |          4.411 |          4.377 |          0.361 |          2.979 |          0.011 |
            strncpy (LI-PaRAD) |          14 |          2.308 |          2.311 |          2.320 |          2.312 |          0.107 |          5.639 |          0.006 |     +89.29%
        strncpy (Arm OR 23.01) |          15 |          4.326 |          4.364 |          4.396 |          4.364 |          0.369 |          3.201 |          0.012 |
            strncpy (LI-PaRAD) |          15 |          2.308 |          2.311 |          2.316 |          2.312 |          0.085 |          6.043 |          0.005 |     +88.79%
        strncpy (Arm OR 23.01) |          16 |          4.018 |          4.053 |          4.062 |          4.053 |          0.128 |          3.677 |          0.005 |
            strncpy (LI-PaRAD) |          16 |          2.308 |          2.312 |          2.326 |          2.312 |          0.113 |          6.444 |          0.007 |     +75.28%
        strncpy (Arm OR 23.01) |          17 |          5.630 |          5.684 |          5.721 |          5.682 |          0.320 |          2.786 |          0.009 |
            strncpy (LI-PaRAD) |          17 |          2.308 |          2.311 |          2.317 |          2.312 |          0.090 |          6.849 |          0.006 |    +145.80%
        strncpy (Arm OR 23.01) |          18 |          5.660 |          5.709 |          5.748 |          5.708 |          0.393 |          2.937 |          0.012 |
            strncpy (LI-PaRAD) |          18 |          2.308 |          2.312 |          2.328 |          2.313 |          0.143 |          7.249 |          0.010 |    +146.84%
        strncpy (Arm OR 23.01) |          19 |          5.630 |          5.689 |          5.742 |          5.685 |          0.320 |          3.112 |          0.010 |
            strncpy (LI-PaRAD) |          19 |          2.308 |          2.311 |          2.414 |          2.313 |          0.450 |          7.651 |          0.033 |    +145.83%
        strncpy (Arm OR 23.01) |          20 |          5.493 |          5.523 |          5.544 |          5.521 |          0.241 |          3.374 |          0.008 |
            strncpy (LI-PaRAD) |          20 |          2.308 |          2.311 |          2.319 |          2.312 |          0.096 |          8.057 |          0.008 |    +138.81%
        strncpy (Arm OR 23.01) |          21 |          5.635 |          5.688 |          5.717 |          5.686 |          0.301 |          3.439 |          0.010 |
            strncpy (LI-PaRAD) |          21 |          2.308 |          2.311 |          2.317 |          2.312 |          0.092 |          8.460 |          0.008 |    +145.99%
        strncpy (Arm OR 23.01) |          22 |          5.656 |          5.721 |          5.753 |          5.717 |          0.356 |          3.584 |          0.013 |
