        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strnlen (Arm OR 23.01) |           1 |          5.775 |          6.249 |          6.549 |          6.204 |          3.510 |          0.150 |          0.005 |
            strnlen (LI-PaRAD) |           1 |          2.778 |          2.909 |          2.914 |          2.905 |          0.616 |          0.321 |          0.002 |    +113.55%
        strnlen (Arm OR 23.01) |           2 |          5.775 |          6.271 |          6.552 |          6.254 |          3.469 |          0.298 |          0.010 |
            strnlen (LI-PaRAD) |           2 |          2.775 |          2.909 |          2.916 |          2.905 |          0.735 |          0.641 |          0.005 |    +115.33%
        strnlen (Arm OR 23.01) |           3 |          5.777 |          6.248 |          6.549 |          6.230 |          2.896 |          0.449 |          0.013 |
            strnlen (LI-PaRAD) |           3 |          2.784 |          2.909 |          2.912 |          2.906 |          0.526 |          0.961 |          0.005 |    +114.39%
        strnlen (Arm OR 23.01) |           4 |          5.775 |          6.249 |          6.550 |          6.245 |          3.231 |          0.597 |          0.019 |
            strnlen (LI-PaRAD) |           4 |          2.855 |          2.909 |          2.913 |          2.908 |          0.252 |          1.281 |          0.003 |    +114.77%
        strnlen (Arm OR 23.01) |           5 |          5.777 |          6.250 |          6.551 |          6.241 |          3.123 |          0.747 |          0.024 |
            strnlen (LI-PaRAD) |           5 |          2.783 |          2.909 |          2.912 |          2.903 |          0.751 |          1.604 |          0.012 |    +114.95%
        strnlen (Arm OR 23.01) |           6 |          5.777 |          6.269 |          6.581 |          6.265 |          3.392 |          0.893 |          0.031 |
            strnlen (LI-PaRAD) |           6 |          2.746 |          2.906 |          2.912 |          2.893 |          0.952 |          1.932 |          0.019 |    +116.55%
        strnlen (Arm OR 23.01) |           7 |          5.775 |          6.249 |          6.552 |          6.194 |          3.448 |          1.054 |          0.037 |
            strnlen (LI-PaRAD) |           7 |          2.744 |          2.909 |          2.914 |          2.904 |          0.801 |          2.245 |          0.019 |    +113.31%
        strnlen (Arm OR 23.01) |           8 |          5.777 |          6.250 |          6.552 |          6.232 |          3.309 |          1.197 |          0.040 |
            strnlen (LI-PaRAD) |           8 |          2.741 |          2.909 |          2.912 |          2.905 |          0.684 |          2.565 |          0.018 |    +114.54%
        strnlen (Arm OR 23.01) |           9 |          5.777 |          6.248 |          6.552 |          6.225 |          3.250 |          1.348 |          0.044 |
            strnlen (LI-PaRAD) |           9 |          2.698 |          2.906 |          2.911 |          2.897 |          0.942 |          2.893 |          0.029 |    +114.83%
        strnlen (Arm OR 23.01) |          10 |          5.777 |          6.317 |          6.550 |          6.261 |          3.588 |          1.490 |          0.054 |
            strnlen (LI-PaRAD) |          10 |          2.827 |          2.908 |          2.912 |          2.905 |          0.519 |          3.206 |          0.017 |    +115.53%
        strnlen (Arm OR 23.01) |          11 |          5.777 |          6.247 |          6.552 |          6.266 |          3.100 |          1.636 |          0.051 |
            strnlen (LI-PaRAD) |          11 |          2.782 |          2.909 |          2.917 |          2.906 |          0.528 |          3.526 |          0.019 |    +115.64%
        strnlen (Arm OR 23.01) |          12 |          5.777 |          6.220 |          6.551 |          6.229 |          3.297 |          1.796 |          0.060 |
            strnlen (LI-PaRAD) |          12 |          2.801 |          2.909 |          2.912 |          2.906 |          0.457 |          3.845 |          0.018 |    +114.32%
        strnlen (Arm OR 23.01) |          13 |          5.775 |          6.272 |          6.552 |          6.243 |          3.580 |          1.942 |          0.070 |
            strnlen (LI-PaRAD) |          13 |          2.801 |          2.909 |          2.912 |          2.905 |          0.513 |          4.168 |          0.022 |    +114.89%
        strnlen (Arm OR 23.01) |          14 |          5.821 |          6.279 |          6.552 |          6.273 |          3.196 |          2.081 |          0.067 |
            strnlen (LI-PaRAD) |          14 |          2.737 |          2.908 |          2.912 |          2.900 |          1.005 |          4.496 |          0.047 |    +116.30%
        strnlen (Arm OR 23.01) |          15 |          5.780 |          6.292 |          6.552 |          6.273 |          2.767 |          2.229 |          0.063 |
            strnlen (LI-PaRAD) |          15 |          2.813 |          2.909 |          2.912 |          2.907 |          0.365 |          4.806 |          0.018 |    +115.81%
        strnlen (Arm OR 23.01) |          16 |          5.781 |          6.249 |          6.552 |          6.244 |          3.160 |          2.389 |          0.076 |
            strnlen (LI-PaRAD) |          16 |          2.822 |          2.909 |          2.913 |          2.907 |          0.315 |          5.125 |          0.017 |    +114.78%
        strnlen (Arm OR 23.01) |          17 |          5.777 |          6.242 |          6.552 |          6.239 |          3.624 |          2.541 |          0.093 |
            strnlen (LI-PaRAD) |          17 |          2.798 |          2.908 |          2.912 |          2.905 |          0.579 |          5.450 |          0.032 |    +114.75%
        strnlen (Arm OR 23.01) |          18 |          5.775 |          6.201 |          6.551 |          6.179 |          3.397 |          2.716 |          0.092 |
            strnlen (LI-PaRAD) |          18 |          2.751 |          2.909 |          2.912 |          2.901 |          0.908 |          5.779 |          0.054 |    +113.02%
        strnlen (Arm OR 23.01) |          19 |          5.775 |          6.239 |          6.551 |          6.239 |          3.085 |          2.839 |          0.088 |
            strnlen (LI-PaRAD) |          19 |          2.762 |          2.909 |          2.912 |          2.905 |          0.643 |          6.091 |          0.041 |    +114.73%
        strnlen (Arm OR 23.01) |          20 |          5.779 |          6.251 |          6.551 |          6.229 |          3.524 |          2.994 |          0.106 |
            strnlen (LI-PaRAD) |          20 |          2.755 |          2.908 |          2.912 |          2.906 |          0.598 |          6.411 |          0.040 |    +114.36%
        strnlen (Arm OR 23.01) |          21 |          5.777 |          6.249 |          6.552 |          6.253 |          3.316 |          3.131 |          0.105 |
            strnlen (LI-PaRAD) |          21 |          2.830 |          2.907 |          2.912 |          2.900 |          0.654 |          6.745 |          0.045 |    +115.64%
        strnlen (Arm OR 23.01) |          22 |          5.777 |          6.250 |          6.551 |          6.232 |          3.357 |          3.291 |          0.111 |
