ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (LI-PaRAD)|1|5.39|5.394|5.404|5.393|0.042|0.173|0.0
strrchr (GNU libc 2.39)|1|2.471|2.483|2.505|2.483|0.325|0.375|0.001
strrchr (Arm OR 23.01)|1|7.212|7.575|7.921|7.575|2.278|0.123|0.003
strrchr (LI-PaRAD)|2|5.39|5.394|5.399|5.393|0.035|0.345|0.0
strrchr (GNU libc 2.39)|2|3.079|3.082|3.085|3.082|0.062|0.604|0.0
strrchr (Arm OR 23.01)|2|7.224|7.519|7.812|7.517|1.832|0.248|0.005
strrchr (LI-PaRAD)|3|5.39|5.394|5.403|5.394|0.04|0.518|0.0
strrchr (GNU libc 2.39)|3|3.079|3.082|3.089|3.082|0.069|0.907|0.001
strrchr (Arm OR 23.01)|3|7.203|7.568|7.944|7.559|2.261|0.37|0.008
strrchr (LI-PaRAD)|4|5.39|5.394|5.397|5.393|0.035|0.691|0.0
strrchr (GNU libc 2.39)|4|3.079|3.082|3.125|3.082|0.154|1.209|0.002
strrchr (Arm OR 23.01)|4|7.224|7.549|7.897|7.54|2.044|0.494|0.01
strrchr (LI-PaRAD)|5|5.39|5.394|5.43|5.394|0.077|0.863|0.001
strrchr (GNU libc 2.39)|5|3.079|3.082|3.092|3.082|0.074|1.511|0.001
strrchr (Arm OR 23.01)|5|7.286|7.632|7.897|7.627|1.79|0.611|0.011
strrchr (LI-PaRAD)|6|5.39|5.394|5.406|5.394|0.046|1.036|0.0
strrchr (GNU libc 2.39)|6|3.079|3.083|3.089|3.082|0.072|1.813|0.001
strrchr (Arm OR 23.01)|6|7.369|7.604|7.929|7.605|1.937|0.735|0.014
strrchr (LI-PaRAD)|7|5.39|5.394|5.399|5.393|0.036|1.209|0.0
