        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcmp (Arm OR 23.01) |          64 |          2.455 |          2.455 |          2.486 |          2.456 |          0.130 |         24.270 |          0.031 |
             memcmp (LI-PaRAD) |          64 |          2.687 |          2.688 |          2.690 |          2.688 |          0.023 |         22.175 |          0.005 |      -8.63%
         memcmp (Arm OR 23.01) |         128 |          4.540 |          4.543 |          4.552 |          4.543 |          0.033 |         26.241 |          0.009 |
             memcmp (LI-PaRAD) |         128 |          4.902 |          4.905 |          4.908 |          4.904 |          0.025 |         24.306 |          0.006 |      -7.37%
         memcmp (Arm OR 23.01) |         256 |          8.630 |          8.633 |          8.648 |          8.633 |          0.030 |         27.616 |          0.008 |
             memcmp (LI-PaRAD) |         256 |          9.263 |          9.268 |          9.285 |          9.268 |          0.025 |         25.725 |          0.006 |      -6.85%
         memcmp (Arm OR 23.01) |         512 |         16.832 |         16.839 |         16.860 |         16.840 |          0.035 |         28.315 |          0.010 |
             memcmp (LI-PaRAD) |         512 |         17.535 |         17.545 |         17.562 |         17.545 |          0.034 |         27.177 |          0.009 |      -4.02%
         memcmp (Arm OR 23.01) |        1024 |         33.224 |         33.236 |         33.295 |         33.238 |          0.027 |         28.693 |          0.008 |
             memcmp (LI-PaRAD) |        1024 |         33.966 |         33.986 |         34.080 |         33.988 |          0.051 |         28.059 |          0.014 |      -2.21%
         memcmp (Arm OR 23.01) |        2048 |         66.016 |         66.047 |         66.072 |         66.046 |          0.016 |         28.879 |          0.005 |
             memcmp (LI-PaRAD) |        2048 |         66.798 |         66.830 |         67.212 |         66.840 |          0.078 |         28.536 |          0.022 |      -1.19%
         memcmp (Arm OR 23.01) |        4096 |        136.765 |        136.973 |        137.133 |        136.973 |          0.043 |         27.850 |          0.012 |
             memcmp (LI-PaRAD) |        4096 |        136.746 |        137.312 |        137.856 |        137.319 |          0.112 |         27.780 |          0.031 |      -0.25%
         memcmp (Arm OR 23.01) |        8192 |        268.070 |        268.291 |        268.835 |        268.289 |          0.036 |         28.437 |          0.010 |
             memcmp (LI-PaRAD) |        8192 |        268.560 |        268.758 |        269.574 |        268.768 |          0.043 |         28.387 |          0.012 |      -0.18%
         memcmp (Arm OR 23.01) |       16384 |        538.662 |        539.619 |        540.458 |        539.669 |          0.066 |         28.274 |          0.019 |
             memcmp (LI-PaRAD) |       16384 |        540.698 |        542.416 |        543.603 |        542.181 |          0.133 |         28.143 |          0.037 |      -0.46%
         memcmp (Arm OR 23.01) |       32768 |       1061.600 |       1062.208 |       1063.872 |       1062.293 |          0.049 |         28.728 |          0.014 |
             memcmp (LI-PaRAD) |       32768 |       1063.584 |       1064.320 |       1065.920 |       1064.408 |          0.045 |         28.671 |          0.013 |      -0.20%
         memcmp (Arm OR 23.01) |       65536 |       2185.216 |       2190.464 |       2194.432 |       2190.397 |          0.078 |         27.865 |          0.022 |
             memcmp (LI-PaRAD) |       65536 |       2193.184 |       2198.272 |       2201.696 |       2198.308 |          0.062 |         27.765 |          0.017 |      -0.36%
         memcmp (Arm OR 23.01) |      131072 |       4505.952 |       4547.520 |       4623.840 |       4544.905 |          0.406 |         26.859 |          0.109 |
             memcmp (LI-PaRAD) |      131072 |       4513.856 |       4530.176 |       4546.304 |       4529.928 |          0.157 |         26.948 |          0.042 |      +0.33%
         memcmp (Arm OR 23.01) |      262144 |       9125.440 |       9177.600 |       9586.880 |       9204.648 |          0.908 |         26.526 |          0.236 |
             memcmp (LI-PaRAD) |      262144 |       9157.120 |       9208.320 |       9258.560 |       9206.825 |          0.211 |         26.517 |          0.056 |      -0.02%
         memcmp (Arm OR 23.01) |      524288 |      18220.800 |      18442.240 |      18679.040 |      18430.923 |          0.615 |         26.493 |          0.163 |
             memcmp (LI-PaRAD) |      524288 |      18531.840 |      18740.480 |      18952.640 |      18736.887 |          0.465 |         26.060 |          0.121 |      -1.63%
         memcmp (Arm OR 23.01) |     1048576 |      34181.760 |      34382.080 |      38367.040 |      34411.415 |          1.243 |         28.383 |          0.322 |
             memcmp (LI-PaRAD) |     1048576 |      34422.720 |      34516.480 |      34880.320 |      34516.993 |          0.171 |         28.292 |          0.048 |      -0.31%
         memcmp (Arm OR 23.01) |     2097152 |      68358.400 |      68518.400 |     116988.800 |      70731.343 |         11.072 |         27.846 |          2.133 |
             memcmp (LI-PaRAD) |     2097152 |      68736.000 |      69004.800 |      72563.200 |      69135.398 |          0.728 |         28.252 |          0.199 |      +2.31%
         memcmp (Arm OR 23.01) |     4194304 |     136595.200 |     140649.600 |     209049.600 |     142646.875 |          7.175 |         27.492 |          1.533 |
             memcmp (LI-PaRAD) |     4194304 |     138185.600 |     140992.000 |     209996.800 |     144272.380 |          6.973 |         27.177 |          1.482 |      -1.13%
         memcmp (Arm OR 23.01) |     8388608 |     272956.800 |     273843.200 |     437152.000 |     284927.113 |         11.159 |         27.669 |          2.272 |
             memcmp (LI-PaRAD) |     8388608 |     274508.800 |     276656.000 |     292009.600 |     278729.917 |          1.715 |         28.037 |          0.470 |      +2.22%
         memcmp (Arm OR 23.01) |    16777216 |     726752.000 |     751168.000 |     847712.000 |     756317.941 |          2.256 |         20.669 |          0.442 |
             memcmp (LI-PaRAD) |    16777216 |     737600.000 |     742320.000 |     783584.000 |     743113.980 |          0.635 |         21.027 |          0.128 |      +1.78%
         memcmp (Arm OR 23.01) |    33554432 |    1429200.000 |    1488224.000 |    1582768.000 |    1493901.782 |          1.664 |         20.924 |          0.344 |
             memcmp (LI-PaRAD) |    33554432 |    1420832.000 |    1483520.000 |    1867584.000 |    1485397.861 |          3.212 |         21.057 |          0.591 |      +0.57%
         memcmp (Arm OR 23.01) |    67108864 |    3320640.000 |    3480256.000 |    5484960.000 |    3940359.604 |         18.365 |         16.352 |          2.712 |
             memcmp (LI-PaRAD) |    67108864 |    3325744.000 |    3331440.000 |    3429152.000 |    3332434.693 |          0.305 |         18.755 |          0.056 |     +18.24%
         memcmp (Arm OR 23.01) |   134217728 |   10153504.000 |   10412672.000 |   11447216.000 |   10576960.317 |          3.893 |         11.835 |          0.446 |
             memcmp (LI-PaRAD) |   134217728 |    8464128.000 |    8478992.000 |   10355120.000 |    9062254.891 |          9.184 |         13.902 |          1.191 |     +16.71%
         memcmp (Arm OR 23.01) |   268435456 |   22970624.000 |   23013056.000 |   23199248.000 |   23024017.901 |          0.148 |         10.858 |          0.016 |
             memcmp (LI-PaRAD) |   268435456 |   19698448.000 |   23035552.000 |   23084816.000 |   21716543.366 |          7.276 |         11.574 |          0.868 |      +6.02%
         memcmp (Arm OR 23.01) |   536870912 |   46086704.000 |   46153312.000 |   46389568.000 |   46180275.010 |          0.151 |         10.827 |          0.016 |
             memcmp (LI-PaRAD) |   536870912 |   43053568.000 |   46286448.000 |   46332320.000 |   45746237.149 |          2.144 |         10.935 |          0.242 |      +0.95%
