ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (LI-PaRAD)|64|2.709|2.711|3.741|2.741|6.385|21.809|1.03
memcmp (GNU libc 2.34)|64|2.673|2.681|3.75|2.709|5.587|22.055|0.91
memcmp (Arm OR 23.01)|64|2.455|2.455|2.486|2.456|0.13|24.27|0.031
memcmp (LI-PaRAD)|128|4.93|4.939|5.976|4.979|4.067|23.977|0.819
memcmp (GNU libc 2.34)|128|4.56|4.565|5.602|4.607|4.393|25.918|0.944
memcmp (Arm OR 23.01)|128|4.54|4.543|4.552|4.543|0.033|26.241|0.009
memcmp (LI-PaRAD)|256|9.336|9.341|10.383|9.424|2.978|25.32|0.69
memcmp (GNU libc 2.34)|256|7.68|7.683|8.721|7.765|3.597|30.741|0.995
memcmp (Arm OR 23.01)|256|8.63|8.633|8.648|8.633|0.03|27.616|0.008
memcmp (LI-PaRAD)|512|17.676|17.686|28.168|17.897|8.127|26.756|1.396
memcmp (GNU libc 2.34)|512|13.031|13.037|23.308|13.141|7.776|36.41|1.603
memcmp (Arm OR 23.01)|512|16.832|16.839|16.86|16.84|0.035|28.315|0.01
memcmp (LI-PaRAD)|1024|34.243|34.259|44.626|34.568|5.086|27.644|1.098
memcmp (GNU libc 2.34)|1024|23.521|23.53|33.826|23.734|6.041|40.284|1.721
memcmp (Arm OR 23.01)|1024|33.224|33.236|33.295|33.238|0.027|28.693|0.008
memcmp (LI-PaRAD)|2048|67.329|67.371|77.696|67.98|3.592|28.089|0.89
memcmp (GNU libc 2.34)|2048|44.612|44.633|55.06|45.147|4.986|42.334|1.75
memcmp (Arm OR 23.01)|2048|66.016|66.047|66.072|66.046|0.016|28.879|0.005
memcmp (LI-PaRAD)|4096|135.126|138.221|240.931|139.154|7.363|27.499|1.179
memcmp (GNU libc 2.34)|4096|86.752|86.794|190.512|87.831|11.749|43.709|2.38
memcmp (Arm OR 23.01)|4096|136.765|136.973|137.133|136.973|0.043|27.85|0.012
memcmp (LI-PaRAD)|8192|270.55|270.928|376.493|274.051|6.489|27.925|1.335
memcmp (GNU libc 2.34)|8192|171.037|171.107|274.819|172.15|5.994|44.418|1.674
memcmp (Arm OR 23.01)|8192|268.07|268.291|268.835|268.289|0.036|28.437|0.01
memcmp (LI-PaRAD)|16384|540.365|540.806|644.79|545.923|4.109|27.99|0.983
