        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strchr (GNU libc 2.34) |          64 |          3.019 |          3.020 |          3.055 |          3.021 |          0.128 |         19.731 |          0.025 |
             strchr (LI-PaRAD) |          64 |          5.268 |          5.387 |          5.460 |          5.390 |          0.472 |         11.058 |          0.053 |     -43.96%
        strchr (GNU libc 2.34) |         128 |          4.256 |          4.258 |          4.271 |          4.259 |          0.069 |         27.993 |          0.019 |
             strchr (LI-PaRAD) |         128 |          8.085 |          8.123 |          8.169 |          8.122 |          0.319 |         14.678 |          0.047 |     -47.57%
        strchr (GNU libc 2.34) |         256 |          7.608 |          7.612 |          7.678 |          7.612 |          0.092 |         31.320 |          0.028 |
             strchr (LI-PaRAD) |         256 |         14.795 |         14.848 |         14.887 |         14.846 |          0.122 |         16.060 |          0.020 |     -48.72%
        strchr (GNU libc 2.34) |         512 |         14.360 |         14.370 |         14.507 |         14.372 |          0.101 |         33.179 |          0.033 |
             strchr (LI-PaRAD) |         512 |         25.033 |         25.062 |         25.113 |         25.059 |          0.056 |         19.028 |          0.011 |     -42.65%
        strchr (GNU libc 2.34) |        1024 |         29.284 |         29.305 |         29.424 |         29.307 |          0.064 |         32.541 |          0.021 |
             strchr (LI-PaRAD) |        1024 |         46.416 |         46.502 |         46.669 |         46.515 |          0.090 |         20.503 |          0.018 |     -36.99%
        strchr (GNU libc 2.34) |        2048 |         60.945 |         61.012 |         61.107 |         61.012 |          0.047 |         31.262 |          0.015 |
             strchr (LI-PaRAD) |        2048 |         93.787 |         94.105 |         94.202 |         94.079 |          0.103 |         20.274 |          0.021 |     -35.15%
        strchr (GNU libc 2.34) |        4096 |        147.018 |        147.990 |        149.469 |        147.921 |          0.260 |         25.789 |          0.067 |
             strchr (LI-PaRAD) |        4096 |        177.290 |        194.445 |        197.696 |        194.033 |          1.661 |         19.666 |          0.350 |     -23.76%
        strchr (GNU libc 2.34) |        8192 |        277.053 |        277.571 |        279.258 |        277.688 |          0.163 |         27.475 |          0.045 |
             strchr (LI-PaRAD) |        8192 |        381.555 |        382.362 |        390.922 |        384.036 |          0.730 |         19.867 |          0.144 |     -27.69%
        strchr (GNU libc 2.34) |       16384 |        543.258 |        548.963 |        553.056 |        548.645 |          0.412 |         27.812 |          0.115 |
             strchr (LI-PaRAD) |       16384 |        761.968 |        763.802 |        775.286 |        764.968 |          0.424 |         19.947 |          0.084 |     -28.28%
        strchr (GNU libc 2.34) |       32768 |       1054.496 |       1070.912 |       1082.848 |       1070.370 |          0.530 |         28.512 |          0.151 |
             strchr (LI-PaRAD) |       32768 |       1527.200 |       1530.400 |       1554.464 |       1537.254 |          0.652 |         19.853 |          0.129 |     -30.37%
        strchr (GNU libc 2.34) |       65536 |       1815.072 |       1840.000 |       1877.408 |       1840.091 |          0.622 |         33.171 |          0.206 |
             strchr (LI-PaRAD) |       65536 |       3075.776 |       3080.352 |       3109.760 |       3086.116 |          0.348 |         19.778 |          0.069 |     -40.38%
        strchr (GNU libc 2.34) |      131072 |       3584.352 |       3616.224 |       3659.328 |       3617.529 |          0.431 |         33.745 |          0.145 |
             strchr (LI-PaRAD) |      131072 |       6159.168 |       6169.312 |       6198.720 |       6170.404 |          0.113 |         19.783 |          0.022 |     -41.37%
        strchr (GNU libc 2.34) |      262144 |       7036.480 |       7251.840 |       7459.840 |       7245.161 |          1.260 |         33.702 |          0.424 |
             strchr (LI-PaRAD) |      262144 |      12317.760 |      12384.640 |      12427.520 |      12381.450 |          0.157 |         19.718 |          0.031 |     -41.48%
        strchr (GNU libc 2.34) |      524288 |      16377.600 |      16557.120 |      16802.880 |      16550.980 |          0.475 |         29.502 |          0.140 |
             strchr (LI-PaRAD) |      524288 |      24932.480 |      25000.960 |      25049.920 |      24999.300 |          0.096 |         19.532 |          0.019 |     -33.79%
        strchr (GNU libc 2.34) |     1048576 |      37502.080 |      37934.400 |      38239.040 |      37933.719 |          0.345 |         25.744 |          0.089 |
             strchr (LI-PaRAD) |     1048576 |      49996.480 |      50190.080 |      50304.320 |      50177.309 |          0.132 |         19.462 |          0.026 |     -24.40%
        strchr (GNU libc 2.34) |     2097152 |      57971.200 |      66524.800 |      97513.600 |      68062.131 |         10.525 |         28.953 |          2.489 |
             strchr (LI-PaRAD) |     2097152 |      98969.600 |      99584.000 |     100780.800 |      99698.883 |          0.435 |         19.591 |          0.085 |     -31.73%
        strchr (GNU libc 2.34) |     4194304 |     126236.800 |     138368.000 |     199593.600 |     140606.543 |          8.826 |         27.952 |          1.972 |
             strchr (LI-PaRAD) |     4194304 |     197734.400 |     199622.400 |     214281.600 |     200450.820 |          1.284 |         19.490 |          0.242 |     -29.85%
        strchr (GNU libc 2.34) |     8388608 |     260883.200 |     274614.400 |     409267.200 |     282285.560 |          9.502 |         27.870 |          2.077 |
             strchr (LI-PaRAD) |     8388608 |     400784.000 |     402723.200 |     427344.000 |     403402.772 |          0.757 |         19.368 |          0.141 |     -30.02%
        strchr (GNU libc 2.34) |    16777216 |     561600.000 |     661712.000 |     838960.000 |     664201.188 |         12.217 |         23.858 |          2.777 |
             strchr (LI-PaRAD) |    16777216 |     826624.000 |     833936.000 |     910384.000 |     835279.525 |          1.093 |         18.708 |          0.193 |     -20.48%
        strchr (GNU libc 2.34) |    33554432 |    1137776.000 |    1336384.000 |    1682528.000 |    1356459.089 |         11.535 |         23.330 |          2.576 |
             strchr (LI-PaRAD) |    33554432 |    1673760.000 |    1690944.000 |    1752176.000 |    1691523.327 |          0.674 |         18.475 |          0.123 |     -19.81%
        strchr (GNU libc 2.34) |    67108864 |    2599040.000 |    2737360.000 |    3224976.000 |    2758698.772 |          4.514 |         22.698 |          0.942 |
             strchr (LI-PaRAD) |    67108864 |    3284576.000 |    3680368.000 |    4283936.000 |    3676873.188 |          3.135 |         17.014 |          0.525 |     -24.97%
        strchr (GNU libc 2.34) |   134217728 |    5926880.000 |    6025936.000 |    6303584.000 |    6050607.366 |          1.713 |         20.665 |          0.350 |
             strchr (LI-PaRAD) |   134217728 |    6568896.000 |    6596272.000 |    6607408.000 |    6594493.941 |          0.110 |         18.955 |          0.021 |      -8.25%
        strchr (GNU libc 2.34) |   268435456 |   12886800.000 |   13476816.000 |   13581328.000 |   13352483.960 |          1.839 |         18.729 |          0.351 |
             strchr (LI-PaRAD) |   268435456 |   14036768.000 |   14609808.000 |   14868272.000 |   14442075.089 |          2.601 |         17.322 |          0.451 |      -7.54%
        strchr (GNU libc 2.34) |   536870912 |   27002064.000 |   28712576.000 |   28837136.000 |   28589159.446 |          1.304 |         17.492 |          0.237 |
             strchr (LI-PaRAD) |   536870912 |   29183168.000 |   29206128.000 |   29337216.000 |   29207074.218 |          0.054 |         17.119 |          0.009 |      -2.12%
