        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcmp (GNU libc 2.34) |          64 |          5.129 |          5.173 |          5.263 |          5.176 |          0.514 |         11.515 |          0.059 |
             strcmp (LI-PaRAD) |          64 |          6.171 |          6.225 |          6.325 |          6.226 |          0.463 |          9.574 |          0.044 |     -16.85%
        strcmp (GNU libc 2.34) |         128 |          9.649 |          9.709 |          9.716 |          9.707 |          0.097 |         12.280 |          0.012 |
             strcmp (LI-PaRAD) |         128 |          9.815 |         10.024 |         10.280 |         10.016 |          0.712 |         11.903 |          0.085 |      -3.08%
        strcmp (GNU libc 2.34) |         256 |         18.428 |         18.497 |         18.513 |         18.496 |          0.048 |         12.890 |          0.006 |
             strcmp (LI-PaRAD) |         256 |         18.923 |         19.563 |         19.828 |         19.490 |          1.130 |         12.235 |          0.139 |      -5.10%
        strcmp (GNU libc 2.34) |         512 |         34.837 |         36.087 |         36.345 |         36.064 |          0.538 |         13.222 |          0.073 |
             strcmp (LI-PaRAD) |         512 |         34.513 |         34.940 |         35.246 |         34.914 |          0.447 |         13.658 |          0.061 |      +3.29%
        strcmp (GNU libc 2.34) |        1024 |         71.459 |         71.554 |         72.321 |         71.575 |          0.140 |         13.324 |          0.019 |
             strcmp (LI-PaRAD) |        1024 |         67.667 |         68.770 |         69.481 |         68.763 |          0.400 |         13.869 |          0.056 |      +4.09%
        strcmp (GNU libc 2.34) |        2048 |        137.418 |        145.820 |        147.209 |        144.072 |          2.158 |         13.245 |          0.291 |
             strcmp (LI-PaRAD) |        2048 |        140.166 |        144.236 |        146.658 |        143.993 |          1.017 |         13.247 |          0.136 |      +0.05%
        strcmp (GNU libc 2.34) |        4096 |        286.880 |        287.818 |        289.261 |        287.906 |          0.123 |         13.250 |          0.016 |
             strcmp (LI-PaRAD) |        4096 |        274.912 |        279.619 |        281.709 |        278.816 |          0.702 |         13.682 |          0.096 |      +3.26%
        strcmp (GNU libc 2.34) |        8192 |        574.150 |        575.056 |        577.024 |        575.288 |          0.141 |         13.262 |          0.019 |
             strcmp (LI-PaRAD) |        8192 |        545.709 |        552.618 |        561.651 |        552.356 |          0.655 |         13.813 |          0.090 |      +4.15%
        strcmp (GNU libc 2.34) |       16384 |       1129.120 |       1133.405 |       1136.054 |       1132.986 |          0.141 |         13.468 |          0.019 |
             strcmp (LI-PaRAD) |       16384 |       1081.430 |       1086.470 |       1104.618 |       1086.944 |          0.359 |         14.038 |          0.050 |      +4.24%
        strcmp (GNU libc 2.34) |       32768 |       2200.096 |       2203.744 |       2210.176 |       2203.805 |          0.068 |         13.848 |          0.009 |
             strcmp (LI-PaRAD) |       32768 |       2157.088 |       2193.504 |       2226.752 |       2190.035 |          1.299 |         13.937 |          0.181 |      +0.63%
        strcmp (GNU libc 2.34) |       65536 |       4632.800 |       4652.192 |       4680.000 |       4652.714 |          0.108 |         13.118 |          0.014 |
             strcmp (LI-PaRAD) |       65536 |       4407.712 |       4420.960 |       4431.904 |       4420.611 |          0.078 |         13.807 |          0.011 |      +5.25%
        strcmp (GNU libc 2.34) |      131072 |       8086.784 |       8092.512 |       8307.360 |       8096.231 |          0.276 |         15.078 |          0.041 |
             strcmp (LI-PaRAD) |      131072 |       8542.784 |       8568.128 |       8607.584 |       8563.785 |          0.162 |         14.254 |          0.023 |      -5.46%
        strcmp (GNU libc 2.34) |      262144 |      18018.240 |      18063.680 |      18446.400 |      18084.040 |          0.433 |         13.501 |          0.058 |
             strcmp (LI-PaRAD) |      262144 |      17411.840 |      17486.080 |      17730.880 |      17484.708 |          0.247 |         13.963 |          0.034 |      +3.43%
        strcmp (GNU libc 2.34) |      524288 |      35905.280 |      36034.240 |      38346.240 |      36058.002 |          0.665 |         13.542 |          0.085 |
             strcmp (LI-PaRAD) |      524288 |      34836.160 |      34911.360 |      35034.880 |      34912.795 |          0.105 |         13.986 |          0.015 |      +3.28%
        strcmp (GNU libc 2.34) |     1048576 |      70432.320 |      70603.200 |      82345.600 |      70796.857 |          1.690 |         13.797 |          0.203 |
             strcmp (LI-PaRAD) |     1048576 |      68486.080 |      68558.720 |      68845.760 |      68570.094 |          0.073 |         14.242 |          0.010 |      +3.25%
        strcmp (GNU libc 2.34) |     2097152 |     140464.000 |     142633.600 |     222307.200 |     145800.903 |          7.781 |         13.455 |          0.773 |
             strcmp (LI-PaRAD) |     2097152 |     137001.600 |     137433.600 |     155827.200 |     138002.915 |          1.660 |         14.156 |          0.214 |      +5.65%
        strcmp (GNU libc 2.34) |     4194304 |     282153.600 |     285609.600 |     432611.200 |     291904.982 |          7.684 |         13.441 |          0.777 |
             strcmp (LI-PaRAD) |     4194304 |     274268.800 |     278064.000 |     341875.200 |     279483.754 |          3.153 |         13.988 |          0.380 |      +4.44%
        strcmp (GNU libc 2.34) |     8388608 |     568934.400 |     576716.800 |     869840.000 |     589739.374 |          7.856 |         13.309 |          0.793 |
             strcmp (LI-PaRAD) |     8388608 |     549750.400 |     558470.400 |     626969.600 |     560210.630 |          1.639 |         13.949 |          0.212 |      +5.27%
        strcmp (GNU libc 2.34) |    16777216 |    1136272.000 |    1257904.000 |    1845088.000 |    1326949.228 |         13.769 |         11.964 |          1.396 |
             strcmp (LI-PaRAD) |    16777216 |    1163280.000 |    1187472.000 |    1414672.000 |    1199189.069 |          3.020 |         13.040 |          0.362 |     +10.65%
        strcmp (GNU libc 2.34) |    33554432 |    2277888.000 |    2359104.000 |    2581936.000 |    2369193.030 |          2.486 |         13.198 |          0.319 |
             strcmp (LI-PaRAD) |    33554432 |    2244544.000 |    2304464.000 |    2452224.000 |    2307556.277 |          1.622 |         13.546 |          0.217 |      +2.67%
        strcmp (GNU libc 2.34) |    67108864 |    4512832.000 |    4584640.000 |    4697504.000 |    4589447.446 |          0.774 |         13.619 |          0.105 |
             strcmp (LI-PaRAD) |    67108864 |    4426224.000 |    4509616.000 |    4659856.000 |    4516677.228 |          1.142 |         13.839 |          0.157 |      +1.61%
        strcmp (GNU libc 2.34) |   134217728 |    9328368.000 |   10241536.000 |   10625824.000 |   10042204.198 |          3.801 |         12.466 |          0.485 |
             strcmp (LI-PaRAD) |   134217728 |    9042672.000 |    9200896.000 |   10543776.000 |    9609443.010 |          6.510 |         13.060 |          0.812 |      +4.50%
        strcmp (GNU libc 2.34) |   268435456 |   20342080.000 |   20488752.000 |   23356128.000 |   21129722.455 |          5.510 |         11.865 |          0.611 |
             strcmp (LI-PaRAD) |   268435456 |   20116352.000 |   20762064.000 |   21112912.000 |   20634339.010 |          1.562 |         12.119 |          0.191 |      +2.40%
        strcmp (GNU libc 2.34) |   536870912 |   43453824.000 |   43644400.000 |   44735360.000 |   43912893.782 |          1.095 |         11.388 |          0.123 |
             strcmp (LI-PaRAD) |   536870912 |   44208896.000 |   44282416.000 |   44477408.000 |   44277714.851 |          0.077 |         11.292 |          0.009 |      -0.82%
