ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|64|6.171|6.225|6.325|6.226|0.463|9.574|0.044
strcmp (GNU libc 2.34)|64|5.129|5.173|5.263|5.176|0.514|11.515|0.059
strcmp (Arm OR 23.01)|64|7.157|7.398|7.509|7.393|0.998|8.063|0.081
strcmp (LI-PaRAD)|128|9.815|10.024|10.28|10.016|0.712|11.903|0.085
strcmp (GNU libc 2.34)|128|9.649|9.709|9.716|9.707|0.097|12.28|0.012
strcmp (Arm OR 23.01)|128|12.857|13.498|13.877|13.434|2.056|8.877|0.184
strcmp (LI-PaRAD)|256|18.923|19.563|19.828|19.49|1.13|12.235|0.139
strcmp (GNU libc 2.34)|256|18.428|18.497|18.513|18.496|0.048|12.89|0.006
strcmp (Arm OR 23.01)|256|23.861|24.365|24.799|24.338|0.822|9.797|0.081
strcmp (LI-PaRAD)|512|34.513|34.94|35.246|34.914|0.447|13.658|0.061
strcmp (GNU libc 2.34)|512|34.837|36.087|36.345|36.064|0.538|13.222|0.073
strcmp (Arm OR 23.01)|512|45.298|47.697|48.45|47.377|1.679|10.068|0.173
strcmp (LI-PaRAD)|1024|67.667|68.77|69.481|68.763|0.4|13.869|0.056
strcmp (GNU libc 2.34)|1024|71.459|71.554|72.321|71.575|0.14|13.324|0.019
strcmp (Arm OR 23.01)|1024|89.857|95.726|97.149|95.047|1.558|10.036|0.16
strcmp (LI-PaRAD)|2048|140.166|144.236|146.658|143.993|1.017|13.247|0.136
strcmp (GNU libc 2.34)|2048|137.418|145.82|147.209|144.072|2.158|13.245|0.291
strcmp (Arm OR 23.01)|2048|182.092|189.907|192.63|189.283|1.236|10.078|0.126
strcmp (LI-PaRAD)|4096|274.912|279.619|281.709|278.816|0.702|13.682|0.096
strcmp (GNU libc 2.34)|4096|286.88|287.818|289.261|287.906|0.123|13.25|0.016
strcmp (Arm OR 23.01)|4096|374.928|385.514|401.126|385.079|0.833|9.907|0.082
strcmp (LI-PaRAD)|8192|545.709|552.618|561.651|552.356|0.655|13.813|0.09
strcmp (GNU libc 2.34)|8192|574.15|575.056|577.024|575.288|0.141|13.262|0.019
strcmp (Arm OR 23.01)|8192|728.246|757.683|769.651|757.021|0.957|10.079|0.097
strcmp (LI-PaRAD)|16384|1081.43|1086.47|1104.618|1086.944|0.359|14.038|0.05
strcmp (GNU libc 2.34)|16384|1129.12|1133.405|1136.054|1132.986|0.141|13.468|0.019
strcmp (Arm OR 23.01)|16384|1444.048|1456.653|1466.787|1455.479|0.292|10.484|0.031
strcmp (LI-PaRAD)|32768|2157.088|2193.504|2226.752|2190.035|1.299|13.937|0.181
strcmp (GNU libc 2.34)|32768|2200.096|2203.744|2210.176|2203.805|0.068|13.848|0.009
strcmp (Arm OR 23.01)|32768|2895.008|3062.368|3106.816|3049.558|1.185|10.009|0.122
strcmp (LI-PaRAD)|65536|4407.712|4420.96|4431.904|4420.611|0.078|13.807|0.011
strcmp (GNU libc 2.34)|65536|4632.8|4652.192|4680.0|4652.714|0.108|13.118|0.014
strcmp (Arm OR 23.01)|65536|5918.912|5925.792|5951.808|5927.285|0.099|10.297|0.01
strcmp (LI-PaRAD)|131072|8542.784|8568.128|8607.584|8563.785|0.162|14.254|0.023
strcmp (GNU libc 2.34)|131072|8086.784|8092.512|8307.36|8096.231|0.276|15.078|0.041
strcmp (Arm OR 23.01)|131072|11542.592|11597.024|11661.568|11593.517|0.289|10.529|0.03
strcmp (LI-PaRAD)|262144|17411.84|17486.08|17730.88|17484.708|0.247|13.963|0.034
strcmp (GNU libc 2.34)|262144|18018.24|18063.68|18446.4|18084.04|0.433|13.501|0.058
strcmp (Arm OR 23.01)|262144|24084.16|24129.28|24390.08|24130.737|0.146|10.117|0.015
strcmp (LI-PaRAD)|524288|34836.16|34911.36|35034.88|34912.795|0.105|13.986|0.015
strcmp (GNU libc 2.34)|524288|35905.28|36034.24|38346.24|36058.002|0.665|13.542|0.085
