        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |          64 |          6.959 |          6.962 |          7.096 |          6.971 |          0.402 |          8.551 |          0.034 |
             strcpy (LI-PaRAD) |          64 |          2.482 |          2.483 |          2.499 |          2.487 |          0.258 |         23.964 |          0.062 |    +180.25%
         strcpy (Arm OR 23.01) |         128 |          9.683 |          9.718 |          9.763 |          9.716 |          0.277 |         12.270 |          0.034 |
             strcpy (LI-PaRAD) |         128 |          3.932 |          3.934 |          3.944 |          3.934 |          0.045 |         30.300 |          0.014 |    +146.95%
         strcpy (Arm OR 23.01) |         256 |         16.644 |         16.784 |         17.077 |         16.774 |          0.445 |         14.214 |          0.063 |
             strcpy (LI-PaRAD) |         256 |          6.958 |          6.961 |          6.968 |          6.961 |          0.026 |         34.249 |          0.009 |    +140.96%
         strcpy (Arm OR 23.01) |         512 |         29.950 |         30.260 |         30.325 |         30.265 |          0.158 |         15.755 |          0.025 |
             strcpy (LI-PaRAD) |         512 |         13.010 |         13.018 |         13.041 |         13.018 |          0.045 |         36.628 |          0.017 |    +132.48%
         strcpy (Arm OR 23.01) |        1024 |         55.060 |         57.607 |         58.735 |         57.728 |          1.180 |         16.522 |          0.196 |
             strcpy (LI-PaRAD) |        1024 |         25.107 |         25.112 |         25.185 |         25.116 |          0.039 |         37.971 |          0.015 |    +129.85%
         strcpy (Arm OR 23.01) |        2048 |        109.013 |        111.242 |        111.743 |        111.153 |          0.474 |         17.160 |          0.082 |
             strcpy (LI-PaRAD) |        2048 |         49.299 |         49.324 |         49.379 |         49.325 |          0.022 |         38.669 |          0.009 |    +125.35%
         strcpy (Arm OR 23.01) |        4096 |        223.683 |        227.789 |        228.042 |        227.222 |          0.455 |         16.789 |          0.077 |
             strcpy (LI-PaRAD) |        4096 |        104.650 |        104.688 |        104.970 |        104.707 |          0.061 |         36.432 |          0.022 |    +117.01%
         strcpy (Arm OR 23.01) |        8192 |        435.296 |        436.198 |        444.022 |        436.986 |          0.504 |         17.460 |          0.087 |
             strcpy (LI-PaRAD) |        8192 |        201.363 |        201.501 |        201.690 |        201.507 |          0.036 |         37.862 |          0.013 |    +116.86%
         strcpy (Arm OR 23.01) |       16384 |        854.362 |        872.579 |        888.502 |        874.528 |          0.799 |         17.449 |          0.139 |
             strcpy (LI-PaRAD) |       16384 |        395.117 |        395.360 |        395.549 |        395.369 |          0.022 |         38.594 |          0.008 |    +121.19%
         strcpy (Arm OR 23.01) |       32768 |       1753.920 |       1758.560 |       1769.120 |       1758.698 |          0.103 |         17.352 |          0.018 |
             strcpy (LI-PaRAD) |       32768 |        782.272 |        782.464 |        783.936 |        782.558 |          0.046 |         38.997 |          0.018 |    +124.74%
         strcpy (Arm OR 23.01) |       65536 |       3441.248 |       3503.872 |       3590.816 |       3510.765 |          0.979 |         17.387 |          0.168 |
             strcpy (LI-PaRAD) |       65536 |       1557.024 |       1557.440 |       1559.488 |       1557.623 |          0.036 |         39.185 |          0.014 |    +125.39%
         strcpy (Arm OR 23.01) |      131072 |       6960.896 |       6969.344 |       6989.376 |       6969.624 |          0.066 |         17.515 |          0.012 |
             strcpy (LI-PaRAD) |      131072 |       3105.920 |       3108.000 |       3133.056 |       3109.099 |          0.127 |         39.262 |          0.050 |    +124.17%
         strcpy (Arm OR 23.01) |      262144 |      13892.480 |      13907.520 |      14361.280 |      13919.515 |          0.449 |         17.540 |          0.077 |
             strcpy (LI-PaRAD) |      262144 |       6206.720 |       6215.040 |       6380.160 |       6232.377 |          0.599 |         39.174 |          0.231 |    +123.34%
         strcpy (Arm OR 23.01) |      524288 |      30101.440 |      30695.680 |      31659.200 |      30734.891 |          0.860 |         15.888 |          0.136 |
             strcpy (LI-PaRAD) |      524288 |      17300.800 |      18349.760 |      19200.000 |      18338.646 |          1.503 |         26.632 |          0.402 |     +67.60%
         strcpy (Arm OR 23.01) |     1048576 |      58521.280 |      66403.520 |      70254.080 |      65561.137 |          4.655 |         14.929 |          0.725 |
             strcpy (LI-PaRAD) |     1048576 |      33836.160 |      37426.560 |      38900.160 |      37182.771 |          2.535 |         26.281 |          0.686 |     +76.32%
         strcpy (Arm OR 23.01) |     2097152 |     115136.000 |     125488.000 |     146713.600 |     127043.327 |          7.147 |         15.450 |          1.085 |
             strcpy (LI-PaRAD) |     2097152 |      75686.400 |      77756.800 |      80342.400 |      77697.362 |          0.898 |         25.140 |          0.225 |     +63.51%
         strcpy (Arm OR 23.01) |     4194304 |     228652.800 |     232742.400 |     257593.600 |     236751.208 |          3.538 |         16.519 |          0.565 |
             strcpy (LI-PaRAD) |     4194304 |     168982.400 |     173561.600 |     180035.200 |     173858.186 |          1.324 |         22.472 |          0.297 |     +36.17%
         strcpy (Arm OR 23.01) |     8388608 |     459753.600 |     462195.200 |     469993.600 |     462413.719 |          0.409 |         16.895 |          0.069 |
             strcpy (LI-PaRAD) |     8388608 |     359465.600 |     380790.400 |     389628.800 |     378668.642 |          2.136 |         20.641 |          0.450 |     +22.12%
         strcpy (Arm OR 23.01) |    16777216 |     903904.000 |     911248.000 |     917760.000 |     910985.822 |          0.294 |         17.152 |          0.050 |
             strcpy (LI-PaRAD) |    16777216 |     690000.000 |     706032.000 |     719216.000 |     704441.188 |          1.168 |         22.184 |          0.260 |     +29.32%
         strcpy (Arm OR 23.01) |    33554432 |    1852400.000 |    1870320.000 |    1928336.000 |    1873948.198 |          0.726 |         16.677 |          0.120 |
             strcpy (LI-PaRAD) |    33554432 |    1531296.000 |    1555664.000 |    1674064.000 |    1575175.446 |          2.608 |         19.852 |          0.505 |     +18.97%
         strcpy (Arm OR 23.01) |    67108864 |    4257664.000 |    4294416.000 |    4538832.000 |    4326707.327 |          1.711 |         14.449 |          0.240 |
             strcpy (LI-PaRAD) |    67108864 |    4088656.000 |    4113952.000 |    4312416.000 |    4130683.089 |          1.233 |         15.133 |          0.182 |      +4.75%
         strcpy (Arm OR 23.01) |   134217728 |    7997600.000 |    8027200.000 |    8213200.000 |    8034181.703 |          0.317 |         15.559 |          0.049 |
