        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcpy (GNU libc 2.34) |          64 |          2.990 |          2.993 |          3.029 |          2.996 |          0.256 |         19.897 |          0.051 |
             strcpy (LI-PaRAD) |          64 |          2.463 |          2.466 |          2.482 |          2.469 |          0.269 |         24.137 |          0.065 |     +21.31%
        strcpy (GNU libc 2.34) |         128 |          4.317 |          4.782 |          4.784 |          4.737 |          2.891 |         25.187 |          0.789 |
             strcpy (LI-PaRAD) |         128 |          4.366 |          4.438 |          4.502 |          4.426 |          0.588 |         26.933 |          0.159 |      +7.02%
        strcpy (GNU libc 2.34) |         256 |          7.871 |          7.876 |          7.910 |          7.879 |          0.102 |         30.259 |          0.031 |
             strcpy (LI-PaRAD) |         256 |          7.150 |          7.884 |          7.916 |          7.865 |          0.977 |         30.315 |          0.322 |      +0.17%
        strcpy (GNU libc 2.34) |         512 |         14.186 |         14.320 |         14.435 |         14.301 |          0.415 |         33.343 |          0.139 |
             strcpy (LI-PaRAD) |         512 |         13.837 |         13.844 |         14.145 |         13.891 |          0.630 |         34.328 |          0.214 |      +2.95%
        strcpy (GNU libc 2.34) |        1024 |         27.714 |         28.537 |         28.857 |         28.530 |          0.539 |         33.429 |          0.184 |
             strcpy (LI-PaRAD) |        1024 |         24.972 |         26.315 |         26.360 |         26.035 |          2.049 |         36.646 |          0.773 |      +9.58%
        strcpy (GNU libc 2.34) |        2048 |         58.301 |         58.678 |         59.820 |         58.609 |          0.367 |         32.544 |          0.119 |
             strcpy (LI-PaRAD) |        2048 |         49.037 |         49.054 |         49.138 |         49.056 |          0.027 |         38.881 |          0.010 |     +19.47%
        strcpy (GNU libc 2.34) |        4096 |        115.459 |        115.830 |        159.206 |        120.707 |         11.061 |         31.907 |          2.777 |
             strcpy (LI-PaRAD) |        4096 |        104.077 |        104.115 |        104.550 |        104.136 |          0.060 |         36.632 |          0.022 |     +15.91%
        strcpy (GNU libc 2.34) |        8192 |        214.230 |        221.699 |        313.722 |        226.817 |          8.089 |         33.803 |          2.083 |
             strcpy (LI-PaRAD) |        8192 |        200.208 |        200.400 |        201.763 |        200.459 |          0.116 |         38.060 |          0.044 |     +13.15%
        strcpy (GNU libc 2.34) |       16384 |        420.474 |        434.330 |        621.891 |        453.089 |         11.215 |         34.010 |          3.004 |
             strcpy (LI-PaRAD) |       16384 |        392.957 |        393.069 |        394.605 |        393.155 |          0.074 |         38.811 |          0.029 |     +15.24%
        strcpy (GNU libc 2.34) |       32768 |        833.440 |        861.216 |        873.216 |        861.373 |          0.404 |         35.430 |          0.146 |
             strcpy (LI-PaRAD) |       32768 |        777.984 |        778.272 |        788.448 |        778.616 |          0.195 |         39.195 |          0.076 |     +10.63%
        strcpy (GNU libc 2.34) |       65536 |       1661.280 |       1722.560 |       2476.064 |       1848.152 |         14.477 |         33.584 |          3.905 |
             strcpy (LI-PaRAD) |       65536 |       1548.352 |       1548.896 |       1562.848 |       1549.495 |          0.143 |         39.390 |          0.056 |     +19.27%
        strcpy (GNU libc 2.34) |      131072 |       3327.360 |       3338.848 |       3544.160 |       3348.460 |          1.253 |         36.461 |          0.436 |
             strcpy (LI-PaRAD) |      131072 |       3089.888 |       3091.072 |       3157.248 |       3095.406 |          0.509 |         39.437 |          0.197 |      +8.18%
        strcpy (GNU libc 2.34) |      262144 |       6731.200 |       7285.120 |       8881.920 |       7389.804 |          5.411 |         33.129 |          1.707 |
             strcpy (LI-PaRAD) |      262144 |       6184.000 |       6274.560 |       6718.720 |       6302.093 |          1.653 |         38.750 |          0.627 |     +17.26%
        strcpy (GNU libc 2.34) |      524288 |      19057.920 |      20125.120 |      21810.560 |      20147.780 |          2.417 |         24.249 |          0.576 |
             strcpy (LI-PaRAD) |      524288 |      16200.000 |      17160.000 |      18041.920 |      17129.556 |          2.589 |         28.524 |          0.740 |     +17.62%
        strcpy (GNU libc 2.34) |     1048576 |      38688.640 |      42547.840 |      44019.200 |      42272.608 |          2.379 |         23.115 |          0.566 |
             strcpy (LI-PaRAD) |     1048576 |      35386.560 |      37875.520 |      39074.560 |      37788.505 |          1.576 |         25.849 |          0.414 |     +11.87%
        strcpy (GNU libc 2.34) |     2097152 |      76556.800 |      82460.800 |      85296.000 |      82291.168 |          1.591 |         23.740 |          0.384 |
             strcpy (LI-PaRAD) |     2097152 |      69139.200 |      69945.600 |      71948.800 |      70057.632 |          0.855 |         27.881 |          0.237 |     +17.46%
        strcpy (GNU libc 2.34) |     4194304 |     164758.400 |     210217.600 |     217097.600 |     203721.156 |          6.713 |         19.271 |          1.452 |
             strcpy (LI-PaRAD) |     4194304 |     208521.600 |     213206.400 |     215945.600 |     212967.446 |          0.682 |         18.343 |          0.125 |      -4.34%
        strcpy (GNU libc 2.34) |     8388608 |     337193.600 |     428940.800 |     472201.600 |     425452.958 |          9.016 |         18.527 |          1.844 |
             strcpy (LI-PaRAD) |     8388608 |     460953.600 |     468105.600 |     472268.800 |     467359.525 |          0.544 |         16.717 |          0.091 |      -8.97%
        strcpy (GNU libc 2.34) |    16777216 |     697056.000 |     865088.000 |     915120.000 |     837318.178 |          8.509 |         18.807 |          1.742 |
             strcpy (LI-PaRAD) |    16777216 |     901952.000 |     937744.000 |     992064.000 |     940425.980 |          1.944 |         16.621 |          0.322 |     -10.96%
        strcpy (GNU libc 2.34) |    33554432 |    1448528.000 |    1725136.000 |    1848528.000 |    1674684.040 |          6.899 |         18.753 |          1.365 |
             strcpy (LI-PaRAD) |    33554432 |    1784736.000 |    1890208.000 |    1942128.000 |    1879724.515 |          2.169 |         16.633 |          0.366 |     -10.91%
        strcpy (GNU libc 2.34) |    67108864 |    3307232.000 |    3548464.000 |    3785712.000 |    3558296.079 |          3.967 |         17.592 |          0.701 |
             strcpy (LI-PaRAD) |    67108864 |    3648784.000 |    3724112.000 |    3783600.000 |    3719863.129 |          0.877 |         16.803 |          0.148 |      -4.34%
        strcpy (GNU libc 2.34) |   134217728 |    8492480.000 |    8832000.000 |    9198912.000 |    8752338.851 |          2.400 |         14.290 |          0.343 |
             strcpy (LI-PaRAD) |   134217728 |    8240944.000 |    8610224.000 |    8761424.000 |    8526394.772 |          1.913 |         14.666 |          0.283 |      +2.65%
        strcpy (GNU libc 2.34) |   268435456 |   17848624.000 |   18079712.000 |   18740160.000 |   18092345.030 |          1.263 |         13.820 |          0.172 |
             strcpy (LI-PaRAD) |   268435456 |   17352000.000 |   18041744.000 |   18413136.000 |   18020884.911 |          1.126 |         13.875 |          0.159 |      +0.40%
        strcpy (GNU libc 2.34) |   536870912 |   36896464.000 |   39250800.000 |   41033136.000 |   38599697.426 |          3.367 |         12.968 |          0.440 |
             strcpy (LI-PaRAD) |   536870912 |   37279360.000 |   38065008.000 |   39356896.000 |   38024552.396 |          0.758 |         13.150 |          0.100 |      +1.51%
