        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strlen (GNU libc 2.34) |          64 |          2.592 |          2.597 |          2.628 |          2.599 |          0.220 |         22.937 |          0.050 |
             strlen (LI-PaRAD) |          64 |          2.428 |          2.429 |          2.439 |          2.429 |          0.050 |         24.535 |          0.012 |      +6.97%
        strlen (GNU libc 2.34) |         128 |          3.213 |          3.221 |          3.338 |          3.248 |          1.463 |         36.712 |          0.528 |
             strlen (LI-PaRAD) |         128 |          3.641 |          3.642 |          3.654 |          3.642 |          0.044 |         32.728 |          0.014 |     -10.83%
        strlen (GNU libc 2.34) |         256 |          5.454 |          5.459 |          5.465 |          5.459 |          0.034 |         43.675 |          0.015 |
             strlen (LI-PaRAD) |         256 |          6.367 |          6.371 |          6.378 |          6.371 |          0.025 |         37.423 |          0.009 |     -14.32%
        strlen (GNU libc 2.34) |         512 |         10.309 |         10.313 |         10.332 |         10.314 |          0.043 |         46.232 |          0.020 |
             strlen (LI-PaRAD) |         512 |         11.220 |         11.225 |         11.298 |         11.226 |          0.075 |         42.475 |          0.032 |      -8.13%
        strlen (GNU libc 2.34) |        1024 |         20.012 |         20.019 |         20.140 |         20.022 |          0.071 |         47.632 |          0.034 |
             strlen (LI-PaRAD) |        1024 |         20.923 |         20.931 |         21.035 |         20.934 |          0.062 |         45.556 |          0.028 |      -4.36%
        strlen (GNU libc 2.34) |        2048 |         39.418 |         39.437 |         39.492 |         39.438 |          0.027 |         48.363 |          0.013 |
             strlen (LI-PaRAD) |        2048 |         47.610 |         47.631 |         49.711 |         47.800 |          0.801 |         39.905 |          0.312 |     -17.49%
        strlen (GNU libc 2.34) |        4096 |         78.202 |         78.253 |         78.656 |         78.260 |          0.064 |         48.744 |          0.031 |
             strlen (LI-PaRAD) |        4096 |         86.426 |         86.448 |         90.784 |         86.502 |          0.500 |         44.101 |          0.210 |      -9.53%
        strlen (GNU libc 2.34) |        8192 |        155.830 |        155.904 |        156.371 |        155.916 |          0.043 |         48.933 |          0.021 |
             strlen (LI-PaRAD) |        8192 |        167.686 |        167.757 |        167.910 |        167.769 |          0.031 |         45.476 |          0.014 |      -7.07%
        strlen (GNU libc 2.34) |       16384 |        227.632 |        242.240 |        320.419 |        264.052 |         13.409 |         58.787 |          7.551 |
             strlen (LI-PaRAD) |       16384 |        322.960 |        323.050 |        323.501 |        323.078 |          0.028 |         47.229 |          0.013 |     -18.27%
        strlen (GNU libc 2.34) |       32768 |        449.664 |        451.808 |        615.584 |        462.773 |          8.356 |         66.305 |          4.354 |
             strlen (LI-PaRAD) |       32768 |        633.376 |        633.856 |        636.672 |        633.947 |          0.084 |         48.139 |          0.040 |     -27.00%
        strlen (GNU libc 2.34) |       65536 |        900.544 |        906.688 |       1251.104 |        951.729 |         10.518 |         64.728 |          5.739 |
             strlen (LI-PaRAD) |       65536 |       1255.744 |       1257.248 |       1259.264 |       1257.144 |          0.058 |         48.551 |          0.028 |     -24.29%
        strlen (GNU libc 2.34) |      131072 |       1812.000 |       1824.640 |       2424.736 |       1919.604 |         10.778 |         64.212 |          5.821 |
             strlen (LI-PaRAD) |      131072 |       2498.336 |       2499.040 |       2500.736 |       2499.269 |          0.026 |         48.842 |          0.013 |     -23.19%
        strlen (GNU libc 2.34) |      262144 |       3647.040 |       3712.320 |       4922.560 |       3813.450 |          7.926 |         64.345 |          4.141 |
             strlen (LI-PaRAD) |      262144 |       4983.040 |       4985.920 |       5134.400 |       5022.558 |          0.968 |         48.613 |          0.467 |     -24.07%
        strlen (GNU libc 2.34) |      524288 |       7695.680 |       7946.240 |       9724.800 |       8266.326 |          8.147 |         59.426 |          4.434 |
             strlen (LI-PaRAD) |      524288 |      10650.880 |      10760.320 |      10970.560 |      10755.716 |          0.494 |         45.398 |          0.224 |     -23.14%
        strlen (GNU libc 2.34) |     1048576 |      16204.160 |      16583.040 |      21257.600 |      17140.661 |          6.483 |         57.192 |          3.417 |
             strlen (LI-PaRAD) |     1048576 |      21366.400 |      21586.560 |      22113.280 |      21603.149 |          0.599 |         45.206 |          0.270 |     -20.66%
        strlen (GNU libc 2.34) |     2097152 |      35408.000 |      37910.400 |      66096.000 |      38530.883 |          9.439 |         50.999 |          3.385 |
             strlen (LI-PaRAD) |     2097152 |      39936.000 |      40022.400 |      41654.400 |      40184.269 |          0.815 |         48.607 |          0.390 |      -4.11%
        strlen (GNU libc 2.34) |     4194304 |      75516.800 |      79932.800 |     142636.800 |      80692.721 |         10.726 |         48.777 |          3.523 |
             strlen (LI-PaRAD) |     4194304 |      79673.600 |      79977.600 |      95017.600 |      80429.149 |          2.188 |         48.588 |          0.942 |      +0.33%
        strlen (GNU libc 2.34) |     8388608 |     154969.600 |     158044.800 |     318137.600 |     164501.164 |         14.595 |         48.110 |          4.350 |
             strlen (LI-PaRAD) |     8388608 |     159254.400 |     159718.400 |     168473.600 |     160067.390 |          0.810 |         48.811 |          0.383 |      +2.77%
        strlen (GNU libc 2.34) |    16777216 |     311920.000 |     344688.000 |     706832.000 |     406275.960 |         29.864 |         41.255 |          9.629 |
             strlen (LI-PaRAD) |    16777216 |     318272.000 |     323712.000 |     381984.000 |     327367.129 |          3.356 |         47.778 |          1.482 |     +24.10%
        strlen (GNU libc 2.34) |    33554432 |     625680.000 |     698864.000 |    1442288.000 |     855151.842 |         32.346 |         39.832 |         10.439 |
             strlen (LI-PaRAD) |    33554432 |     638400.000 |     647648.000 |     829824.000 |     656280.554 |          4.194 |         47.689 |          1.752 |     +30.30%
        strlen (GNU libc 2.34) |    67108864 |    1923232.000 |    2002912.000 |    2909024.000 |    2144116.594 |         13.157 |         29.572 |          3.253 |
             strlen (LI-PaRAD) |    67108864 |    2150832.000 |    2176784.000 |    2309824.000 |    2188761.822 |          1.655 |         28.562 |          0.460 |      -2.04%
        strlen (GNU libc 2.34) |   134217728 |    5461680.000 |    5531296.000 |    5854128.000 |    5580296.713 |          1.887 |         22.408 |          0.413 |
