ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|64|2.428|2.429|2.439|2.429|0.05|24.535|0.012
strlen (GNU libc 2.34)|64|2.592|2.597|2.628|2.599|0.22|22.937|0.05
strlen (Arm OR 23.01)|64|6.923|7.075|7.176|7.065|0.787|8.437|0.067
strlen (LI-PaRAD)|128|3.641|3.642|3.654|3.642|0.044|32.728|0.014
strlen (GNU libc 2.34)|128|3.213|3.221|3.338|3.248|1.463|36.712|0.528
strlen (Arm OR 23.01)|128|9.33|9.333|9.633|9.378|0.862|12.713|0.108
strlen (LI-PaRAD)|256|6.367|6.371|6.378|6.371|0.025|37.423|0.009
strlen (GNU libc 2.34)|256|5.454|5.459|5.465|5.459|0.034|43.675|0.015
strlen (Arm OR 23.01)|256|15.119|15.497|15.507|15.43|0.664|15.452|0.103
strlen (LI-PaRAD)|512|11.22|11.225|11.298|11.226|0.075|42.475|0.032
strlen (GNU libc 2.34)|512|10.309|10.313|10.332|10.314|0.043|46.232|0.02
strlen (Arm OR 23.01)|512|28.443|28.449|28.5|28.451|0.025|16.76|0.004
strlen (LI-PaRAD)|1024|20.923|20.931|21.035|20.934|0.062|45.556|0.028
strlen (GNU libc 2.34)|1024|20.012|20.019|20.14|20.022|0.071|47.632|0.034
strlen (Arm OR 23.01)|1024|51.171|55.084|55.193|54.3|2.429|17.574|0.442
strlen (LI-PaRAD)|2048|47.61|47.631|49.711|47.8|0.801|39.905|0.312
strlen (GNU libc 2.34)|2048|39.418|39.437|39.492|39.438|0.027|48.363|0.013
strlen (Arm OR 23.01)|2048|106.947|107.18|107.235|107.179|0.025|17.796|0.004
strlen (LI-PaRAD)|4096|86.426|86.448|90.784|86.502|0.5|44.101|0.21
strlen (GNU libc 2.34)|4096|78.202|78.253|78.656|78.26|0.064|48.744|0.031
strlen (Arm OR 23.01)|4096|194.576|203.702|233.84|205.702|4.839|18.586|0.854
strlen (LI-PaRAD)|8192|167.686|167.757|167.91|167.769|0.031|45.476|0.014
strlen (GNU libc 2.34)|8192|155.83|155.904|156.371|155.916|0.043|48.933|0.021
strlen (Arm OR 23.01)|8192|383.325|396.883|422.131|399.054|2.693|19.132|0.508
strlen (LI-PaRAD)|16384|322.96|323.05|323.501|323.078|0.028|47.229|0.013
strlen (GNU libc 2.34)|16384|227.632|242.24|320.419|264.052|13.409|58.787|7.551
strlen (Arm OR 23.01)|16384|765.136|807.971|927.635|830.28|6.025|18.441|1.061
strlen (LI-PaRAD)|32768|633.376|633.856|636.672|633.947|0.084|48.139|0.04
strlen (GNU libc 2.34)|32768|449.664|451.808|615.584|462.773|8.356|66.305|4.354
strlen (Arm OR 23.01)|32768|1517.92|1600.928|1684.768|1602.819|3.122|19.058|0.594
strlen (LI-PaRAD)|65536|1255.744|1257.248|1259.264|1257.144|0.058|48.551|0.028
strlen (GNU libc 2.34)|65536|900.544|906.688|1251.104|951.729|10.518|64.728|5.739
strlen (Arm OR 23.01)|65536|3019.968|3194.304|3361.28|3233.592|2.268|18.885|0.425
strlen (LI-PaRAD)|131072|2498.336|2499.04|2500.736|2499.269|0.026|48.842|0.013
strlen (GNU libc 2.34)|131072|1812.0|1824.64|2424.736|1919.604|10.778|64.212|5.821
strlen (Arm OR 23.01)|131072|6390.24|7305.824|7392.416|7136.213|4.451|17.141|0.803
strlen (LI-PaRAD)|262144|4983.04|4985.92|5134.4|5022.558|0.968|48.613|0.467
strlen (GNU libc 2.34)|262144|3647.04|3712.32|4922.56|3813.45|7.926|64.345|4.141
strlen (Arm OR 23.01)|262144|12766.08|13063.68|13813.44|13188.724|2.069|18.519|0.375
strlen (LI-PaRAD)|524288|10650.88|10760.32|10970.56|10755.716|0.494|45.398|0.224
strlen (GNU libc 2.34)|524288|7695.68|7946.24|9724.8|8266.326|8.147|59.426|4.434
strlen (Arm OR 23.01)|524288|25866.56|26608.0|27495.36|26601.92|1.423|18.359|0.261
strlen (LI-PaRAD)|1048576|21366.4|21586.56|22113.28|21603.149|0.599|45.206|0.27
strlen (GNU libc 2.34)|1048576|16204.16|16583.04|21257.6|17140.661|6.483|57.192|3.417
strlen (Arm OR 23.01)|1048576|50160.96|52957.12|55817.92|52941.209|2.329|18.456|0.428
strlen (LI-PaRAD)|2097152|39936.0|40022.4|41654.4|40184.269|0.815|48.607|0.39
strlen (GNU libc 2.34)|2097152|35408.0|37910.4|66096.0|38530.883|9.439|50.999|3.385
strlen (Arm OR 23.01)|2097152|96691.2|104912.0|129980.8|105363.105|5.19|18.584|0.915
strlen (LI-PaRAD)|4194304|79673.6|79977.6|95017.6|80429.149|2.188|48.588|0.942
