        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncmp (Arm OR 23.01) |          64 |          7.095 |          7.114 |          7.178 |          7.119 |          0.308 |          8.373 |          0.026 |
            strncmp (LI-PaRAD) |          64 |          4.756 |          4.825 |          5.133 |          4.839 |          1.346 |         12.321 |          0.159 |     +47.12%
        strncmp (Arm OR 23.01) |         128 |         13.587 |         13.711 |         14.342 |         13.777 |          1.224 |          8.654 |          0.104 |
            strncmp (LI-PaRAD) |         128 |          9.059 |          9.100 |          9.171 |          9.099 |          0.319 |         13.102 |          0.042 |     +51.41%
        strncmp (Arm OR 23.01) |         256 |         25.524 |         25.823 |         26.100 |         25.809 |          0.411 |          9.238 |          0.038 |
            strncmp (LI-PaRAD) |         256 |         17.665 |         17.750 |         17.824 |         17.750 |          0.157 |         13.432 |          0.021 |     +45.40%
        strncmp (Arm OR 23.01) |         512 |         50.625 |         51.387 |         51.895 |         51.242 |          0.730 |          9.306 |          0.068 |
            strncmp (LI-PaRAD) |         512 |         34.568 |         34.787 |         35.099 |         34.794 |          0.210 |         13.705 |          0.029 |     +47.27%
        strncmp (Arm OR 23.01) |        1024 |        101.428 |        102.556 |        103.308 |        102.487 |          0.469 |          9.306 |          0.044 |
            strncmp (LI-PaRAD) |        1024 |         68.745 |         68.920 |         69.178 |         68.912 |          0.125 |         13.839 |          0.017 |     +48.72%
        strncmp (Arm OR 23.01) |        2048 |        202.586 |        204.630 |        205.898 |        204.592 |          0.368 |          9.323 |          0.034 |
            strncmp (LI-PaRAD) |        2048 |        137.351 |        137.487 |        137.815 |        137.490 |          0.046 |         13.873 |          0.006 |     +48.81%
        strncmp (Arm OR 23.01) |        4096 |        407.126 |        430.538 |        453.654 |        429.814 |          3.510 |          8.886 |          0.310 |
            strncmp (LI-PaRAD) |        4096 |        277.590 |        277.933 |        278.458 |        277.953 |          0.068 |         13.724 |          0.009 |     +54.64%
        strncmp (Arm OR 23.01) |        8192 |        788.214 |        854.698 |        900.659 |        841.480 |          5.210 |          9.091 |          0.475 |
            strncmp (LI-PaRAD) |        8192 |        551.235 |        551.638 |        551.942 |        551.630 |          0.026 |         13.831 |          0.004 |     +52.54%
        strncmp (Arm OR 23.01) |       16384 |       1553.270 |       1669.251 |       1779.450 |       1663.529 |          4.128 |          9.188 |          0.379 |
            strncmp (LI-PaRAD) |       16384 |       1097.312 |       1099.056 |       1100.096 |       1099.121 |          0.059 |         13.883 |          0.008 |     +51.35%
        strncmp (Arm OR 23.01) |       32768 |       3069.728 |       3311.904 |       3548.928 |       3308.739 |          6.611 |          9.263 |          0.614 |
            strncmp (LI-PaRAD) |       32768 |       2198.976 |       2200.000 |       2205.152 |       2200.225 |          0.036 |         13.870 |          0.005 |     +50.38%
        strncmp (Arm OR 23.01) |       65536 |       6139.552 |       6474.112 |       6874.400 |       6484.653 |          4.956 |          9.435 |          0.466 |
            strncmp (LI-PaRAD) |       65536 |       4437.632 |       4440.864 |       4444.512 |       4440.901 |          0.025 |         13.744 |          0.003 |     +46.02%
        strncmp (Arm OR 23.01) |      131072 |      12245.568 |      12568.128 |      12960.864 |      12562.243 |          2.132 |          9.722 |          0.207 |
            strncmp (LI-PaRAD) |      131072 |       8393.984 |       8397.824 |       8401.568 |       8397.840 |          0.013 |         14.536 |          0.002 |     +49.59%
        strncmp (Arm OR 23.01) |      262144 |      24914.560 |      28007.680 |      28098.240 |      27939.181 |          1.299 |          8.740 |          0.125 |
            strncmp (LI-PaRAD) |      262144 |      18077.120 |      18115.520 |      18177.280 |      18116.752 |          0.100 |         13.476 |          0.014 |     +54.22%
        strncmp (Arm OR 23.01) |      524288 |      55279.360 |      55608.320 |      57392.640 |      55648.735 |          0.407 |          8.774 |          0.035 |
            strncmp (LI-PaRAD) |      524288 |      35221.120 |      35308.800 |      35853.120 |      35318.245 |          0.239 |         13.825 |          0.033 |     +57.56%
        strncmp (Arm OR 23.01) |     1048576 |     110389.760 |     111113.920 |     132031.360 |     111496.409 |          1.942 |          8.761 |          0.146 |
            strncmp (LI-PaRAD) |     1048576 |      69397.760 |      69640.960 |      71083.840 |      69714.953 |          0.442 |         14.008 |          0.061 |     +59.93%
        strncmp (Arm OR 23.01) |     2097152 |     216134.400 |     221731.200 |     302121.600 |     225213.972 |          5.631 |          8.695 |          0.400 |
            strncmp (LI-PaRAD) |     2097152 |     137990.400 |     138675.200 |     148684.800 |     139335.857 |          1.400 |         14.020 |          0.189 |     +61.63%
        strncmp (Arm OR 23.01) |     4194304 |     430963.200 |     449580.800 |     571443.200 |     455754.931 |          4.636 |          8.586 |          0.339 |
            strncmp (LI-PaRAD) |     4194304 |     276032.000 |     277750.400 |     288489.600 |     278421.545 |          0.898 |         14.031 |          0.124 |     +63.69%
        strncmp (Arm OR 23.01) |     8388608 |     878099.200 |     906873.600 |    1256246.400 |     930299.628 |          6.801 |          8.430 |          0.479 |
            strncmp (LI-PaRAD) |     8388608 |     552089.600 |     557920.000 |     567795.200 |     558151.319 |          0.648 |         13.998 |          0.091 |     +66.68%
        strncmp (Arm OR 23.01) |    16777216 |    1688176.000 |    1805776.000 |    1818880.000 |    1800027.248 |          1.455 |          8.682 |          0.133 |
            strncmp (LI-PaRAD) |    16777216 |    1128096.000 |    1177536.000 |    1212752.000 |    1176796.356 |          1.370 |         13.280 |          0.183 |     +52.96%
        strncmp (Arm OR 23.01) |    33554432 |    3108384.000 |    3756192.000 |    3857776.000 |    3685558.970 |          3.611 |          8.491 |          0.324 |
            strncmp (LI-PaRAD) |    33554432 |    2239680.000 |    2330304.000 |    2818256.000 |    2356631.762 |          4.297 |         13.284 |          0.551 |     +56.39%
        strncmp (Arm OR 23.01) |    67108864 |    6601568.000 |    7102608.000 |    7197632.000 |    7086257.267 |          1.582 |          8.822 |          0.146 |
            strncmp (LI-PaRAD) |    67108864 |    4453584.000 |    4467952.000 |    4513648.000 |    4468363.881 |          0.194 |         13.987 |          0.027 |     +58.59%
        strncmp (Arm OR 23.01) |   134217728 |   13611824.000 |   14239488.000 |   14355072.000 |   14219929.030 |          0.567 |          8.791 |          0.051 |
            strncmp (LI-PaRAD) |   134217728 |    9152720.000 |    9179616.000 |   11445616.000 |    9386569.505 |          6.311 |         13.362 |          0.720 |     +51.49%
        strncmp (Arm OR 23.01) |   268435456 |   27856768.000 |   28494176.000 |   28616528.000 |   28488354.059 |          0.258 |          8.776 |          0.023 |
            strncmp (LI-PaRAD) |   268435456 |   20449552.000 |   20563840.000 |   23507248.000 |   21759943.921 |          6.569 |         11.537 |          0.743 |     +30.92%
