        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncpy (GNU libc 2.34) |          64 |          4.550 |          4.577 |          5.011 |          4.585 |          1.097 |         13.001 |          0.133 |
            strncpy (LI-PaRAD) |          64 |          2.844 |          2.857 |          2.869 |          2.857 |          0.224 |         20.863 |          0.047 |     +60.49%
       strncpy (GNU libc 2.34) |         128 |          6.165 |          6.198 |          6.494 |          6.207 |          0.754 |         19.208 |          0.141 |
            strncpy (LI-PaRAD) |         128 |          5.013 |          5.019 |          5.025 |          5.018 |          0.044 |         23.755 |          0.010 |     +23.68%
       strncpy (GNU libc 2.34) |         256 |         10.518 |         10.552 |         10.752 |         10.580 |          0.498 |         22.536 |          0.111 |
            strncpy (LI-PaRAD) |         256 |          9.295 |          9.299 |          9.304 |          9.299 |          0.014 |         25.640 |          0.004 |     +13.78%
       strncpy (GNU libc 2.34) |         512 |         18.988 |         19.004 |         19.059 |         19.006 |          0.060 |         25.089 |          0.015 |
            strncpy (LI-PaRAD) |         512 |         17.374 |         17.383 |         17.403 |         17.385 |          0.037 |         27.428 |          0.010 |      +9.32%
       strncpy (GNU libc 2.34) |        1024 |         41.848 |         42.008 |         42.400 |         42.044 |          0.220 |         22.683 |          0.050 |
            strncpy (LI-PaRAD) |        1024 |         33.505 |         33.518 |         33.544 |         33.521 |          0.032 |         28.450 |          0.009 |     +25.43%
       strncpy (GNU libc 2.34) |        2048 |         79.197 |         79.662 |         79.875 |         79.556 |          0.227 |         23.975 |          0.054 |
            strncpy (LI-PaRAD) |        2048 |         71.037 |         71.330 |         72.037 |         71.341 |          0.191 |         26.736 |          0.051 |     +11.51%
       strncpy (GNU libc 2.34) |        4096 |        154.160 |        154.490 |        155.149 |        154.506 |          0.085 |         24.690 |          0.021 |
            strncpy (LI-PaRAD) |        4096 |        135.731 |        135.888 |        137.306 |        135.910 |          0.117 |         28.068 |          0.033 |     +13.68%
       strncpy (GNU libc 2.34) |        8192 |        305.357 |        306.413 |        307.075 |        306.350 |          0.108 |         24.904 |          0.027 |
            strncpy (LI-PaRAD) |        8192 |        264.848 |        265.491 |        265.952 |        265.382 |          0.119 |         28.749 |          0.034 |     +15.44%
       strncpy (GNU libc 2.34) |       16384 |        613.363 |        614.896 |        616.314 |        614.847 |          0.071 |         24.817 |          0.018 |
            strncpy (LI-PaRAD) |       16384 |        523.254 |        523.686 |        524.906 |        523.697 |          0.044 |         29.137 |          0.013 |     +17.41%
       strncpy (GNU libc 2.34) |       32768 |       1216.064 |       1216.960 |       1219.680 |       1217.213 |          0.063 |         25.072 |          0.016 |
            strncpy (LI-PaRAD) |       32768 |       1041.504 |       1042.496 |       1046.560 |       1042.701 |          0.091 |         29.268 |          0.027 |     +16.74%
       strncpy (GNU libc 2.34) |       65536 |       2428.192 |       2430.048 |       2433.856 |       2430.269 |          0.051 |         25.115 |          0.013 |
