        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncpy (GNU libc 2.34) |          64 |          4.557 |          4.583 |          4.943 |          4.587 |          0.845 |         12.996 |          0.103 |
            strncpy (LI-PaRAD) |          64 |          2.843 |          2.850 |          2.865 |          2.849 |          0.132 |         20.924 |          0.028 |     +61.01%
       strncpy (GNU libc 2.34) |         128 |          6.163 |          6.203 |          6.500 |          6.219 |          0.862 |         19.169 |          0.161 |
            strncpy (LI-PaRAD) |         128 |          5.007 |          5.012 |          5.018 |          5.012 |          0.040 |         23.786 |          0.009 |     +24.09%
       strncpy (GNU libc 2.34) |         256 |         10.560 |         10.595 |         10.784 |         10.615 |          0.603 |         22.461 |          0.134 |
            strncpy (LI-PaRAD) |         256 |          9.281 |          9.284 |          9.342 |          9.285 |          0.067 |         25.678 |          0.017 |     +14.33%
       strncpy (GNU libc 2.34) |         512 |         18.990 |         19.025 |         19.404 |         19.044 |          0.421 |         25.039 |          0.104 |
            strncpy (LI-PaRAD) |         512 |         17.372 |         17.380 |         17.396 |         17.381 |          0.033 |         27.434 |          0.009 |      +9.57%
       strncpy (GNU libc 2.34) |        1024 |         42.169 |         42.329 |         42.426 |         42.297 |          0.199 |         22.547 |          0.045 |
            strncpy (LI-PaRAD) |        1024 |         33.832 |         33.854 |         33.879 |         33.855 |          0.028 |         28.170 |          0.008 |     +24.94%
       strncpy (GNU libc 2.34) |        2048 |         79.011 |         79.210 |         79.798 |         79.347 |          0.260 |         24.038 |          0.063 |
            strncpy (LI-PaRAD) |        2048 |         71.163 |         71.389 |         71.508 |         71.387 |          0.064 |         26.718 |          0.017 |     +11.15%
       strncpy (GNU libc 2.34) |        4096 |        153.661 |        154.586 |        155.155 |        154.575 |          0.094 |         24.679 |          0.023 |
            strncpy (LI-PaRAD) |        4096 |        135.606 |        135.946 |        136.550 |        135.988 |          0.134 |         28.052 |          0.037 |     +13.67%
       strncpy (GNU libc 2.34) |        8192 |        306.976 |        308.035 |        308.762 |        307.954 |          0.107 |         24.774 |          0.026 |
            strncpy (LI-PaRAD) |        8192 |        264.845 |        265.613 |        266.003 |        265.504 |          0.118 |         28.736 |          0.034 |     +15.99%
       strncpy (GNU libc 2.34) |       16384 |        613.498 |        614.598 |        615.690 |        614.589 |          0.059 |         24.828 |          0.015 |
