        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strnlen (Arm OR 23.01) |          64 |          6.140 |          6.175 |          6.590 |          6.226 |          1.689 |          9.577 |          0.159 |
            strnlen (LI-PaRAD) |          64 |          3.129 |          3.154 |          3.288 |          3.163 |          0.859 |         18.846 |          0.158 |     +96.83%
        strnlen (Arm OR 23.01) |         128 |          9.348 |          9.479 |          9.924 |          9.517 |          1.282 |         12.528 |          0.158 |
            strnlen (LI-PaRAD) |         128 |          4.800 |          4.814 |          4.820 |          4.814 |          0.040 |         24.765 |          0.010 |     +97.70%
        strnlen (Arm OR 23.01) |         256 |         17.166 |         17.942 |         18.416 |         17.866 |          1.768 |         13.349 |          0.238 |
            strnlen (LI-PaRAD) |         256 |          9.009 |          9.321 |          9.435 |          9.284 |          1.352 |         25.686 |          0.350 |     +92.44%
        strnlen (Arm OR 23.01) |         512 |         32.837 |         34.463 |         34.994 |         34.452 |          0.989 |         13.842 |          0.139 |
            strnlen (LI-PaRAD) |         512 |         16.879 |         16.887 |         16.926 |         16.889 |          0.043 |         28.234 |          0.012 |    +103.99%
        strnlen (Arm OR 23.01) |        1024 |         65.762 |         67.347 |         72.644 |         67.806 |          2.220 |         14.071 |          0.306 |
            strnlen (LI-PaRAD) |        1024 |         32.532 |         32.557 |         32.580 |         32.559 |          0.024 |         29.290 |          0.007 |    +108.26%
        strnlen (Arm OR 23.01) |        2048 |        128.167 |        129.930 |        142.623 |        131.972 |          3.130 |         14.466 |          0.434 |
            strnlen (LI-PaRAD) |        2048 |         63.782 |         64.402 |         64.426 |         64.375 |          0.175 |         29.629 |          0.052 |    +105.01%
        strnlen (Arm OR 23.01) |        4096 |        256.416 |        289.930 |        295.587 |        286.738 |          2.958 |         13.316 |          0.415 |
            strnlen (LI-PaRAD) |        4096 |        126.192 |        126.237 |        126.410 |        126.243 |          0.030 |         30.217 |          0.009 |    +127.13%
        strnlen (Arm OR 23.01) |        8192 |        577.459 |        600.371 |        601.853 |        599.582 |          0.463 |         12.725 |          0.060 |
            strnlen (LI-PaRAD) |        8192 |        256.368 |        256.627 |        257.213 |        256.627 |          0.041 |         29.730 |          0.012 |    +133.64%
        strnlen (Arm OR 23.01) |       16384 |       1151.814 |       1193.104 |       1208.781 |       1193.251 |          0.658 |         12.788 |          0.085 |
            strnlen (LI-PaRAD) |       16384 |        505.757 |        507.322 |        508.198 |        507.288 |          0.068 |         30.079 |          0.020 |    +135.22%
        strnlen (Arm OR 23.01) |       32768 |       2317.600 |       2381.056 |       2391.296 |       2373.695 |          0.764 |         12.857 |          0.100 |
            strnlen (LI-PaRAD) |       32768 |       1007.776 |       1008.704 |       1010.592 |       1008.947 |          0.069 |         30.247 |          0.021 |    +135.26%
        strnlen (Arm OR 23.01) |       65536 |       4198.752 |       4760.832 |       4792.000 |       4737.946 |          2.201 |         12.889 |          0.312 |
            strnlen (LI-PaRAD) |       65536 |       2016.544 |       2018.048 |       2029.472 |       2019.498 |          0.174 |         30.223 |          0.052 |    +134.61%
        strnlen (Arm OR 23.01) |      131072 |       8520.768 |       8713.440 |       9022.688 |       8729.220 |          0.885 |         13.985 |          0.122 |
            strnlen (LI-PaRAD) |      131072 |       4031.808 |       4033.632 |       4036.128 |       4033.790 |          0.021 |         30.262 |          0.006 |    +116.40%
        strnlen (Arm OR 23.01) |      262144 |      17528.960 |      17870.080 |      18509.440 |      17960.846 |          1.333 |         13.595 |          0.177 |
            strnlen (LI-PaRAD) |      262144 |       8057.600 |       8062.720 |       8152.960 |       8067.992 |          0.209 |         30.261 |          0.063 |    +122.62%
        strnlen (Arm OR 23.01) |      524288 |      35778.240 |      36402.240 |      36470.080 |      36372.619 |          0.338 |         13.425 |          0.046 |
            strnlen (LI-PaRAD) |      524288 |      16625.600 |      16671.680 |      16721.920 |      16670.007 |          0.115 |         29.291 |          0.034 |    +118.19%
        strnlen (Arm OR 23.01) |     1048576 |      74388.480 |      74559.040 |      74968.640 |      74606.105 |          0.200 |         13.090 |          0.026 |
            strnlen (LI-PaRAD) |     1048576 |      33439.680 |      33718.080 |      34064.640 |      33713.755 |          0.399 |         28.967 |          0.115 |    +121.29%
        strnlen (Arm OR 23.01) |     2097152 |     151414.400 |     153305.600 |     167344.000 |     153735.731 |          1.402 |         12.707 |          0.167 |
            strnlen (LI-PaRAD) |     2097152 |      65321.600 |      65603.200 |      66448.000 |      65645.149 |          0.316 |         29.753 |          0.094 |    +134.19%
        strnlen (Arm OR 23.01) |     4194304 |     287446.400 |     317734.400 |     346950.400 |     317340.990 |          2.569 |         12.317 |          0.318 |
            strnlen (LI-PaRAD) |     4194304 |     133228.800 |     134115.200 |     137091.200 |     134329.758 |          0.532 |         29.080 |          0.153 |    +136.24%
        strnlen (Arm OR 23.01) |     8388608 |     603139.200 |     693952.000 |     710758.400 |     686429.624 |          3.399 |         11.396 |          0.424 |
            strnlen (LI-PaRAD) |     8388608 |     258156.800 |     288361.600 |     308144.000 |     282288.444 |          4.734 |         27.740 |          1.380 |    +143.17%
        strnlen (Arm OR 23.01) |    16777216 |    1187616.000 |    1323104.000 |    1631184.000 |    1357885.782 |          8.198 |         11.580 |          0.906 |
            strnlen (LI-PaRAD) |    16777216 |     518416.000 |     527728.000 |     626384.000 |     533692.198 |          3.194 |         29.304 |          0.855 |    +154.43%
        strnlen (Arm OR 23.01) |    33554432 |    2298944.000 |    2549952.000 |    3276976.000 |    2644997.228 |          8.741 |         11.898 |          0.964 |
            strnlen (LI-PaRAD) |    33554432 |    1065344.000 |    1098048.000 |    1531888.000 |    1156311.762 |          9.964 |         27.256 |          2.349 |    +128.74%
        strnlen (Arm OR 23.01) |    67108864 |    4343152.000 |    4920496.000 |    5983088.000 |    5157362.218 |          8.115 |         12.195 |          0.959 |
            strnlen (LI-PaRAD) |    67108864 |    3165232.000 |    3183440.000 |    3246384.000 |    3188716.990 |          0.548 |         19.601 |          0.107 |     +61.74%
        strnlen (Arm OR 23.01) |   134217728 |    9259312.000 |    9769488.000 |    9888640.000 |    9733253.228 |          1.321 |         12.845 |          0.176 |
            strnlen (LI-PaRAD) |   134217728 |    6063632.000 |    6185248.000 |    6916384.000 |    6400454.812 |          5.341 |         19.584 |          1.024 |     +52.07%
        strnlen (Arm OR 23.01) |   268435456 |   18861824.000 |   19538720.000 |   19675392.000 |   19488652.990 |          0.863 |         12.829 |          0.113 |
            strnlen (LI-PaRAD) |   268435456 |   13983280.000 |   14040032.000 |   14252944.000 |   14050012.832 |          0.378 |         17.794 |          0.067 |     +38.71%
        strnlen (Arm OR 23.01) |   536870912 |   38363232.000 |   39107072.000 |   39324096.000 |   39031629.149 |          0.582 |         12.811 |          0.075 |
            strnlen (LI-PaRAD) |   536870912 |   27801008.000 |   27832048.000 |   27919280.000 |   27831332.594 |          0.048 |         17.965 |          0.009 |     +40.24%
