        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strnlen (GNU libc 2.34) |          64 |          2.481 |          2.492 |          2.527 |          2.492 |          0.248 |         23.917 |          0.059 |
            strnlen (LI-PaRAD) |          64 |          2.710 |          2.711 |          2.714 |          2.711 |          0.029 |         21.984 |          0.006 |      -8.08%
       strnlen (GNU libc 2.34) |         128 |          3.635 |          3.641 |          3.656 |          3.642 |          0.076 |         32.734 |          0.025 |
            strnlen (LI-PaRAD) |         128 |          4.765 |          4.768 |          4.869 |          4.771 |          0.336 |         24.984 |          0.083 |     -23.68%
       strnlen (GNU libc 2.34) |         256 |          6.333 |          6.338 |          6.370 |          6.339 |          0.065 |         37.614 |          0.024 |
            strnlen (LI-PaRAD) |         256 |          9.050 |          9.057 |          9.068 |          9.057 |          0.029 |         26.323 |          0.008 |     -30.02%
       strnlen (GNU libc 2.34) |         512 |         12.164 |         12.171 |         12.244 |         12.174 |          0.098 |         39.170 |          0.038 |
            strnlen (LI-PaRAD) |         512 |         16.975 |         16.986 |         17.035 |         16.988 |          0.049 |         28.069 |          0.014 |     -28.34%
       strnlen (GNU libc 2.34) |        1024 |         24.507 |         24.518 |         24.557 |         24.520 |          0.037 |         38.893 |          0.015 |
            strnlen (LI-PaRAD) |        1024 |         32.726 |         32.743 |         32.813 |         32.746 |          0.042 |         29.123 |          0.012 |     -25.12%
       strnlen (GNU libc 2.34) |        2048 |         49.144 |         49.169 |         49.340 |         49.174 |          0.054 |         38.787 |          0.021 |
            strnlen (LI-PaRAD) |        2048 |         64.113 |         64.135 |         64.192 |         64.136 |          0.022 |         29.739 |          0.007 |     -23.33%
       strnlen (GNU libc 2.34) |        4096 |         98.416 |         98.477 |         98.925 |         98.507 |          0.084 |         38.725 |          0.033 |
            strnlen (LI-PaRAD) |        4096 |        126.845 |        126.906 |        127.504 |        126.932 |          0.074 |         30.053 |          0.022 |     -22.39%
       strnlen (GNU libc 2.34) |        8192 |        197.050 |        197.149 |        197.613 |        197.181 |          0.052 |         38.692 |          0.020 |
            strnlen (LI-PaRAD) |        8192 |        257.494 |        257.706 |        258.317 |        257.712 |          0.051 |         29.604 |          0.015 |     -23.49%
       strnlen (GNU libc 2.34) |       16384 |        400.454 |        400.662 |        401.286 |        400.666 |          0.029 |         38.084 |          0.011 |
            strnlen (LI-PaRAD) |       16384 |        509.376 |        509.632 |        512.848 |        509.663 |          0.071 |         29.939 |          0.021 |     -21.39%
       strnlen (GNU libc 2.34) |       32768 |        794.720 |        795.584 |        800.960 |        795.730 |          0.092 |         38.352 |          0.035 |
            strnlen (LI-PaRAD) |       32768 |       1013.216 |       1013.824 |       1025.632 |       1014.052 |          0.125 |         30.095 |          0.037 |     -21.53%
       strnlen (GNU libc 2.34) |       65536 |       1588.352 |       1589.408 |       1591.840 |       1589.548 |          0.042 |         38.398 |          0.016 |
            strnlen (LI-PaRAD) |       65536 |       2025.536 |       2028.000 |       2036.192 |       2029.357 |          0.154 |         30.076 |          0.046 |     -21.67%
