        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strrchr (Arm OR 23.01) |          64 |          7.012 |          7.351 |          7.506 |          7.304 |          1.600 |          8.162 |          0.132 |
            strrchr (LI-PaRAD) |          64 |          4.133 |          4.162 |          4.190 |          4.158 |          0.350 |         14.335 |          0.050 |     +75.67%
        strrchr (Arm OR 23.01) |         128 |         10.540 |         10.674 |         11.351 |         10.745 |          1.717 |         11.098 |          0.188 |
            strrchr (LI-PaRAD) |         128 |          6.564 |          6.613 |          6.627 |          6.604 |          0.254 |         18.051 |          0.046 |     +62.70%
        strrchr (Arm OR 23.01) |         256 |         16.256 |         16.332 |         17.837 |         16.509 |          2.066 |         14.447 |          0.288 |
            strrchr (LI-PaRAD) |         256 |         11.213 |         11.572 |         11.925 |         11.558 |          2.029 |         20.637 |          0.419 |     +42.84%
        strrchr (Arm OR 23.01) |         512 |         28.294 |         28.376 |         32.364 |         29.245 |          4.767 |         16.340 |          0.742 |
            strrchr (LI-PaRAD) |         512 |         21.082 |         22.545 |         22.601 |         22.277 |          2.286 |         21.416 |          0.507 |     +31.28%
        strrchr (Arm OR 23.01) |        1024 |         52.376 |         52.459 |         59.540 |         53.728 |          4.093 |         17.778 |          0.688 |
            strrchr (LI-PaRAD) |        1024 |         39.690 |         42.146 |         42.183 |         41.592 |          1.789 |         22.936 |          0.418 |     +29.18%
        strrchr (Arm OR 23.01) |        2048 |        100.549 |        100.638 |        114.453 |        102.535 |          3.053 |         18.618 |          0.541 |
            strrchr (LI-PaRAD) |        2048 |         85.578 |         85.726 |         85.991 |         85.747 |          0.104 |         22.244 |          0.023 |     +19.58%
        strrchr (Arm OR 23.01) |        4096 |        196.899 |        197.050 |        225.795 |        204.478 |          5.254 |         18.705 |          0.939 |
            strrchr (LI-PaRAD) |        4096 |        156.170 |        157.786 |        158.134 |        157.377 |          0.399 |         24.240 |          0.097 |     +29.93%
        strrchr (Arm OR 23.01) |        8192 |        467.834 |        471.744 |        472.042 |        470.496 |          0.361 |         16.216 |          0.059 |
            strrchr (LI-PaRAD) |        8192 |        316.816 |        316.982 |        317.286 |        317.002 |          0.036 |         24.067 |          0.009 |     +48.42%
        strrchr (Arm OR 23.01) |       16384 |        930.182 |        934.269 |        934.739 |        933.476 |          0.149 |         16.346 |          0.024 |
            strrchr (LI-PaRAD) |       16384 |        625.168 |        625.424 |        625.814 |        625.425 |          0.020 |         24.397 |          0.005 |     +49.25%
        strrchr (Arm OR 23.01) |       32768 |       1855.296 |       1859.456 |       1860.960 |       1858.522 |          0.097 |         16.420 |          0.016 |
            strrchr (LI-PaRAD) |       32768 |       1241.760 |       1242.112 |       1243.328 |       1242.228 |          0.029 |         24.567 |          0.007 |     +49.61%
        strrchr (Arm OR 23.01) |       65536 |       3704.992 |       3712.736 |       3718.304 |       3711.627 |          0.077 |         16.444 |          0.013 |
            strrchr (LI-PaRAD) |       65536 |       2480.288 |       2481.120 |       2483.008 |       2481.290 |          0.026 |         24.598 |          0.006 |     +49.58%
        strrchr (Arm OR 23.01) |      131072 |       7290.976 |       7410.528 |       7415.808 |       7377.261 |          0.614 |         16.547 |          0.102 |
            strrchr (LI-PaRAD) |      131072 |       4942.016 |       4945.664 |       4955.200 |       4945.738 |          0.034 |         24.682 |          0.008 |     +49.16%
        strrchr (Arm OR 23.01) |      262144 |      14512.000 |      14816.320 |      14836.160 |      14775.655 |          0.685 |         16.524 |          0.115 |
            strrchr (LI-PaRAD) |      262144 |       9879.360 |       9882.880 |       9956.800 |       9885.906 |          0.115 |         24.696 |          0.028 |     +49.46%
        strrchr (Arm OR 23.01) |      524288 |      29781.120 |      29824.960 |      29894.400 |      29827.339 |          0.067 |         16.370 |          0.011 |
            strrchr (LI-PaRAD) |      524288 |      20339.200 |      20461.760 |      20569.920 |      20451.343 |          0.275 |         23.875 |          0.066 |     +45.85%
        strrchr (Arm OR 23.01) |     1048576 |      59182.400 |      59300.480 |      59474.240 |      59305.869 |          0.088 |         16.467 |          0.015 |
            strrchr (LI-PaRAD) |     1048576 |      39868.480 |      40054.400 |      40243.520 |      40045.706 |          0.174 |         24.386 |          0.042 |     +48.10%
        strrchr (Arm OR 23.01) |     2097152 |     118928.000 |     119260.800 |     125958.400 |     119428.594 |          0.703 |         16.355 |          0.110 |
            strrchr (LI-PaRAD) |     2097152 |      79283.200 |      79500.800 |      82675.200 |      79572.246 |          0.467 |         24.546 |          0.111 |     +50.09%
        strrchr (Arm OR 23.01) |     4194304 |     240854.400 |     242099.200 |     301696.000 |     244154.614 |          3.238 |         16.013 |          0.443 |
            strrchr (LI-PaRAD) |     4194304 |     157929.600 |     161107.200 |     168332.800 |     160850.059 |          0.858 |         24.287 |          0.207 |     +51.79%
        strrchr (Arm OR 23.01) |     8388608 |     469705.600 |     473312.000 |     603376.000 |     478533.956 |          3.795 |         16.346 |          0.528 |
            strrchr (LI-PaRAD) |     8388608 |     315878.400 |     317110.400 |     331958.400 |     317675.152 |          0.716 |         24.594 |          0.171 |     +50.64%
        strrchr (Arm OR 23.01) |    16777216 |     947248.000 |     976144.000 |    1305056.000 |    1024169.980 |          9.777 |         15.384 |          1.325 |
            strrchr (LI-PaRAD) |    16777216 |     632896.000 |     639776.000 |     655616.000 |     639620.277 |          0.489 |         24.429 |          0.119 |     +60.12%
