        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strrchr (GNU libc 2.34) |          64 |          3.441 |          3.455 |          3.590 |          3.457 |          0.485 |         17.242 |          0.082 |
            strrchr (LI-PaRAD) |          64 |          4.135 |          4.162 |          4.203 |          4.160 |          0.343 |         14.327 |          0.049 |     -16.91%
       strrchr (GNU libc 2.34) |         128 |          5.034 |          5.155 |          5.186 |          5.151 |          0.431 |         23.143 |          0.101 |
            strrchr (LI-PaRAD) |         128 |          6.578 |          6.673 |          6.797 |          6.659 |          0.556 |         17.902 |          0.099 |     -22.65%
       strrchr (GNU libc 2.34) |         256 |          8.235 |          8.238 |          8.254 |          8.239 |          0.045 |         28.937 |          0.013 |
            strrchr (LI-PaRAD) |         256 |         11.231 |         11.754 |         11.902 |         11.679 |          1.720 |         20.420 |          0.356 |     -29.45%
       strrchr (GNU libc 2.34) |         512 |         14.039 |         14.046 |         14.203 |         14.061 |          0.311 |         33.913 |          0.105 |
            strrchr (LI-PaRAD) |         512 |         21.092 |         22.590 |         22.632 |         22.031 |          3.023 |         21.664 |          0.663 |     -36.18%
       strrchr (GNU libc 2.34) |        1024 |         28.130 |         28.149 |         28.387 |         28.174 |          0.223 |         33.849 |          0.075 |
            strrchr (LI-PaRAD) |        1024 |         39.804 |         42.065 |         42.317 |         41.581 |          1.828 |         22.943 |          0.423 |     -32.24%
       strrchr (GNU libc 2.34) |        2048 |         57.713 |         57.898 |         58.184 |         57.900 |          0.096 |         32.942 |          0.032 |
            strrchr (LI-PaRAD) |        2048 |         78.992 |         80.527 |         80.985 |         80.304 |          0.821 |         23.753 |          0.196 |     -27.90%
       strrchr (GNU libc 2.34) |        4096 |        118.720 |        119.181 |        120.531 |        119.210 |          0.185 |         32.000 |          0.059 |
            strrchr (LI-PaRAD) |        4096 |        155.181 |        158.173 |        158.410 |        157.581 |          0.482 |         24.208 |          0.117 |     -24.35%
       strrchr (GNU libc 2.34) |        8192 |        290.445 |        314.410 |        314.755 |        312.489 |          1.462 |         24.420 |          0.372 |
            strrchr (LI-PaRAD) |        8192 |        317.651 |        317.824 |        318.387 |        317.832 |          0.033 |         24.005 |          0.008 |      -1.68%
       strrchr (GNU libc 2.34) |       16384 |        588.400 |        608.349 |        623.533 |        607.401 |          1.299 |         25.126 |          0.327 |
            strrchr (LI-PaRAD) |       16384 |        626.701 |        627.056 |        630.262 |        627.178 |          0.086 |         24.329 |          0.021 |      -3.15%
