ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (LI-PaRAD)|64|4.135|4.162|4.203|4.16|0.343|14.327|0.049
strrchr (GNU libc 2.34)|64|3.441|3.455|3.59|3.457|0.485|17.242|0.082
strrchr (Arm OR 23.01)|64|7.012|7.351|7.506|7.304|1.6|8.162|0.132
strrchr (LI-PaRAD)|128|6.578|6.673|6.797|6.659|0.556|17.902|0.099
strrchr (GNU libc 2.34)|128|5.034|5.155|5.186|5.151|0.431|23.143|0.101
strrchr (Arm OR 23.01)|128|10.54|10.674|11.351|10.745|1.717|11.098|0.188
strrchr (LI-PaRAD)|256|11.231|11.754|11.902|11.679|1.72|20.42|0.356
strrchr (GNU libc 2.34)|256|8.235|8.238|8.254|8.239|0.045|28.937|0.013
strrchr (Arm OR 23.01)|256|16.256|16.332|17.837|16.509|2.066|14.447|0.288
strrchr (LI-PaRAD)|512|21.092|22.59|22.632|22.031|3.023|21.664|0.663
strrchr (GNU libc 2.34)|512|14.039|14.046|14.203|14.061|0.311|33.913|0.105
strrchr (Arm OR 23.01)|512|28.294|28.376|32.364|29.245|4.767|16.34|0.742
strrchr (LI-PaRAD)|1024|39.804|42.065|42.317|41.581|1.828|22.943|0.423
strrchr (GNU libc 2.34)|1024|28.13|28.149|28.387|28.174|0.223|33.849|0.075
strrchr (Arm OR 23.01)|1024|52.376|52.459|59.54|53.728|4.093|17.778|0.688
strrchr (LI-PaRAD)|2048|78.992|80.527|80.985|80.304|0.821|23.753|0.196
strrchr (GNU libc 2.34)|2048|57.713|57.898|58.184|57.9|0.096|32.942|0.032
strrchr (Arm OR 23.01)|2048|100.549|100.638|114.453|102.535|3.053|18.618|0.541
strrchr (LI-PaRAD)|4096|155.181|158.173|158.41|157.581|0.482|24.208|0.117
strrchr (GNU libc 2.34)|4096|118.72|119.181|120.531|119.21|0.185|32.0|0.059
strrchr (Arm OR 23.01)|4096|196.899|197.05|225.795|204.478|5.254|18.705|0.939
strrchr (LI-PaRAD)|8192|317.651|317.824|318.387|317.832|0.033|24.005|0.008
strrchr (GNU libc 2.34)|8192|290.445|314.41|314.755|312.489|1.462|24.42|0.372
strrchr (Arm OR 23.01)|8192|467.834|471.744|472.042|470.496|0.361|16.216|0.059
