        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcmp (Arm OR 23.01) |          64 |          2.458 |          2.459 |          2.595 |          2.463 |          0.769 |         24.200 |          0.178 |
             memcmp (LI-PaRAD) |          64 |          2.688 |          2.689 |          2.692 |          2.689 |          0.029 |         22.162 |          0.007 |      -8.42%
         memcmp (Arm OR 23.01) |         128 |          4.470 |          4.473 |          4.485 |          4.473 |          0.038 |         26.653 |          0.010 |
             memcmp (LI-PaRAD) |         128 |          4.860 |          4.862 |          4.864 |          4.862 |          0.018 |         24.519 |          0.004 |      -8.00%
         memcmp (Arm OR 23.01) |         256 |          8.505 |          8.508 |          8.558 |          8.510 |          0.088 |         28.018 |          0.025 |
             memcmp (LI-PaRAD) |         256 |          9.215 |          9.219 |          9.225 |          9.219 |          0.015 |         25.863 |          0.004 |      -7.69%
         memcmp (Arm OR 23.01) |         512 |         16.605 |         16.613 |         16.631 |         16.614 |          0.038 |         28.700 |          0.011 |
             memcmp (LI-PaRAD) |         512 |         17.405 |         17.412 |         17.430 |         17.414 |          0.036 |         27.383 |          0.010 |      -4.59%
         memcmp (Arm OR 23.01) |        1024 |         32.801 |         32.817 |         32.875 |         32.818 |          0.033 |         29.059 |          0.010 |
             memcmp (LI-PaRAD) |        1024 |         33.650 |         33.671 |         33.935 |         33.680 |          0.130 |         28.316 |          0.036 |      -2.56%
         memcmp (Arm OR 23.01) |        2048 |         65.214 |         65.244 |         65.964 |         65.419 |          0.467 |         29.157 |          0.135 |
             memcmp (LI-PaRAD) |        2048 |         66.078 |         66.132 |         66.763 |         66.377 |          0.453 |         28.736 |          0.130 |      -1.44%
         memcmp (Arm OR 23.01) |        4096 |        135.187 |        135.555 |        136.982 |        135.630 |          0.278 |         28.126 |          0.078 |
             memcmp (LI-PaRAD) |        4096 |        135.696 |        136.006 |        137.114 |        136.080 |          0.252 |         28.033 |          0.070 |      -0.33%
         memcmp (Arm OR 23.01) |        8192 |        265.216 |        265.514 |        268.102 |        266.046 |          0.385 |         28.677 |          0.110 |
             memcmp (LI-PaRAD) |        8192 |        265.786 |        265.949 |        266.576 |        265.968 |          0.043 |         28.685 |          0.012 |      +0.03%
         memcmp (Arm OR 23.01) |       16384 |        525.203 |        526.342 |        527.338 |        526.148 |          0.090 |         29.001 |          0.026 |
             memcmp (LI-PaRAD) |       16384 |        526.627 |        527.795 |        528.010 |        527.685 |          0.060 |         28.916 |          0.017 |      -0.29%
         memcmp (Arm OR 23.01) |       32768 |       1066.720 |       1067.264 |       1068.992 |       1067.384 |          0.047 |         28.591 |          0.013 |
             memcmp (LI-PaRAD) |       32768 |       1069.248 |       1069.760 |       1071.424 |       1069.934 |          0.047 |         28.523 |          0.013 |      -0.24%
         memcmp (Arm OR 23.01) |       65536 |       2190.656 |       2192.800 |       2197.856 |       2193.039 |          0.062 |         27.831 |          0.017 |
             memcmp (LI-PaRAD) |       65536 |       2203.264 |       2205.664 |       2211.936 |       2206.138 |          0.087 |         27.666 |          0.024 |      -0.59%
         memcmp (Arm OR 23.01) |      131072 |       4223.264 |       4224.768 |       4250.880 |       4225.164 |          0.065 |         28.891 |          0.019 |
             memcmp (LI-PaRAD) |      131072 |       4240.640 |       4246.144 |       4250.784 |       4245.666 |          0.063 |         28.752 |          0.018 |      -0.48%
         memcmp (Arm OR 23.01) |      262144 |       9821.760 |       9882.880 |      10392.320 |       9885.009 |          0.578 |         24.699 |          0.137 |
             memcmp (LI-PaRAD) |      262144 |       9880.960 |       9943.360 |      10083.200 |       9945.337 |          0.297 |         24.548 |          0.073 |      -0.61%
         memcmp (Arm OR 23.01) |      524288 |      18090.560 |      18400.960 |      20273.600 |      18437.855 |          1.338 |         26.487 |          0.335 |
             memcmp (LI-PaRAD) |      524288 |      18410.880 |      18764.800 |      19111.680 |      18746.950 |          0.914 |         26.048 |          0.238 |      -1.65%
         memcmp (Arm OR 23.01) |     1048576 |      34150.400 |      34255.040 |      46443.200 |      34494.783 |          3.622 |         28.338 |          0.784 |
             memcmp (LI-PaRAD) |     1048576 |      34434.560 |      34544.320 |      37012.800 |      34617.099 |          0.893 |         28.213 |          0.241 |      -0.35%
         memcmp (Arm OR 23.01) |     2097152 |      68345.600 |      68931.200 |     108412.800 |      71414.051 |         10.800 |         27.584 |          2.206 |
             memcmp (LI-PaRAD) |     2097152 |      68736.000 |      68998.400 |      74211.200 |      69375.303 |          1.355 |         28.158 |          0.369 |      +2.94%
         memcmp (Arm OR 23.01) |     4194304 |     136521.600 |     137513.600 |     222118.400 |     146129.743 |         12.000 |         27.037 |          2.593 |
             memcmp (LI-PaRAD) |     4194304 |     137417.600 |     138748.800 |     150828.800 |     139955.105 |          1.925 |         27.921 |          0.522 |      +4.41%
         memcmp (Arm OR 23.01) |     8388608 |     273734.400 |     288080.000 |     444016.000 |     295147.469 |         11.154 |         26.722 |          2.303 |
             memcmp (LI-PaRAD) |     8388608 |     275584.000 |     277353.600 |     282518.400 |     277706.329 |          0.580 |         28.133 |          0.162 |      +6.28%
