ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (LI-PaRAD)|64|2.71|2.711|3.478|2.735|4.23|21.825|0.752
memcmp (GNU libc 2.34)|64|2.69|2.697|3.563|2.729|5.162|21.888|0.9
memcmp (Arm OR 23.01)|64|2.458|2.459|2.595|2.463|0.769|24.2|0.178
memcmp (LI-PaRAD)|128|4.899|4.901|5.704|4.951|3.533|24.105|0.755
memcmp (GNU libc 2.34)|128|4.488|4.494|5.33|4.537|3.544|26.306|0.816
memcmp (Arm OR 23.01)|128|4.47|4.473|4.485|4.473|0.038|26.653|0.01
memcmp (LI-PaRAD)|256|9.292|9.311|10.335|9.39|2.391|25.404|0.57
memcmp (GNU libc 2.34)|256|7.637|7.639|8.477|7.712|2.665|30.936|0.766
memcmp (Arm OR 23.01)|256|8.505|8.508|8.558|8.51|0.088|28.018|0.025
memcmp (LI-PaRAD)|512|17.539|17.556|27.794|17.777|7.992|26.933|1.391
memcmp (GNU libc 2.34)|512|12.974|12.981|25.18|13.103|9.263|36.554|1.771
memcmp (Arm OR 23.01)|512|16.605|16.613|16.631|16.614|0.038|28.7|0.011
memcmp (LI-PaRAD)|1024|33.924|33.938|44.155|34.268|5.044|27.885|1.101
memcmp (GNU libc 2.34)|1024|23.454|23.461|33.882|23.668|6.075|40.397|1.732
memcmp (Arm OR 23.01)|1024|32.801|32.817|32.875|32.818|0.033|29.059|0.01
memcmp (LI-PaRAD)|2048|66.63|66.666|77.538|67.379|3.623|28.34|0.907
memcmp (GNU libc 2.34)|2048|44.482|44.507|54.72|44.922|4.442|42.528|1.563
memcmp (Arm OR 23.01)|2048|65.214|65.244|65.964|65.419|0.467|29.157|0.135
memcmp (LI-PaRAD)|4096|136.79|137.088|239.293|138.095|7.365|27.71|1.183
memcmp (GNU libc 2.34)|4096|86.522|86.589|188.381|87.604|11.561|43.816|2.368
memcmp (Arm OR 23.01)|4096|135.187|135.555|136.982|135.63|0.278|28.126|0.078
memcmp (LI-PaRAD)|8192|267.494|268.109|372.797|270.17|5.353|28.298|1.108
memcmp (GNU libc 2.34)|8192|170.656|170.742|273.523|172.777|8.28|44.349|2.342
memcmp (Arm OR 23.01)|8192|265.216|265.514|268.102|266.046|0.385|28.677|0.11
memcmp (LI-PaRAD)|16384|533.264|535.616|640.515|540.43|4.136|28.275|0.999
memcmp (GNU libc 2.34)|16384|316.291|316.461|439.744|320.412|5.809|47.743|2.1
memcmp (Arm OR 23.01)|16384|525.203|526.342|527.338|526.148|0.09|29.001|0.026
memcmp (LI-PaRAD)|32768|1059.84|1061.408|2076.672|1071.779|9.423|28.604|1.398
memcmp (GNU libc 2.34)|32768|631.04|633.696|1653.216|643.717|15.762|47.87|2.957
memcmp (Arm OR 23.01)|32768|1066.72|1067.264|1068.992|1067.384|0.047|28.591|0.013
