        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcpy (Arm OR 23.01) |          64 |          2.126 |          2.140 |          2.257 |          2.141 |          0.557 |         27.844 |          0.147 |
             memcpy (LI-PaRAD) |          64 |          2.185 |          2.187 |          2.191 |          2.187 |          0.041 |         27.252 |          0.011 |      -2.12%
         memcpy (Arm OR 23.01) |         128 |          2.481 |          2.483 |          2.490 |          2.484 |          0.047 |         47.999 |          0.023 |
             memcpy (LI-PaRAD) |         128 |          3.318 |          3.321 |          3.623 |          3.326 |          1.123 |         35.844 |          0.373 |     -25.33%
         memcpy (Arm OR 23.01) |         256 |          3.878 |          3.881 |          3.893 |          3.881 |          0.046 |         61.429 |          0.028 |
             memcpy (LI-PaRAD) |         256 |          5.850 |          5.862 |          6.038 |          5.892 |          1.136 |         40.470 |          0.451 |     -34.13%
         memcpy (Arm OR 23.01) |         512 |          6.971 |          7.073 |          7.110 |          7.065 |          0.366 |         67.491 |          0.249 |
             memcpy (LI-PaRAD) |         512 |         10.929 |         11.485 |         11.511 |         11.467 |          0.640 |         41.583 |          0.275 |     -38.39%
         memcpy (Arm OR 23.01) |        1024 |         12.195 |         12.244 |         12.276 |         12.239 |          0.213 |         77.922 |          0.166 |
             memcpy (LI-PaRAD) |        1024 |         22.373 |         22.422 |         22.486 |         22.418 |          0.094 |         42.541 |          0.040 |     -45.41%
         memcpy (Arm OR 23.01) |        2048 |         22.160 |         22.279 |         22.322 |         22.279 |          0.082 |         85.610 |          0.071 |
             memcpy (LI-PaRAD) |        2048 |         46.120 |         46.681 |         46.860 |         46.648 |          0.290 |         40.889 |          0.119 |     -52.24%
         memcpy (Arm OR 23.01) |        4096 |         41.331 |         41.488 |         41.699 |         41.483 |          0.191 |         91.958 |          0.176 |
             memcpy (LI-PaRAD) |        4096 |         84.173 |         84.435 |         84.938 |         84.424 |          0.114 |         45.185 |          0.052 |     -50.86%
         memcpy (Arm OR 23.01) |        8192 |         80.413 |         80.816 |         81.539 |         80.846 |          0.230 |         94.370 |          0.217 |
             memcpy (LI-PaRAD) |        8192 |        164.874 |        165.242 |        165.491 |        165.240 |          0.062 |         46.172 |          0.029 |     -51.07%
         memcpy (Arm OR 23.01) |       16384 |        158.042 |        158.285 |        159.034 |        158.345 |          0.140 |         96.364 |          0.135 |
             memcpy (LI-PaRAD) |       16384 |        319.267 |        319.725 |        320.061 |        319.710 |          0.057 |         47.727 |          0.027 |     -50.47%
         memcpy (Arm OR 23.01) |       32768 |        313.024 |        313.312 |        314.912 |        313.565 |          0.158 |         97.325 |          0.153 |
             memcpy (LI-PaRAD) |       32768 |        627.456 |        628.416 |        630.080 |        628.451 |          0.065 |         48.560 |          0.031 |     -50.11%
         memcpy (Arm OR 23.01) |       65536 |        632.160 |        633.824 |        636.736 |        634.081 |          0.167 |         96.258 |          0.161 |
             memcpy (LI-PaRAD) |       65536 |       1245.664 |       1246.496 |       1252.448 |       1246.723 |          0.073 |         48.957 |          0.036 |     -49.14%
         memcpy (Arm OR 23.01) |      131072 |       1415.488 |       1421.504 |       1444.864 |       1421.666 |          0.203 |         85.865 |          0.172 |
             memcpy (LI-PaRAD) |      131072 |       2480.384 |       2482.720 |       2488.544 |       2482.938 |          0.062 |         49.164 |          0.031 |     -42.74%
         memcpy (Arm OR 23.01) |      262144 |       3000.960 |       3168.640 |       3413.120 |       3162.208 |          3.618 |         77.305 |          2.778 |
             memcpy (LI-PaRAD) |      262144 |       4954.240 |       4972.480 |       5056.320 |       4975.835 |          0.377 |         49.066 |          0.184 |     -36.45%
         memcpy (Arm OR 23.01) |      524288 |      11310.080 |      11933.440 |      12724.800 |      11954.126 |          2.551 |         40.872 |          1.038 |
             memcpy (LI-PaRAD) |      524288 |      15061.440 |      15672.320 |      16570.240 |      15682.462 |          1.815 |         31.146 |          0.565 |     -23.77%
         memcpy (Arm OR 23.01) |     1048576 |      23899.840 |      26256.960 |      33038.080 |      26822.086 |          8.346 |         36.643 |          2.846 |
             memcpy (LI-PaRAD) |     1048576 |      31603.520 |      35139.520 |      41328.000 |      36032.029 |          7.001 |         27.232 |          1.864 |     -25.56%
         memcpy (Arm OR 23.01) |     2097152 |      56793.600 |      74825.600 |      81500.800 |      72106.677 |          9.887 |         27.373 |          2.934 |
             memcpy (LI-PaRAD) |     2097152 |      76768.000 |      84361.600 |      89856.000 |      84239.050 |          3.939 |         23.222 |          0.924 |     -14.40%
         memcpy (Arm OR 23.01) |     4194304 |     167820.800 |     175152.000 |     200646.400 |     178370.154 |          4.314 |         21.939 |          0.914 |
             memcpy (LI-PaRAD) |     4194304 |     183884.800 |     193196.800 |     221094.400 |     195203.802 |          4.274 |         20.045 |          0.811 |      -8.62%
         memcpy (Arm OR 23.01) |     8388608 |     359593.600 |     400441.600 |     490140.800 |     402937.885 |          6.516 |         19.467 |          1.221 |
             memcpy (LI-PaRAD) |     8388608 |     381763.200 |     437084.800 |     562758.400 |     445133.307 |          9.580 |         17.695 |          1.532 |      -9.48%
         memcpy (Arm OR 23.01) |    16777216 |     828528.000 |     966624.000 |    1127056.000 |     991115.089 |          8.084 |         15.867 |          1.281 |
             memcpy (LI-PaRAD) |    16777216 |     761104.000 |     829744.000 |    1034784.000 |     859608.396 |          9.486 |         18.334 |          1.678 |     +15.30%
         memcpy (Arm OR 23.01) |    33554432 |    1885488.000 |    2147264.000 |    2325072.000 |    2111319.446 |          4.817 |         14.836 |          0.741 |
             memcpy (LI-PaRAD) |    33554432 |    1917840.000 |    2070224.000 |    2206208.000 |    2046843.089 |          3.843 |         15.290 |          0.591 |      +3.15%
         memcpy (Arm OR 23.01) |    67108864 |    4063312.000 |    4439360.000 |    4994192.000 |    4465371.248 |          4.171 |         14.021 |          0.582 |
             memcpy (LI-PaRAD) |    67108864 |    4175712.000 |    4476032.000 |    5133920.000 |    4530057.188 |          4.810 |         13.827 |          0.643 |      -1.43%
         memcpy (Arm OR 23.01) |   134217728 |    9032928.000 |    9643616.000 |   10536976.000 |    9666952.554 |          3.584 |         12.947 |          0.458 |
             memcpy (LI-PaRAD) |   134217728 |    9263664.000 |    9873552.000 |   11548448.000 |    9976121.188 |          4.538 |         12.554 |          0.547 |      -3.10%
         memcpy (Arm OR 23.01) |   268435456 |   18469408.000 |   19427536.000 |   21065264.000 |   19400074.772 |          2.216 |         12.893 |          0.283 |
             memcpy (LI-PaRAD) |   268435456 |   18137584.000 |   18417232.000 |   21346608.000 |   18546463.366 |          2.559 |         13.488 |          0.319 |      +4.60%
         memcpy (Arm OR 23.01) |   536870912 |   36945376.000 |   39570624.000 |   42829808.000 |   39482512.000 |          3.227 |         12.677 |          0.408 |
