        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        memcpy (GNU libc 2.34) |          64 |          1.979 |          1.981 |         12.043 |          2.380 |         82.610 |         29.073 |          4.921 |
             memcpy (LI-PaRAD) |          64 |          2.202 |          2.216 |         12.235 |          2.513 |         68.019 |         26.254 |          3.760 |      -5.29%
        memcpy (GNU libc 2.34) |         128 |          2.812 |          2.818 |         12.829 |          2.917 |         34.148 |         41.976 |          3.285 |
             memcpy (LI-PaRAD) |         128 |          3.694 |          3.724 |          3.758 |          3.721 |          0.243 |         32.037 |          0.078 |     -21.60%
        memcpy (GNU libc 2.34) |         256 |          5.402 |          5.437 |          5.475 |          5.437 |          0.236 |         43.853 |          0.104 |
             memcpy (LI-PaRAD) |         256 |          6.784 |          6.837 |          7.003 |          6.841 |          0.372 |         34.852 |          0.128 |     -20.53%
        memcpy (GNU libc 2.34) |         512 |          8.387 |          8.706 |          8.906 |          8.701 |          0.697 |         54.808 |          0.385 |
             memcpy (LI-PaRAD) |         512 |         13.175 |         13.218 |         13.332 |         13.222 |          0.117 |         36.065 |          0.042 |     -34.19%
        memcpy (GNU libc 2.34) |        1024 |         15.145 |         15.287 |         15.687 |         15.296 |          0.572 |         62.349 |          0.353 |
             memcpy (LI-PaRAD) |        1024 |         22.300 |         25.564 |         25.710 |         24.806 |          5.268 |         38.559 |          2.175 |     -38.34%
        memcpy (GNU libc 2.34) |        2048 |         28.017 |         28.316 |         28.508 |         28.308 |          0.299 |         67.380 |          0.202 |
             memcpy (LI-PaRAD) |        2048 |         46.878 |         47.065 |         47.471 |         47.061 |          0.129 |         40.530 |          0.052 |     -39.85%
        memcpy (GNU libc 2.34) |        4096 |         53.968 |         54.355 |         54.781 |         54.346 |          0.247 |         70.193 |          0.174 |
             memcpy (LI-PaRAD) |        4096 |         84.355 |         84.662 |         84.880 |         84.656 |          0.106 |         45.061 |          0.048 |     -35.80%
        memcpy (GNU libc 2.34) |        8192 |        108.256 |        109.082 |        110.707 |        109.204 |          0.661 |         69.867 |          0.461 |
             memcpy (LI-PaRAD) |        8192 |        164.467 |        165.283 |        516.016 |        168.808 |         20.672 |         45.834 |          3.122 |     -35.31%
        memcpy (GNU libc 2.34) |       16384 |        212.224 |        212.710 |        215.245 |        212.736 |          0.188 |         71.727 |          0.134 |
             memcpy (LI-PaRAD) |       16384 |        319.059 |        319.549 |        320.902 |        319.570 |          0.071 |         47.748 |          0.034 |     -33.43%
        memcpy (GNU libc 2.34) |       32768 |        420.320 |        421.856 |        423.744 |        421.823 |          0.142 |         72.347 |          0.102 |
             memcpy (LI-PaRAD) |       32768 |        627.840 |        628.672 |        630.528 |        628.696 |          0.087 |         48.541 |          0.042 |     -32.91%
        memcpy (GNU libc 2.34) |       65536 |        839.968 |        840.672 |        848.288 |        841.337 |          0.202 |         72.546 |          0.146 |
             memcpy (LI-PaRAD) |       65536 |       1245.248 |       1245.728 |       1247.520 |       1245.900 |          0.044 |         48.989 |          0.021 |     -32.47%
        memcpy (GNU libc 2.34) |      131072 |       1717.024 |       1724.384 |       1739.744 |       1724.870 |          0.269 |         70.771 |          0.190 |
             memcpy (LI-PaRAD) |      131072 |       2479.904 |       2487.328 |       2521.760 |       2490.033 |          0.323 |         49.024 |          0.158 |     -30.73%
        memcpy (GNU libc 2.34) |      262144 |       3452.480 |       3526.720 |       3881.280 |       3555.571 |          2.779 |         68.715 |          1.839 |
             memcpy (LI-PaRAD) |      262144 |       4948.160 |       4951.040 |       5081.280 |       4974.787 |          0.688 |         49.078 |          0.335 |     -28.53%
        memcpy (GNU libc 2.34) |      524288 |      11905.280 |      12832.320 |      13545.920 |      12759.227 |          2.448 |         38.292 |          0.957 |
             memcpy (LI-PaRAD) |      524288 |      14535.040 |      15256.320 |      15862.400 |      15288.124 |          1.925 |         31.950 |          0.615 |     -16.54%
        memcpy (GNU libc 2.34) |     1048576 |      32253.120 |      35465.280 |      40509.440 |      35360.973 |          5.384 |         27.695 |          1.463 |
             memcpy (LI-PaRAD) |     1048576 |      33438.720 |      38835.840 |      42874.240 |      38490.006 |          5.441 |         25.448 |          1.416 |      -8.13%
        memcpy (GNU libc 2.34) |     2097152 |      75305.600 |      84736.000 |     102009.600 |      85745.394 |          8.428 |         22.933 |          1.866 |
             memcpy (LI-PaRAD) |     2097152 |      83843.200 |      89062.400 |      94019.200 |      89029.545 |          2.097 |         21.948 |          0.463 |      -3.69%
        memcpy (GNU libc 2.34) |     4194304 |     187875.200 |     196681.600 |     353366.400 |     201346.218 |          9.475 |         19.522 |          1.327 |
             memcpy (LI-PaRAD) |     4194304 |     190035.200 |     206960.000 |     263417.600 |     210967.604 |          8.014 |         18.623 |          1.354 |      -4.56%
        memcpy (GNU libc 2.34) |     8388608 |     380355.200 |     452627.200 |    1451609.600 |     476693.640 |         30.048 |         16.977 |          2.179 |
             memcpy (LI-PaRAD) |     8388608 |     367824.000 |     427625.600 |    1591494.400 |     520043.279 |         54.755 |         17.066 |          3.928 |      -8.34%
        memcpy (GNU libc 2.34) |    16777216 |     877680.000 |     976832.000 |    1147472.000 |     988748.515 |          8.747 |         15.922 |          1.383 |
             memcpy (LI-PaRAD) |    16777216 |     909216.000 |     997248.000 |    1650688.000 |     996814.257 |          7.498 |         15.736 |          0.851 |      -0.81%
        memcpy (GNU libc 2.34) |    33554432 |    1980320.000 |    2156928.000 |    2351456.000 |    2147936.950 |          2.855 |         14.561 |          0.420 |
             memcpy (LI-PaRAD) |    33554432 |    1971280.000 |    2105040.000 |    2343888.000 |    2095438.574 |          3.920 |         14.936 |          0.573 |      +2.51%
        memcpy (GNU libc 2.34) |    67108864 |    4449072.000 |    4709104.000 |    5199536.000 |    4729146.139 |          3.239 |         13.229 |          0.417 |
             memcpy (LI-PaRAD) |    67108864 |    4320896.000 |    4586240.000 |    5494320.000 |    4646430.257 |          5.088 |         13.484 |          0.647 |      +1.78%
        memcpy (GNU libc 2.34) |   134217728 |    9571104.000 |   10233296.000 |   11271728.000 |   10251273.505 |          3.357 |         12.207 |          0.400 |
             memcpy (LI-PaRAD) |   134217728 |    9220368.000 |    9631440.000 |   11747664.000 |    9780924.198 |          4.833 |         12.808 |          0.583 |      +4.81%
        memcpy (GNU libc 2.34) |   268435456 |   19085920.000 |   19806048.000 |   21315680.000 |   19860277.069 |          1.673 |         12.591 |          0.206 |
             memcpy (LI-PaRAD) |   268435456 |   18186112.000 |   19066272.000 |   21689232.000 |   18982784.000 |          3.178 |         13.183 |          0.403 |      +4.62%
        memcpy (GNU libc 2.34) |   536870912 |   39004384.000 |   40746592.000 |   44581632.000 |   40997223.287 |          2.716 |         12.205 |          0.326 |
             memcpy (LI-PaRAD) |   536870912 |   37118720.000 |   39194832.000 |   44924272.000 |   39652174.257 |          4.773 |         12.637 |          0.581 |      +3.39%
