ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcpy (LI-PaRAD)|64|2.202|2.216|12.235|2.513|68.019|26.254|3.76
memcpy (GNU libc 2.34)|64|1.979|1.981|12.043|2.38|82.61|29.073|4.921
memcpy (Arm OR 23.01)|64|2.126|2.14|2.257|2.141|0.557|27.844|0.147
memcpy (LI-PaRAD)|128|3.694|3.724|3.758|3.721|0.243|32.037|0.078
memcpy (GNU libc 2.34)|128|2.812|2.818|12.829|2.917|34.148|41.976|3.285
memcpy (Arm OR 23.01)|128|2.481|2.483|2.49|2.484|0.047|47.999|0.023
memcpy (LI-PaRAD)|256|6.784|6.837|7.003|6.841|0.372|34.852|0.128
memcpy (GNU libc 2.34)|256|5.402|5.437|5.475|5.437|0.236|43.853|0.104
memcpy (Arm OR 23.01)|256|3.878|3.881|3.893|3.881|0.046|61.429|0.028
memcpy (LI-PaRAD)|512|13.175|13.218|13.332|13.222|0.117|36.065|0.042
memcpy (GNU libc 2.34)|512|8.387|8.706|8.906|8.701|0.697|54.808|0.385
memcpy (Arm OR 23.01)|512|6.971|7.073|7.11|7.065|0.366|67.491|0.249
memcpy (LI-PaRAD)|1024|22.3|25.564|25.71|24.806|5.268|38.559|2.175
memcpy (GNU libc 2.34)|1024|15.145|15.287|15.687|15.296|0.572|62.349|0.353
memcpy (Arm OR 23.01)|1024|12.195|12.244|12.276|12.239|0.213|77.922|0.166
memcpy (LI-PaRAD)|2048|46.878|47.065|47.471|47.061|0.129|40.53|0.052
memcpy (GNU libc 2.34)|2048|28.017|28.316|28.508|28.308|0.299|67.38|0.202
memcpy (Arm OR 23.01)|2048|22.16|22.279|22.322|22.279|0.082|85.61|0.071
memcpy (LI-PaRAD)|4096|84.355|84.662|84.88|84.656|0.106|45.061|0.048
memcpy (GNU libc 2.34)|4096|53.968|54.355|54.781|54.346|0.247|70.193|0.174
memcpy (Arm OR 23.01)|4096|41.331|41.488|41.699|41.483|0.191|91.958|0.176
memcpy (LI-PaRAD)|8192|164.467|165.283|516.016|168.808|20.672|45.834|3.122
memcpy (GNU libc 2.34)|8192|108.256|109.082|110.707|109.204|0.661|69.867|0.461
memcpy (Arm OR 23.01)|8192|80.413|80.816|81.539|80.846|0.23|94.37|0.217
memcpy (LI-PaRAD)|16384|319.059|319.549|320.902|319.57|0.071|47.748|0.034
memcpy (GNU libc 2.34)|16384|212.224|212.71|215.245|212.736|0.188|71.727|0.134
memcpy (Arm OR 23.01)|16384|158.042|158.285|159.034|158.345|0.14|96.364|0.135
memcpy (LI-PaRAD)|32768|627.84|628.672|630.528|628.696|0.087|48.541|0.042
memcpy (GNU libc 2.34)|32768|420.32|421.856|423.744|421.823|0.142|72.347|0.102
memcpy (Arm OR 23.01)|32768|313.024|313.312|314.912|313.565|0.158|97.325|0.153
memcpy (LI-PaRAD)|65536|1245.248|1245.728|1247.52|1245.9|0.044|48.989|0.021
memcpy (GNU libc 2.34)|65536|839.968|840.672|848.288|841.337|0.202|72.546|0.146
memcpy (Arm OR 23.01)|65536|632.16|633.824|636.736|634.081|0.167|96.258|0.161
