        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strchr (Arm OR 23.01) |          64 |          7.434 |          7.890 |          7.898 |          7.826 |          1.426 |          7.618 |          0.111 |
             strchr (LI-PaRAD) |          64 |          5.399 |          5.429 |          5.488 |          5.431 |          0.376 |         10.974 |          0.041 |     +44.08%
         strchr (Arm OR 23.01) |         128 |         13.502 |         13.540 |         13.651 |         13.542 |          0.250 |          8.803 |          0.022 |
             strchr (LI-PaRAD) |         128 |          8.106 |          8.185 |          8.243 |          8.180 |          0.422 |         14.573 |          0.062 |     +65.54%
         strchr (Arm OR 23.01) |         256 |         24.420 |         24.427 |         24.573 |         24.431 |          0.086 |          9.759 |          0.008 |
             strchr (LI-PaRAD) |         256 |         14.885 |         14.930 |         15.015 |         14.932 |          0.131 |         15.967 |          0.021 |     +63.61%
         strchr (Arm OR 23.01) |         512 |         46.724 |         46.760 |         47.159 |         46.764 |          0.111 |         10.197 |          0.011 |
             strchr (LI-PaRAD) |         512 |         25.070 |         25.195 |         25.220 |         25.194 |          0.062 |         18.927 |          0.012 |     +85.62%
         strchr (Arm OR 23.01) |        1024 |         89.936 |         89.971 |         90.208 |         89.973 |          0.030 |         10.600 |          0.003 |
             strchr (LI-PaRAD) |        1024 |         46.704 |         46.820 |         46.976 |         46.839 |          0.128 |         20.361 |          0.026 |     +92.09%
         strchr (Arm OR 23.01) |        2048 |        177.795 |        177.843 |        178.044 |        177.850 |          0.024 |         10.724 |          0.003 |
             strchr (LI-PaRAD) |        2048 |         94.320 |         94.582 |         94.694 |         94.557 |          0.098 |         20.172 |          0.020 |     +88.09%
         strchr (Arm OR 23.01) |        4096 |        346.928 |        359.165 |        359.725 |        355.345 |          1.392 |         10.737 |          0.151 |
             strchr (LI-PaRAD) |        4096 |        193.744 |        196.406 |        199.018 |        196.182 |          0.451 |         19.445 |          0.088 |     +81.13%
         strchr (Arm OR 23.01) |        8192 |        682.893 |        697.235 |        709.219 |        697.673 |          1.045 |         10.937 |          0.115 |
             strchr (LI-PaRAD) |        8192 |        386.960 |        387.539 |        389.747 |        387.930 |          0.218 |         19.667 |          0.043 |     +79.85%
         strchr (Arm OR 23.01) |       16384 |       1363.626 |       1382.406 |       1389.978 |       1379.933 |          0.391 |         11.058 |          0.044 |
             strchr (LI-PaRAD) |       16384 |        762.090 |        771.587 |        784.282 |        772.431 |          0.610 |         19.755 |          0.120 |     +78.65%
         strchr (Arm OR 23.01) |       32768 |       2779.552 |       2795.392 |       2800.864 |       2792.897 |          0.218 |         10.927 |          0.024 |
             strchr (LI-PaRAD) |       32768 |       1540.768 |       1543.456 |       1552.992 |       1544.454 |          0.195 |         19.760 |          0.038 |     +80.83%
         strchr (Arm OR 23.01) |       65536 |       5599.968 |       5603.264 |       5611.456 |       5603.262 |          0.031 |         10.893 |          0.003 |
             strchr (LI-PaRAD) |       65536 |       3077.504 |       3097.856 |       3126.304 |       3098.216 |          0.213 |         19.700 |          0.042 |     +80.85%
         strchr (Arm OR 23.01) |      131072 |      11205.280 |      11213.632 |      11219.520 |      11213.250 |          0.027 |         10.886 |          0.003 |
             strchr (LI-PaRAD) |      131072 |       6187.584 |       6205.440 |       6226.944 |       6206.207 |          0.138 |         19.669 |          0.027 |     +80.68%
         strchr (Arm OR 23.01) |      262144 |      22410.240 |      22434.240 |      22477.440 |      22436.334 |          0.076 |         10.881 |          0.008 |
             strchr (LI-PaRAD) |      262144 |      12390.400 |      12431.040 |      12466.880 |      12430.524 |          0.111 |         19.640 |          0.022 |     +80.49%
         strchr (Arm OR 23.01) |      524288 |      44916.480 |      44950.720 |      45033.600 |      44951.268 |          0.039 |         10.862 |          0.004 |
             strchr (LI-PaRAD) |      524288 |      25017.920 |      25076.160 |      25157.120 |      25076.623 |          0.087 |         19.472 |          0.017 |     +79.26%
         strchr (Arm OR 23.01) |     1048576 |      90565.760 |      90661.760 |      91812.800 |      90699.517 |          0.160 |         10.767 |          0.017 |
             strchr (LI-PaRAD) |     1048576 |      50143.040 |      50261.760 |      50497.280 |      50261.196 |          0.106 |         19.430 |          0.021 |     +80.46%
         strchr (Arm OR 23.01) |     2097152 |     182089.600 |     183129.600 |     200262.400 |     183754.931 |          1.404 |         10.631 |          0.140 |
             strchr (LI-PaRAD) |     2097152 |     100348.800 |     100860.800 |     101798.400 |     100885.513 |          0.238 |         19.360 |          0.046 |     +82.14%
         strchr (Arm OR 23.01) |     4194304 |     364192.000 |     372067.200 |     407049.600 |     373389.149 |          1.643 |         10.464 |          0.161 |
