        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strchr (GNU libc 2.34) |          64 |          3.019 |          3.021 |          3.067 |          3.021 |          0.165 |         19.727 |          0.032 |
             strchr (LI-PaRAD) |          64 |          5.372 |          5.389 |          5.493 |          5.398 |          0.455 |         11.043 |          0.050 |     -44.02%
        strchr (GNU libc 2.34) |         128 |          4.257 |          4.259 |          4.269 |          4.259 |          0.035 |         27.990 |          0.010 |
             strchr (LI-PaRAD) |         128 |          8.127 |          8.159 |          8.187 |          8.159 |          0.175 |         14.610 |          0.026 |     -47.80%
        strchr (GNU libc 2.34) |         256 |          7.618 |          7.621 |          7.716 |          7.622 |          0.126 |         31.280 |          0.039 |
             strchr (LI-PaRAD) |         256 |         14.818 |         14.867 |         14.898 |         14.863 |          0.100 |         16.041 |          0.016 |     -48.72%
        strchr (GNU libc 2.34) |         512 |         14.363 |         14.372 |         14.395 |         14.373 |          0.045 |         33.175 |          0.015 |
             strchr (LI-PaRAD) |         512 |         24.994 |         25.019 |         25.037 |         25.017 |          0.045 |         19.061 |          0.009 |     -42.54%
        strchr (GNU libc 2.34) |        1024 |         29.283 |         29.308 |         29.340 |         29.308 |          0.037 |         32.540 |          0.012 |
             strchr (LI-PaRAD) |        1024 |         46.424 |         46.508 |         46.757 |         46.514 |          0.080 |         20.503 |          0.016 |     -36.99%
        strchr (GNU libc 2.34) |        2048 |         60.988 |         61.035 |         61.124 |         61.035 |          0.036 |         31.250 |          0.011 |
             strchr (LI-PaRAD) |        2048 |         93.803 |         93.867 |         93.959 |         93.867 |          0.030 |         20.320 |          0.006 |     -34.98%
        strchr (GNU libc 2.34) |        4096 |        147.677 |        147.997 |        148.877 |        148.032 |          0.151 |         25.769 |          0.039 |
             strchr (LI-PaRAD) |        4096 |        192.166 |        194.989 |        196.282 |        194.479 |          0.689 |         19.616 |          0.136 |     -23.88%
        strchr (GNU libc 2.34) |        8192 |        277.110 |        277.699 |        279.344 |        277.839 |          0.174 |         27.460 |          0.048 |
             strchr (LI-PaRAD) |        8192 |        380.864 |        382.451 |        391.475 |        383.617 |          0.844 |         19.889 |          0.166 |     -27.57%
        strchr (GNU libc 2.34) |       16384 |        543.382 |        549.018 |        556.656 |        548.865 |          0.458 |         27.801 |          0.127 |
             strchr (LI-PaRAD) |       16384 |        761.462 |        764.278 |        779.402 |        765.996 |          0.584 |         19.921 |          0.115 |     -28.35%
        strchr (GNU libc 2.34) |       32768 |       1047.456 |       1067.808 |       1086.464 |       1067.674 |          0.561 |         28.584 |          0.160 |
             strchr (LI-PaRAD) |       32768 |       1529.280 |       1531.552 |       1555.168 |       1535.330 |          0.514 |         19.877 |          0.101 |     -30.46%
        strchr (GNU libc 2.34) |       65536 |       1813.696 |       1837.440 |       1880.160 |       1839.153 |          0.736 |         33.188 |          0.244 |
             strchr (LI-PaRAD) |       65536 |       3071.840 |       3080.032 |       3104.064 |       3085.028 |          0.320 |         19.785 |          0.063 |     -40.38%
        strchr (GNU libc 2.34) |      131072 |       3587.008 |       3620.800 |       3670.976 |       3621.858 |          0.445 |         33.704 |          0.150 |
             strchr (LI-PaRAD) |      131072 |       6162.464 |       6172.928 |       6203.936 |       6176.586 |          0.170 |         19.763 |          0.034 |     -41.36%
        strchr (GNU libc 2.34) |      262144 |       7054.080 |       7215.040 |       7589.760 |       7218.541 |          1.256 |         33.827 |          0.421 |
             strchr (LI-PaRAD) |      262144 |      12338.560 |      12380.160 |      12413.120 |      12379.564 |          0.117 |         19.721 |          0.023 |     -41.69%
        strchr (GNU libc 2.34) |      524288 |      16927.680 |      17077.120 |      17330.240 |      17085.351 |          0.434 |         28.579 |          0.124 |
             strchr (LI-PaRAD) |      524288 |      25060.800 |      25121.920 |      25192.960 |      25122.433 |          0.097 |         19.436 |          0.019 |     -31.99%
        strchr (GNU libc 2.34) |     1048576 |      37213.440 |      37714.240 |      38267.840 |      37702.853 |          0.569 |         25.902 |          0.147 |
             strchr (LI-PaRAD) |     1048576 |      49808.960 |      49967.040 |      50400.320 |      49991.747 |          0.201 |         19.535 |          0.039 |     -24.58%
        strchr (GNU libc 2.34) |     2097152 |      61302.400 |      68704.000 |     101376.000 |      69683.042 |          9.027 |         28.215 |          2.111 |
             strchr (LI-PaRAD) |     2097152 |      97196.800 |      99363.200 |     100665.600 |      99416.713 |          0.458 |         19.646 |          0.090 |     -29.91%
        strchr (GNU libc 2.34) |     4194304 |     130396.800 |     138505.600 |     200870.400 |     141384.618 |          8.702 |         27.793 |          1.921 |
             strchr (LI-PaRAD) |     4194304 |     200268.800 |     201104.000 |     214457.600 |     201580.261 |          1.078 |         19.380 |          0.199 |     -29.86%
        strchr (GNU libc 2.34) |     8388608 |     261929.600 |     272816.000 |     407190.400 |     280439.224 |          9.489 |         28.054 |          2.098 |
             strchr (LI-PaRAD) |     8388608 |     400105.600 |     403059.200 |     423628.800 |     403835.754 |          0.901 |         19.347 |          0.170 |     -30.56%
        strchr (GNU libc 2.34) |    16777216 |     540240.000 |     653008.000 |     836784.000 |     659177.188 |         12.046 |         24.030 |          2.760 |
             strchr (LI-PaRAD) |    16777216 |     808736.000 |     819264.000 |     884576.000 |     823609.030 |          1.616 |         18.976 |          0.298 |     -19.96%
        strchr (GNU libc 2.34) |    33554432 |    1127840.000 |    1349728.000 |    1666432.000 |    1351393.426 |         11.219 |         23.407 |          2.563 |
             strchr (LI-PaRAD) |    33554432 |    1649632.000 |    1681760.000 |    1835792.000 |    1688616.713 |          2.032 |         18.514 |          0.365 |     -19.97%
        strchr (GNU libc 2.34) |    67108864 |    2637856.000 |    2666352.000 |    2916288.000 |    2679935.050 |          1.863 |         23.329 |          0.413 |
             strchr (LI-PaRAD) |    67108864 |    3327936.000 |    3387776.000 |    3784768.000 |    3392206.099 |          1.343 |         18.428 |          0.229 |     -21.00%
        strchr (GNU libc 2.34) |   134217728 |    5888256.000 |    5996800.000 |    6348256.000 |    6034654.733 |          2.205 |         20.724 |          0.451 |
             strchr (LI-PaRAD) |   134217728 |    6559616.000 |    6581232.000 |    6597264.000 |    6580900.752 |          0.125 |         18.994 |          0.024 |      -8.30%
        strchr (GNU libc 2.34) |   268435456 |   12890656.000 |   13430992.000 |   13560640.000 |   13334571.089 |          1.615 |         18.753 |          0.307 |
             strchr (LI-PaRAD) |   268435456 |   14027968.000 |   14042928.000 |   14839888.000 |   14304079.525 |          2.439 |         17.488 |          0.420 |      -6.78%
        strchr (GNU libc 2.34) |   536870912 |   28427760.000 |   28666912.000 |   28820528.000 |   28646544.317 |          0.477 |         17.455 |          0.083 |
             strchr (LI-PaRAD) |   536870912 |   29195504.000 |   29215520.000 |   31011152.000 |   29363033.347 |          1.376 |         17.031 |          0.224 |      -2.44%
