        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcmp (Arm OR 23.01) |          64 |          7.206 |          7.391 |          7.512 |          7.386 |          0.966 |          8.070 |          0.078 |
             strcmp (LI-PaRAD) |          64 |          6.004 |          6.176 |          6.268 |          6.152 |          1.194 |          9.691 |          0.117 |     +20.07%
         strcmp (Arm OR 23.01) |         128 |         12.816 |         13.089 |         13.265 |         13.062 |          0.823 |          9.127 |          0.075 |
             strcmp (LI-PaRAD) |         128 |          9.310 |          9.836 |         10.210 |          9.852 |          1.820 |         12.104 |          0.222 |     +32.59%
         strcmp (Arm OR 23.01) |         256 |         23.953 |         24.287 |         24.457 |         24.272 |          0.398 |          9.823 |          0.039 |
             strcmp (LI-PaRAD) |         256 |         18.849 |         19.297 |         19.760 |         19.294 |          1.104 |         12.358 |          0.136 |     +25.80%
         strcmp (Arm OR 23.01) |         512 |         45.787 |         46.738 |         47.063 |         46.580 |          0.712 |         10.237 |          0.073 |
             strcmp (LI-PaRAD) |         512 |         34.264 |         34.776 |         34.980 |         34.734 |          0.476 |         13.729 |          0.066 |     +34.11%
         strcmp (Arm OR 23.01) |        1024 |         90.860 |         92.260 |         92.713 |         92.203 |          0.417 |         10.343 |          0.044 |
             strcmp (LI-PaRAD) |        1024 |         67.883 |         68.328 |         69.133 |         68.356 |          0.306 |         13.952 |          0.043 |     +34.89%
         strcmp (Arm OR 23.01) |        2048 |        181.081 |        182.760 |        183.752 |        182.735 |          0.277 |         10.438 |          0.029 |
             strcmp (LI-PaRAD) |        2048 |        131.423 |        134.358 |        135.706 |        134.191 |          0.666 |         14.214 |          0.095 |     +36.18%
         strcmp (Arm OR 23.01) |        4096 |        368.477 |        370.445 |        372.598 |        370.345 |          0.359 |         10.301 |          0.037 |
             strcmp (LI-PaRAD) |        4096 |        246.218 |        268.467 |        285.331 |        270.788 |          3.184 |         14.101 |          0.443 |     +36.77%
         strcmp (Arm OR 23.01) |        8192 |        722.490 |        728.816 |        741.222 |        729.105 |          0.451 |         10.464 |          0.047 |
             strcmp (LI-PaRAD) |        8192 |        508.541 |        530.509 |        549.363 |        530.737 |          2.665 |         14.385 |          0.385 |     +37.38%
