        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcmp (GNU libc 2.34) |          64 |          5.111 |          5.113 |          5.255 |          5.118 |          0.456 |         11.646 |          0.052 |
             strcmp (LI-PaRAD) |          64 |          6.021 |          6.201 |          6.273 |          6.179 |          1.081 |          9.647 |          0.106 |     -17.17%
        strcmp (GNU libc 2.34) |         128 |          9.018 |          9.021 |          9.027 |          9.021 |          0.019 |         13.215 |          0.003 |
             strcmp (LI-PaRAD) |         128 |          9.362 |          9.917 |         10.202 |          9.916 |          1.829 |         12.026 |          0.223 |      -9.03%
        strcmp (GNU libc 2.34) |         256 |         16.892 |         16.915 |         17.266 |         16.921 |          0.246 |         14.090 |          0.034 |
             strcmp (LI-PaRAD) |         256 |         18.725 |         19.269 |         19.852 |         19.298 |          0.946 |         12.355 |          0.117 |     -12.32%
        strcmp (GNU libc 2.34) |         512 |         32.612 |         32.641 |         32.682 |         32.640 |          0.032 |         14.609 |          0.005 |
             strcmp (LI-PaRAD) |         512 |         34.507 |         34.855 |         35.381 |         34.844 |          0.483 |         13.685 |          0.066 |      -6.32%
        strcmp (GNU libc 2.34) |        1024 |         64.102 |         65.625 |         65.810 |         65.041 |          1.122 |         14.665 |          0.165 |
             strcmp (LI-PaRAD) |        1024 |         68.106 |         68.460 |         70.012 |         68.485 |          0.336 |         13.925 |          0.046 |      -5.03%
        strcmp (GNU libc 2.34) |        2048 |        130.477 |        131.452 |        132.148 |        131.369 |          0.246 |         14.519 |          0.036 |
             strcmp (LI-PaRAD) |        2048 |        132.367 |        134.769 |        135.926 |        134.741 |          0.486 |         14.156 |          0.069 |      -2.50%
        strcmp (GNU libc 2.34) |        4096 |        256.115 |        256.787 |        257.264 |        256.735 |          0.103 |         14.858 |          0.015 |
             strcmp (LI-PaRAD) |        4096 |        247.024 |        269.699 |        286.074 |        271.743 |          2.798 |         14.049 |          0.389 |      -5.52%
        strcmp (GNU libc 2.34) |        8192 |        505.725 |        507.277 |        509.430 |        507.199 |          0.102 |         15.042 |          0.015 |
             strcmp (LI-PaRAD) |        8192 |        510.051 |        530.493 |        548.963 |        531.647 |          2.557 |         14.360 |          0.368 |      -4.60%
        strcmp (GNU libc 2.34) |       16384 |       1006.384 |       1007.661 |       1008.922 |       1007.633 |          0.044 |         15.143 |          0.007 |
             strcmp (LI-PaRAD) |       16384 |       1054.365 |       1067.283 |       1083.283 |       1066.495 |          0.647 |         14.308 |          0.093 |      -5.52%
        strcmp (GNU libc 2.34) |       32768 |       2012.160 |       2014.080 |       2023.840 |       2015.204 |          0.153 |         15.144 |          0.023 |
             strcmp (LI-PaRAD) |       32768 |       2075.520 |       2130.400 |       2202.304 |       2127.291 |          1.110 |         14.347 |          0.159 |      -5.27%
        strcmp (GNU libc 2.34) |       65536 |       4365.824 |       4372.928 |       4379.296 |       4372.621 |          0.060 |         13.958 |          0.008 |
             strcmp (LI-PaRAD) |       65536 |       4390.112 |       4398.592 |       4410.304 |       4397.880 |          0.094 |         13.878 |          0.013 |      -0.57%
        strcmp (GNU libc 2.34) |      131072 |       8085.600 |       8090.048 |       8106.592 |       8090.440 |          0.036 |         15.088 |          0.005 |
             strcmp (LI-PaRAD) |      131072 |       8550.144 |       8608.128 |       8649.632 |       8604.693 |          0.409 |         14.187 |          0.058 |      -5.98%
        strcmp (GNU libc 2.34) |      262144 |      17946.880 |      18005.760 |      18084.160 |      18008.643 |          0.144 |         13.557 |          0.019 |
