ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|64|6.021|6.201|6.273|6.179|1.081|9.647|0.106
strcmp (GNU libc 2.34)|64|5.111|5.113|5.255|5.118|0.456|11.646|0.052
strcmp (Arm OR 23.01)|64|7.206|7.391|7.512|7.386|0.966|8.07|0.078
strcmp (LI-PaRAD)|128|9.362|9.917|10.202|9.916|1.829|12.026|0.223
strcmp (GNU libc 2.34)|128|9.018|9.021|9.027|9.021|0.019|13.215|0.003
strcmp (Arm OR 23.01)|128|12.816|13.089|13.265|13.062|0.823|9.127|0.075
strcmp (LI-PaRAD)|256|18.725|19.269|19.852|19.298|0.946|12.355|0.117
strcmp (GNU libc 2.34)|256|16.892|16.915|17.266|16.921|0.246|14.09|0.034
strcmp (Arm OR 23.01)|256|23.953|24.287|24.457|24.272|0.398|9.823|0.039
strcmp (LI-PaRAD)|512|34.507|34.855|35.381|34.844|0.483|13.685|0.066
strcmp (GNU libc 2.34)|512|32.612|32.641|32.682|32.64|0.032|14.609|0.005
strcmp (Arm OR 23.01)|512|45.787|46.738|47.063|46.58|0.712|10.237|0.073
strcmp (LI-PaRAD)|1024|68.106|68.46|70.012|68.485|0.336|13.925|0.046
strcmp (GNU libc 2.34)|1024|64.102|65.625|65.81|65.041|1.122|14.665|0.165
strcmp (Arm OR 23.01)|1024|90.86|92.26|92.713|92.203|0.417|10.343|0.044
strcmp (LI-PaRAD)|2048|132.367|134.769|135.926|134.741|0.486|14.156|0.069
strcmp (GNU libc 2.34)|2048|130.477|131.452|132.148|131.369|0.246|14.519|0.036
strcmp (Arm OR 23.01)|2048|181.081|182.76|183.752|182.735|0.277|10.438|0.029
strcmp (LI-PaRAD)|4096|247.024|269.699|286.074|271.743|2.798|14.049|0.389
strcmp (GNU libc 2.34)|4096|256.115|256.787|257.264|256.735|0.103|14.858|0.015
strcmp (Arm OR 23.01)|4096|368.477|370.445|372.598|370.345|0.359|10.301|0.037
strcmp (LI-PaRAD)|8192|510.051|530.493|548.963|531.647|2.557|14.36|0.368
strcmp (GNU libc 2.34)|8192|505.725|507.277|509.43|507.199|0.102|15.042|0.015
strcmp (Arm OR 23.01)|8192|722.49|728.816|741.222|729.105|0.451|10.464|0.047
strcmp (LI-PaRAD)|16384|1054.365|1067.283|1083.283|1066.495|0.647|14.308|0.093
strcmp (GNU libc 2.34)|16384|1006.384|1007.661|1008.922|1007.633|0.044|15.143|0.007
strcmp (Arm OR 23.01)|16384|1448.074|1453.83|1462.25|1453.902|0.164|10.495|0.017
strcmp (LI-PaRAD)|32768|2075.52|2130.4|2202.304|2127.291|1.11|14.347|0.159
strcmp (GNU libc 2.34)|32768|2012.16|2014.08|2023.84|2015.204|0.153|15.144|0.023
strcmp (Arm OR 23.01)|32768|2890.176|2912.352|2938.944|2909.53|0.353|10.489|0.037
strcmp (LI-PaRAD)|65536|4390.112|4398.592|4410.304|4397.88|0.094|13.878|0.013
