        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |          64 |          6.961 |          6.973 |          7.111 |          6.984 |          0.445 |          8.535 |          0.038 |
             strcpy (LI-PaRAD) |          64 |          2.619 |          2.622 |          2.657 |          2.629 |          0.477 |         22.672 |          0.107 |    +165.65%
         strcpy (Arm OR 23.01) |         128 |          9.690 |          9.702 |          9.714 |          9.701 |          0.058 |         12.288 |          0.007 |
             strcpy (LI-PaRAD) |         128 |          4.240 |          4.242 |          4.249 |          4.242 |          0.050 |         28.100 |          0.014 |    +128.68%
         strcpy (Arm OR 23.01) |         256 |         16.686 |         16.822 |         17.142 |         16.817 |          0.380 |         14.177 |          0.054 |
             strcpy (LI-PaRAD) |         256 |          6.964 |          6.968 |          6.980 |          6.968 |          0.032 |         34.215 |          0.011 |    +141.34%
         strcpy (Arm OR 23.01) |         512 |         30.105 |         30.279 |         30.346 |         30.279 |          0.101 |         15.748 |          0.016 |
             strcpy (LI-PaRAD) |         512 |         13.014 |         13.018 |         13.057 |         13.019 |          0.049 |         36.626 |          0.018 |    +132.57%
         strcpy (Arm OR 23.01) |        1024 |         56.759 |         56.968 |         57.260 |         56.993 |          0.269 |         16.733 |          0.045 |
             strcpy (LI-PaRAD) |        1024 |         25.114 |         25.122 |         25.155 |         25.126 |          0.035 |         37.955 |          0.013 |    +126.83%
         strcpy (Arm OR 23.01) |        2048 |        109.398 |        110.553 |        111.678 |        110.616 |          0.486 |         17.243 |          0.084 |
             strcpy (LI-PaRAD) |        2048 |         56.387 |         56.458 |         56.584 |         56.462 |          0.056 |         33.781 |          0.019 |     +95.91%
         strcpy (Arm OR 23.01) |        4096 |        217.280 |        218.886 |        222.224 |        219.068 |          0.678 |         17.414 |          0.118 |
             strcpy (LI-PaRAD) |        4096 |        104.762 |        104.842 |        105.078 |        104.849 |          0.044 |         36.383 |          0.016 |    +108.94%
         strcpy (Arm OR 23.01) |        8192 |        434.931 |        435.923 |        446.419 |        436.266 |          0.316 |         17.488 |          0.054 |
             strcpy (LI-PaRAD) |        8192 |        202.186 |        202.294 |        202.582 |        202.315 |          0.039 |         37.710 |          0.015 |    +115.64%
         strcpy (Arm OR 23.01) |       16384 |        864.698 |        879.731 |        885.955 |        878.665 |          0.519 |         17.366 |          0.091 |
             strcpy (LI-PaRAD) |       16384 |        395.888 |        396.096 |        396.368 |        396.109 |          0.025 |         38.522 |          0.010 |    +121.82%
         strcpy (Arm OR 23.01) |       32768 |       1749.376 |       1758.976 |       1765.056 |       1758.939 |          0.118 |         17.350 |          0.021 |
             strcpy (LI-PaRAD) |       32768 |        783.200 |        783.488 |        788.320 |        783.611 |          0.072 |         38.945 |          0.028 |    +124.47%
         strcpy (Arm OR 23.01) |       65536 |       3455.488 |       3492.608 |       3522.432 |       3494.185 |          0.308 |         17.468 |          0.054 |
             strcpy (LI-PaRAD) |       65536 |       1557.568 |       1558.112 |       1559.936 |       1558.295 |          0.036 |         39.168 |          0.014 |    +124.23%
         strcpy (Arm OR 23.01) |      131072 |       6955.264 |       6978.528 |       7039.296 |       6981.125 |          0.182 |         17.486 |          0.032 |
             strcpy (LI-PaRAD) |      131072 |       3160.544 |       3290.784 |       3409.056 |       3289.924 |          1.455 |         37.112 |          0.543 |    +112.20%
