        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcpy (GNU libc 2.34) |          64 |          2.988 |          2.990 |          3.028 |          2.992 |          0.153 |         19.923 |          0.030 |
             strcpy (LI-PaRAD) |          64 |          2.953 |          3.010 |          3.030 |          3.005 |          0.397 |         19.838 |          0.080 |      -0.43%
        strcpy (GNU libc 2.34) |         128 |          4.758 |          4.775 |          4.778 |          4.775 |          0.040 |         24.965 |          0.010 |
             strcpy (LI-PaRAD) |         128 |          4.409 |          4.423 |          4.791 |          4.426 |          0.833 |         26.937 |          0.208 |      +7.89%
        strcpy (GNU libc 2.34) |         256 |          7.405 |          7.412 |          7.420 |          7.412 |          0.029 |         32.167 |          0.009 |
             strcpy (LI-PaRAD) |         256 |          6.926 |          6.932 |          6.948 |          6.933 |          0.068 |         34.387 |          0.023 |      +6.90%
        strcpy (GNU libc 2.34) |         512 |         14.193 |         14.200 |         14.243 |         14.202 |          0.057 |         33.575 |          0.019 |
             strcpy (LI-PaRAD) |         512 |         12.949 |         12.953 |         13.091 |         12.959 |          0.125 |         36.796 |          0.046 |      +9.59%
        strcpy (GNU libc 2.34) |        1024 |         28.569 |         28.586 |         28.614 |         28.588 |          0.036 |         33.359 |          0.012 |
             strcpy (LI-PaRAD) |        1024 |         24.983 |         24.992 |         25.086 |         24.996 |          0.053 |         38.153 |          0.020 |     +14.37%
        strcpy (GNU libc 2.34) |        2048 |         58.326 |         58.373 |         58.433 |         58.371 |          0.027 |         32.676 |          0.009 |
             strcpy (LI-PaRAD) |        2048 |         55.823 |         55.868 |         56.030 |         55.874 |          0.054 |         34.137 |          0.018 |      +4.47%
        strcpy (GNU libc 2.34) |        4096 |        116.422 |        117.491 |        158.042 |        122.372 |          6.757 |         31.301 |          1.926 |
             strcpy (LI-PaRAD) |        4096 |        104.109 |        104.157 |        104.653 |        104.178 |          0.066 |         36.617 |          0.024 |     +17.46%
        strcpy (GNU libc 2.34) |        8192 |        222.954 |        224.141 |        313.347 |        230.064 |          7.721 |         33.319 |          2.058 |
             strcpy (LI-PaRAD) |        8192 |        200.317 |        200.515 |        201.082 |        200.544 |          0.051 |         38.043 |          0.019 |     +14.72%
        strcpy (GNU libc 2.34) |       16384 |        436.477 |        440.230 |        614.864 |        454.314 |          7.442 |         33.740 |          2.089 |
             strcpy (LI-PaRAD) |       16384 |        392.976 |        393.171 |        393.648 |        393.210 |          0.031 |         38.806 |          0.012 |     +15.54%
        strcpy (GNU libc 2.34) |       32768 |        864.992 |        867.392 |        880.864 |        867.656 |          0.228 |         35.173 |          0.080 |
             strcpy (LI-PaRAD) |       32768 |        777.984 |        778.304 |        783.456 |        778.455 |          0.087 |         39.203 |          0.034 |     +11.46%
        strcpy (GNU libc 2.34) |       65536 |       1732.704 |       1736.736 |       2169.184 |       1743.933 |          2.803 |         35.021 |          0.811 |
             strcpy (LI-PaRAD) |       65536 |       1548.512 |       1549.152 |       1551.808 |       1549.412 |          0.048 |         39.392 |          0.019 |     +12.55%
        strcpy (GNU libc 2.34) |      131072 |       3432.736 |       3445.088 |       4942.496 |       3555.900 |          7.715 |         34.491 |          2.135 |
             strcpy (LI-PaRAD) |      131072 |       3090.048 |       3092.032 |       3105.888 |       3093.317 |          0.112 |         39.463 |          0.044 |     +14.95%
        strcpy (GNU libc 2.34) |      262144 |       6873.600 |       7168.640 |       7706.240 |       7171.821 |          2.543 |         34.063 |          0.856 |
             strcpy (LI-PaRAD) |      262144 |       6181.120 |       6281.280 |       6377.600 |       6277.500 |          0.694 |         38.893 |          0.270 |     +14.25%
        strcpy (GNU libc 2.34) |      524288 |      17367.040 |      18237.760 |      19204.480 |      18250.912 |          1.967 |         26.764 |          0.524 |
             strcpy (LI-PaRAD) |      524288 |      14640.960 |      15186.880 |      15757.440 |      15187.536 |          1.620 |         32.159 |          0.522 |     +20.17%
        strcpy (GNU libc 2.34) |     1048576 |      34244.800 |      38686.720 |      47358.720 |      38682.021 |          6.963 |         25.362 |          1.689 |
             strcpy (LI-PaRAD) |     1048576 |      30963.200 |      35876.160 |      42532.800 |      35746.433 |          6.299 |         27.426 |          1.719 |      +8.21%
        strcpy (GNU libc 2.34) |     2097152 |      83651.200 |      92300.800 |      96288.000 |      90688.317 |          4.049 |         21.572 |          0.886 |
             strcpy (LI-PaRAD) |     2097152 |      85891.200 |      88339.200 |      93184.000 |      88738.123 |          1.806 |         22.017 |          0.393 |      +2.20%
        strcpy (GNU libc 2.34) |     4194304 |     164739.200 |     175404.800 |     205424.000 |     177829.291 |          5.206 |         22.021 |          1.069 |
