        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strlen (Arm OR 23.01) |          64 |          6.924 |          7.066 |          7.251 |          7.063 |          0.853 |          8.439 |          0.072 |
             strlen (LI-PaRAD) |          64 |          2.408 |          2.408 |          2.410 |          2.409 |          0.028 |         24.746 |          0.007 |    +193.24%
         strlen (Arm OR 23.01) |         128 |          9.331 |          9.334 |          9.620 |          9.359 |          0.651 |         12.738 |          0.081 |
             strlen (LI-PaRAD) |         128 |          3.612 |          3.613 |          3.916 |          3.630 |          1.872 |         32.850 |          0.574 |    +157.82%
         strlen (Arm OR 23.01) |         256 |         15.084 |         15.456 |         15.514 |         15.413 |          0.680 |         15.470 |          0.106 |
             strlen (LI-PaRAD) |         256 |          6.622 |          6.624 |          6.925 |          6.632 |          0.700 |         35.952 |          0.242 |    +132.40%
         strlen (Arm OR 23.01) |         512 |         28.444 |         28.449 |         28.469 |         28.453 |          0.026 |         16.759 |          0.004 |
             strlen (LI-PaRAD) |         512 |         11.438 |         11.440 |         11.459 |         11.442 |          0.046 |         41.675 |          0.019 |    +148.67%
         strlen (Arm OR 23.01) |        1024 |         51.262 |         55.092 |         55.137 |         54.399 |          2.030 |         17.539 |          0.367 |
             strlen (LI-PaRAD) |        1024 |         21.069 |         21.073 |         21.094 |         21.076 |          0.032 |         45.249 |          0.015 |    +158.11%
         strlen (Arm OR 23.01) |        2048 |        106.918 |        107.188 |        107.263 |        107.182 |          0.042 |         17.795 |          0.007 |
             strlen (LI-PaRAD) |        2048 |         40.338 |         40.354 |         40.385 |         40.355 |          0.024 |         47.265 |          0.011 |    +165.60%
         strlen (Arm OR 23.01) |        4096 |        196.566 |        214.096 |        238.835 |        217.705 |          4.855 |         17.562 |          0.832 |
             strlen (LI-PaRAD) |        4096 |         85.728 |         85.798 |         90.010 |         85.848 |          0.490 |         44.437 |          0.208 |    +153.59%
         strlen (Arm OR 23.01) |        8192 |        383.306 |        396.784 |        418.160 |        397.911 |          2.003 |         19.181 |          0.380 |
             strlen (LI-PaRAD) |        8192 |        166.758 |        166.819 |        167.139 |        166.842 |          0.046 |         45.728 |          0.021 |    +138.50%
         strlen (Arm OR 23.01) |       16384 |        760.483 |        782.445 |        924.250 |        803.561 |          6.367 |         19.061 |          1.140 |
             strlen (LI-PaRAD) |       16384 |        320.848 |        320.922 |        321.187 |        320.953 |          0.025 |         47.542 |          0.012 |    +150.37%
         strlen (Arm OR 23.01) |       32768 |       1512.640 |       1567.968 |       1729.056 |       1605.178 |          3.947 |         19.041 |          0.738 |
             strlen (LI-PaRAD) |       32768 |        629.408 |        629.888 |        631.648 |        629.941 |          0.064 |         48.445 |          0.031 |    +154.81%
         strlen (Arm OR 23.01) |       65536 |       3018.080 |       3194.304 |       3710.464 |       3201.065 |          2.368 |         19.077 |          0.428 |
             strlen (LI-PaRAD) |       65536 |       1248.032 |       1248.384 |       1250.496 |       1248.529 |          0.044 |         48.886 |          0.021 |    +156.39%
         strlen (Arm OR 23.01) |      131072 |       6524.032 |       6935.680 |       7403.904 |       6988.575 |          4.231 |         17.498 |          0.738 |
             strlen (LI-PaRAD) |      131072 |       2480.160 |       2480.736 |       2486.976 |       2481.119 |          0.040 |         49.200 |          0.020 |    +181.67%
         strlen (Arm OR 23.01) |      262144 |      12788.480 |      13121.920 |      14616.000 |      13221.747 |          2.445 |         18.476 |          0.435 |
             strlen (LI-PaRAD) |      262144 |       4947.520 |       4948.800 |       4971.840 |       4950.039 |          0.094 |         49.321 |          0.046 |    +167.10%
         strlen (Arm OR 23.01) |      524288 |      25389.120 |      26010.560 |      26869.120 |      26042.395 |          1.343 |         18.753 |          0.251 |
             strlen (LI-PaRAD) |      524288 |      10756.160 |      10819.200 |      10895.360 |      10819.840 |          0.264 |         45.129 |          0.119 |    +140.69%
         strlen (Arm OR 23.01) |     1048576 |      49112.000 |      51886.720 |      54671.680 |      51915.549 |          2.185 |         18.819 |          0.410 |
             strlen (LI-PaRAD) |     1048576 |      21150.400 |      22584.960 |      23013.440 |      22416.545 |          2.228 |         43.586 |          1.003 |    +131.59%
         strlen (Arm OR 23.01) |     2097152 |      99337.600 |     105462.400 |     115187.200 |     106046.891 |          3.443 |         18.439 |          0.629 |
             strlen (LI-PaRAD) |     2097152 |      40364.800 |      40729.600 |      41219.200 |      40726.368 |          0.370 |         47.958 |          0.177 |    +160.39%
         strlen (Arm OR 23.01) |     4194304 |     202156.800 |     213638.400 |     245952.000 |     215713.933 |          4.807 |         18.148 |          0.842 |
             strlen (LI-PaRAD) |     4194304 |      81891.200 |      82643.200 |      83894.400 |      82673.394 |          0.478 |         47.250 |          0.225 |    +160.92%
         strlen (Arm OR 23.01) |     8388608 |     412425.600 |     490764.800 |     544716.800 |     488260.467 |          5.288 |         16.047 |          0.885 |
             strlen (LI-PaRAD) |     8388608 |     170422.400 |     172492.800 |     178057.600 |     172698.550 |          0.730 |         45.240 |          0.327 |    +182.72%
         strlen (Arm OR 23.01) |    16777216 |     792144.000 |     883024.000 |    1057184.000 |     879999.683 |          6.968 |         17.840 |          1.228 |
             strlen (LI-PaRAD) |    16777216 |     403568.000 |     423328.000 |     537504.000 |     433346.535 |          6.124 |         36.177 |          1.997 |    +103.07%
         strlen (Arm OR 23.01) |    33554432 |    1544944.000 |    1729104.000 |    2122560.000 |    1741383.446 |          7.214 |         18.037 |          1.282 |
             strlen (LI-PaRAD) |    33554432 |     634000.000 |     635824.000 |     703104.000 |     636939.248 |          1.187 |         49.069 |          0.535 |    +173.40%
         strlen (Arm OR 23.01) |    67108864 |    3149632.000 |    3316272.000 |    3664896.000 |    3332224.000 |          4.134 |         18.787 |          0.763 |
             strlen (LI-PaRAD) |    67108864 |    2032912.000 |    2084016.000 |    2208112.000 |    2092786.535 |          2.029 |         29.876 |          0.598 |     +59.22%
         strlen (Arm OR 23.01) |   134217728 |    7166624.000 |    7338848.000 |    7691680.000 |    7350802.535 |          1.496 |         17.009 |          0.251 |
             strlen (LI-PaRAD) |   134217728 |    6184432.000 |    6237408.000 |    6334096.000 |    6244275.644 |          0.590 |         20.019 |          0.118 |     +17.72%
         strlen (Arm OR 23.01) |   268435456 |   13797536.000 |   14006672.000 |   14415264.000 |   14014993.901 |          0.796 |         17.839 |          0.141 |
             strlen (LI-PaRAD) |   268435456 |   12348496.000 |   12413712.000 |   12586976.000 |   12425817.980 |          0.428 |         20.120 |          0.086 |     +12.79%
         strlen (Arm OR 23.01) |   536870912 |   28711552.000 |   30882704.000 |   32106896.000 |   30306664.871 |          3.279 |         16.516 |          0.546 |
             strlen (LI-PaRAD) |   536870912 |   26041520.000 |   26599408.000 |   27484160.000 |   26603048.238 |          1.061 |         18.797 |          0.199 |     +13.92%
