        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strlen (GNU libc 2.34) |          64 |          2.574 |          2.579 |          2.730 |          2.587 |          1.039 |         23.045 |          0.230 |
             strlen (LI-PaRAD) |          64 |          2.428 |          2.429 |          2.440 |          2.430 |          0.051 |         24.534 |          0.013 |      +6.47%
        strlen (GNU libc 2.34) |         128 |          3.205 |          3.216 |          3.338 |          3.233 |          1.244 |         36.877 |          0.448 |
             strlen (LI-PaRAD) |         128 |          3.640 |          3.642 |          3.944 |          3.651 |          1.295 |         32.660 |          0.394 |     -11.43%
        strlen (GNU libc 2.34) |         256 |          4.549 |          4.551 |          4.556 |          4.551 |          0.030 |         52.388 |          0.016 |
             strlen (LI-PaRAD) |         256 |          6.068 |          6.070 |          6.083 |          6.071 |          0.039 |         39.274 |          0.015 |     -25.03%
        strlen (GNU libc 2.34) |         512 |         10.308 |         10.313 |         10.364 |         10.314 |          0.063 |         46.232 |          0.029 |
             strlen (LI-PaRAD) |         512 |         11.219 |         11.226 |         11.247 |         11.227 |          0.046 |         42.472 |          0.020 |      -8.13%
        strlen (GNU libc 2.34) |        1024 |         15.019 |         15.042 |         15.366 |         15.063 |          0.500 |         63.315 |          0.311 |
             strlen (LI-PaRAD) |        1024 |         20.927 |         20.931 |         20.981 |         20.934 |          0.036 |         45.557 |          0.016 |     -28.05%
        strlen (GNU libc 2.34) |        2048 |         39.421 |         39.438 |         39.498 |         39.441 |          0.031 |         48.360 |          0.015 |
             strlen (LI-PaRAD) |        2048 |         40.333 |         40.351 |         40.411 |         40.352 |          0.030 |         47.268 |          0.014 |      -2.26%
        strlen (GNU libc 2.34) |        4096 |         78.221 |         78.262 |         78.416 |         78.268 |          0.047 |         48.739 |          0.023 |
             strlen (LI-PaRAD) |        4096 |         86.429 |         86.458 |         86.595 |         86.466 |          0.043 |         44.118 |          0.019 |      -9.48%
        strlen (GNU libc 2.34) |        8192 |        155.846 |        155.907 |        156.426 |        155.921 |          0.046 |         48.931 |          0.022 |
             strlen (LI-PaRAD) |        8192 |        167.680 |        167.734 |        168.182 |        167.759 |          0.047 |         45.478 |          0.021 |      -7.06%
        strlen (GNU libc 2.34) |       16384 |        228.042 |        241.328 |        318.797 |        254.818 |         11.854 |         60.650 |          6.571 |
             strlen (LI-PaRAD) |       16384 |        322.995 |        323.088 |        323.533 |        323.109 |          0.028 |         47.225 |          0.013 |     -21.14%
        strlen (GNU libc 2.34) |       32768 |        450.016 |        452.608 |        620.256 |        491.844 |         12.609 |         62.927 |          7.050 |
             strlen (LI-PaRAD) |       32768 |        633.760 |        634.176 |        635.520 |        634.245 |          0.050 |         48.116 |          0.024 |     -22.45%
        strlen (GNU libc 2.34) |       65536 |        901.280 |        906.208 |       1219.744 |        941.356 |          9.433 |         65.315 |          5.117 |
             strlen (LI-PaRAD) |       65536 |       1257.088 |       1257.696 |       1264.256 |       1257.983 |          0.082 |         48.518 |          0.040 |     -25.17%
        strlen (GNU libc 2.34) |      131072 |       1810.208 |       1823.584 |       2395.168 |       1923.092 |         10.359 |         64.058 |          5.681 |
             strlen (LI-PaRAD) |      131072 |       2498.240 |       2499.232 |       2504.576 |       2499.458 |          0.037 |         48.839 |          0.018 |     -23.06%
        strlen (GNU libc 2.34) |      262144 |       3672.320 |       3784.640 |       4924.800 |       4127.978 |         12.829 |         60.041 |          7.070 |
             strlen (LI-PaRAD) |      262144 |       4982.720 |       4985.920 |       5033.280 |       4986.813 |          0.116 |         48.957 |          0.056 |     -17.22%
        strlen (GNU libc 2.34) |      524288 |       8036.480 |       8177.920 |       9187.200 |       8286.001 |          3.452 |         58.994 |          1.914 |
             strlen (LI-PaRAD) |      524288 |      11013.760 |      11093.440 |      11163.200 |      11089.771 |          0.266 |         44.030 |          0.117 |     -25.28%
        strlen (GNU libc 2.34) |     1048576 |      16341.760 |      17478.400 |      21616.320 |      17827.957 |          5.084 |         54.913 |          2.712 |
             strlen (LI-PaRAD) |     1048576 |      21706.560 |      22876.160 |      24076.800 |      22856.890 |          2.843 |         42.759 |          1.219 |     -22.00%
        strlen (GNU libc 2.34) |     2097152 |      34544.000 |      37024.000 |      65497.600 |      38035.897 |         10.060 |         51.723 |          3.849 |
             strlen (LI-PaRAD) |     2097152 |      39875.200 |      40051.200 |      40627.200 |      40079.176 |          0.348 |         48.732 |          0.169 |      -5.10%
        strlen (GNU libc 2.34) |     4194304 |      73228.800 |      76697.600 |     140147.200 |      78841.632 |         11.591 |         49.981 |          3.855 |
             strlen (LI-PaRAD) |     4194304 |      79683.200 |      80102.400 |      82313.600 |      80174.321 |          0.565 |         48.723 |          0.271 |      -1.66%
        strlen (GNU libc 2.34) |     8388608 |     150537.600 |     157468.800 |     331212.800 |     163608.459 |         16.917 |         48.540 |          4.781 |
             strlen (LI-PaRAD) |     8388608 |     159177.600 |     160028.800 |     164380.800 |     160220.135 |          0.565 |         48.763 |          0.272 |      +2.11%
        strlen (GNU libc 2.34) |    16777216 |     299888.000 |     338336.000 |     700992.000 |     398886.178 |         28.484 |         41.692 |          9.086 |
             strlen (LI-PaRAD) |    16777216 |     321120.000 |     326528.000 |     394160.000 |     328860.515 |          2.891 |         47.548 |          1.240 |     +21.29%
        strlen (GNU libc 2.34) |    33554432 |     617584.000 |     678176.000 |    1439472.000 |     820881.584 |         31.010 |         40.994 |          9.650 |
             strlen (LI-PaRAD) |    33554432 |     677920.000 |     687328.000 |     758800.000 |     690169.030 |          1.877 |         45.294 |          0.803 |     +18.94%
        strlen (GNU libc 2.34) |    67108864 |    2123792.000 |    2148416.000 |    2860320.000 |    2221158.970 |          7.178 |         28.264 |          1.766 |
             strlen (LI-PaRAD) |    67108864 |    2279744.000 |    2293856.000 |    2354752.000 |    2298738.851 |          0.707 |         27.190 |          0.190 |      -3.37%
        strlen (GNU libc 2.34) |   134217728 |    5516656.000 |    5644176.000 |    6677232.000 |    5696271.208 |          3.043 |         21.963 |          0.622 |
             strlen (LI-PaRAD) |   134217728 |    5709104.000 |    5807536.000 |    5984192.000 |    5824500.436 |          1.520 |         21.466 |          0.325 |      -2.20%
        strlen (GNU libc 2.34) |   268435456 |   12039616.000 |   12942304.000 |   13146272.000 |   12823107.485 |          2.307 |         19.507 |          0.465 |
             strlen (LI-PaRAD) |   268435456 |   12567984.000 |   12704192.000 |   13673600.000 |   12938075.564 |          3.197 |         19.342 |          0.600 |      -0.89%
        strlen (GNU libc 2.34) |   536870912 |   25114912.000 |   25498064.000 |   28893648.000 |   25930434.376 |          3.545 |         19.305 |          0.655 |
             strlen (LI-PaRAD) |   536870912 |   26519376.000 |   28153968.000 |   29517600.000 |   27881871.050 |          2.614 |         17.945 |          0.473 |      -7.00%
